from	to	weight	Type
ID4	PSMA3-AS1	0.440485485595699	>0.25
ID4	HCG18	0.432957702090571	>0.25
ID4	EBLN3P	0.432741862883477	>0.25
ID4	TUG1	0.429768690848441	>0.25
ID4	CHROMR	0.429747652868446	>0.25
ID4	GABPB1-IT1	0.428719650305538	>0.25
ID4	KMT2E-AS1	0.426412455880811	>0.25
ID4	WAC-AS1	0.425817302883065	>0.25
ID4	NORAD	0.425801557361676	>0.25
ID4	DKFZP586I1420	0.424820393288549	>0.25
ID4	GARS1-DT	0.423834799191257	>0.25
ID4	NIPBL-DT	0.423208907713392	>0.25
ID4	THUMPD3-AS1	0.422626828375133	>0.25
ID4	SLC12A2-DT	0.422453518766186	>0.25
ID4	ZNF892	0.422353422140538	>0.25
ID4	OIP5-AS1	0.421127510934922	>0.25
ID4	CHASERR	0.4208205001019	>0.25
ID4	ZNF818P	0.420739728221184	>0.25
ID4	ELOA-AS1	0.420703722447016	>0.25
ID4	PNISR-AS1	0.420548642136392	>0.25
ID4	FGD5-AS1	0.420485257299813	>0.25
ID4	CUTALP	0.419952561240148	>0.25
ID4	PPP4R1L	0.419693169425317	>0.25
ID4	BAZ2B-AS1	0.419313108361274	>0.25
ID4	TRAF3IP2-AS1	0.41928356483311	>0.25
ID4	TIRAP-AS1	0.41885522909892	>0.25
ID4	SNHG1	0.418764477184102	>0.25
ID4	POLR1HASP	0.418093283145351	>0.25
ID4	RIPK2-DT	0.417676413587164	>0.25
ID4	RBM12B-AS1	0.417575220515749	>0.25
