from	to	weight	Type
ID4	PSMA3-AS1	0.4456854337525	>0.25
ID4	TUG1	0.443681350306331	>0.25
ID4	GABPB1-IT1	0.440544584955221	>0.25
ID4	HCG18	0.440325217369058	>0.25
ID4	WAC-AS1	0.437277229652905	>0.25
ID4	ELOA-AS1	0.43490410457709	>0.25
ID4	FGD5-AS1	0.433981051913909	>0.25
ID4	NORAD	0.4334056997798	>0.25
ID4	OIP5-AS1	0.432594080729921	>0.25
ID4	THUMPD3-AS1	0.431413593608254	>0.25
ID4	NIPBL-DT	0.431131218092401	>0.25
ID4	CHASERR	0.430782383578458	>0.25
ID4	ZNF271P	0.430749582532359	>0.25
ID4	EBLN3P	0.430609027217235	>0.25
ID4	HERPUD2-AS1	0.430028491172738	>0.25
ID4	PNISR-AS1	0.429876504942764	>0.25
ID4	LIMD1-AS1	0.42877929151304	>0.25
ID4	BAZ2B-AS1	0.428451191934285	>0.25
ID4	RAB33B-AS1	0.428341384771391	>0.25
ID4	KMT2E-AS1	0.427681372943573	>0.25
ID4	GABPB1-AS1	0.427600538142398	>0.25
ID4	HCG11	0.426724318024597	>0.25
ID4	DKFZP586I1420	0.426438420234557	>0.25
ID4	POLR1HASP	0.425328239297301	>0.25
ID4	SCAND2P	0.425273838414596	>0.25
ID4	CERS6-AS1	0.42517736601918	>0.25
ID4	MIR4453HG	0.424914586883774	>0.25
ID4	SNHG29	0.424324873358312	>0.25
ID4	LCDR	0.424284565637561	>0.25
ID4	EIF3J-DT	0.423966180086619	>0.25
