from	to	weight	Type
ID4	PSMA3-AS1	0.42406929968148	>0.25
ID4	HCG18	0.420480016350874	>0.25
ID4	TUG1	0.419378421668709	>0.25
ID4	GABPB1-IT1	0.415115989417497	>0.25
ID4	NORAD	0.414348890618153	>0.25
ID4	EBLN3P	0.414183299460026	>0.25
ID4	WAC-AS1	0.412579486005621	>0.25
ID4	NIPBL-DT	0.410351461868738	>0.25
ID4	OIP5-AS1	0.408645695135997	>0.25
ID4	KMT2E-AS1	0.40821072625248	>0.25
ID4	THUMPD3-AS1	0.407762951815278	>0.25
ID4	ELOA-AS1	0.407202786052424	>0.25
ID4	GARS1-DT	0.404956571972088	>0.25
ID4	GABPB1-AS1	0.40481418917179	>0.25
ID4	SNHG29	0.404798838525468	>0.25
ID4	PNISR-AS1	0.404718036148625	>0.25
ID4	LIMD1-AS1	0.404274855373711	>0.25
ID4	HERPUD2-AS1	0.403753913323556	>0.25
ID4	CHASERR	0.40345541644977	>0.25
ID4	ZNF271P	0.403288201937911	>0.25
ID4	BAZ2B-AS1	0.402973032074366	>0.25
ID4	CHROMR	0.402752077391132	>0.25
ID4	POLR1HASP	0.401288876450118	>0.25
ID4	PPP4R1L	0.400993717948741	>0.25
ID4	EIF3J-DT	0.400698044765923	>0.25
ID4	CERS6-AS1	0.400608254906726	>0.25
ID4	UBA6-DT	0.400420985233101	>0.25
ID4	CAMSAP1-DT	0.400219467630806	>0.25
ID4	RIPK2-DT	0.399743726750641	>0.25
ID4	ZNF892	0.399417299348519	>0.25
