from	to	weight	Type
IDO1	SLAMF6	0.171279514509373	>0.1
IDO1	SNX20	0.170566648893589	>0.1
IDO1	CCR5	0.165025330868613	>0.1
IDO1	CD53	0.163419751963053	>0.1
IDO1	SH2D1A	0.161314875334688	>0.1
IDO1	SASH3	0.160935142948096	>0.1
IDO1	IKZF3	0.160676323119628	>0.1
IDO1	GPR174	0.160576212416312	>0.1
IDO1	IKZF1	0.158513213213941	>0.1
IDO1	CD48	0.157570327857868	>0.1
IDO1	IL10RA	0.157114546268076	>0.1
IDO1	CCR2	0.156953090595786	>0.1
IDO1	CYTIP	0.156911877284963	>0.1
IDO1	SPN	0.156325989905722	>0.1
IDO1	AOAH	0.155706234964636	>0.1
IDO1	SLA	0.155613576406171	>0.1
IDO1	NCKAP1L	0.155419036866293	>0.1
IDO1	CD3G	0.152186362403018	>0.1
IDO1	PTPN7	0.152001405966896	>0.1
IDO1	MPEG1	0.151904801282573	>0.1
IDO1	SLFN12L	0.151623971766776	>0.1
IDO1	CD86	0.151200549812417	>0.1
IDO1	SLAMF1	0.151175400818774	>0.1
IDO1	TASL	0.151059153386673	>0.1
IDO1	CD3D	0.150644496239182	>0.1
IDO1	TFEC	0.150617746532619	>0.1
IDO1	TIGIT	0.14974404689905	>0.1
IDO1	JAML	0.149582705762325	>0.1
IDO1	CCL5	0.149185705125157	>0.1
IDO1	KLHL6	0.148759745421045	>0.1
