from	to	weight	Type
IDO1	STAM2	0.159723192378568	>0.1
IDO1	LRWD1	0.15846403934341	>0.1
IDO1	AIM2	0.158399970490281	>0.1
IDO1	MIB2	0.156804714568827	>0.1
IDO1	C1orf35	0.153362262902419	>0.1
IDO1	ATAD3A	0.151975086426013	>0.1
IDO1	H1-10	0.150436166326794	>0.1
IDO1	TNFSF13B	0.150413669279819	>0.1
IDO1	TMEM201	0.147043767723645	>0.1
IDO1	KRBA1	0.14680417237222	>0.1
IDO1	RBM10	0.145657160594411	>0.1
IDO1	BRF1	0.145029953736926	>0.1
IDO1	MARCHF1	0.144732407300251	>0.1
IDO1	CROCC	0.143633357337596	>0.1
IDO1	ABHD8	0.143383071542832	>0.1
IDO1	SMPD4	0.143189074002359	>0.1
IDO1	ZNF408	0.142415773006414	>0.1
IDO1	ZGPAT	0.141883785081689	>0.1
IDO1	LY96	0.141482886480856	>0.1
IDO1	ZNF282	0.141281671274181	>0.1
IDO1	WRAP73	0.140590080010328	>0.1
IDO1	POLD1	0.14031997884387	>0.1
IDO1	ACOT7	0.139487205363471	>0.1
IDO1	TFEC	0.139326205478813	>0.1
IDO1	RALY	0.139227992306737	>0.1
IDO1	GLRX	0.139133171003928	>0.1
IDO1	PAXX	0.139098782392587	>0.1
IDO1	CASP1	0.138952934894845	>0.1
IDO1	THOP1	0.138904596249442	>0.1
IDO1	PANK4	0.13834106101608	>0.1
