from	to	weight	Type
IDO1	SLAMF6	0.138539546806008	>0.1
IDO1	GPR174	0.130184790514335	>0.1
IDO1	SH2D1A	0.130167329883772	>0.1
IDO1	CCR2	0.127775808101543	>0.1
IDO1	CD48	0.124555781042863	>0.1
IDO1	CD53	0.121951365408536	>0.1
IDO1	CD3G	0.121809200275628	>0.1
IDO1	TIGIT	0.121339079108353	>0.1
IDO1	SLAMF7	0.120418000517345	>0.1
IDO1	CCR5	0.120008606065101	>0.1
IDO1	SNX20	0.119090644925701	>0.1
IDO1	IKZF1	0.118956784459761	>0.1
IDO1	SLFN12L	0.118910872050546	>0.1
IDO1	LAX1	0.11828416762469	>0.1
IDO1	CYTIP	0.117542488914216	>0.1
IDO1	P2RY10	0.115508926852793	>0.1
IDO1	GZMA	0.115194470585197	>0.1
IDO1	SASH3	0.115178940368944	>0.1
IDO1	THEMIS	0.114216369273346	>0.1
IDO1	CD3D	0.113766219266944	>0.1
IDO1	CCL5	0.112695759798598	>0.1
IDO1	IGKV3-11	0.112409759617539	>0.1
IDO1	SLA	0.112285663524088	>0.1
IDO1	TFEC	0.1121763547483	>0.1
IDO1	ICOS	0.112057579352911	>0.1
IDO1	IL10RA	0.11168012223437	>0.1
IDO1	AOAH	0.111097901913881	>0.1
IDO1	MPEG1	0.110608754425955	>0.1
IDO1	KLHL6	0.11045961444587	>0.1
IDO1	CD96	0.10965616386797	>0.1
