from	to	weight	Type
JAK2	CPED1	0.163090665333093	>0.1
JAK2	FAM13C	0.161188678809916	>0.1
JAK2	STARD9	0.157216081642459	>0.1
JAK2	GPRASP1	0.157114087964746	>0.1
JAK2	KLHDC1	0.155777187165351	>0.1
JAK2	GAB1	0.153093699219546	>0.1
JAK2	LAMA2	0.15172299710344	>0.1
JAK2	C7	0.151062787831179	>0.1
JAK2	ECM2	0.149201593027939	>0.1
JAK2	ABCA9	0.149186882664475	>0.1
JAK2	JAM2	0.148757246358958	>0.1
JAK2	COL14A1	0.148689014401348	>0.1
JAK2	DLG2	0.145583597934346	>0.1
JAK2	ABCA8	0.145338430551798	>0.1
JAK2	CD34	0.141259071540481	>0.1
JAK2	ARHGAP10	0.141221952227462	>0.1
JAK2	SYNPO2	0.14085849460726	>0.1
JAK2	ABCA10	0.140474202613477	>0.1
JAK2	ABCA6	0.140115939219024	>0.1
JAK2	HERC3	0.140099652197723	>0.1
JAK2	RHOJ	0.140092234793791	>0.1
JAK2	CLEC1A	0.139675839219231	>0.1
JAK2	ZEB2	0.13894770376631	>0.1
JAK2	PALMD	0.138702736055802	>0.1
JAK2	F8	0.137435897395012	>0.1
JAK2	LYST	0.137357231741776	>0.1
JAK2	EEF1AKMT4	0.137006195397528	>0.1
JAK2	SAPCD2	0.136433254572841	>0.1
JAK2	GNA14	0.136210081924278	>0.1
JAK2	PYDC5	0.1361632899174	>0.1
