from	to	weight	Type
JAK2	DPYD	0.169625743290118	>0.1
JAK2	ARHGAP15	0.169072777444801	>0.1
JAK2	PIK3CG	0.166561267902296	>0.1
JAK2	PTPN22	0.165247942215428	>0.1
JAK2	FLI1	0.165090448914984	>0.1
JAK2	PTPRC	0.163967745627752	>0.1
JAK2	TLR4	0.162736011583058	>0.1
JAK2	SAC3D1	0.162512401692778	>0.1
JAK2	ARHGEF6	0.162253123657945	>0.1
JAK2	SLC9A9	0.159633763986969	>0.1
JAK2	FGL2	0.159618189560959	>0.1
JAK2	DAB2	0.159049116705308	>0.1
JAK2	LY96	0.158479285158901	>0.1
JAK2	FYB1	0.157983651560316	>0.1
JAK2	DOCK2	0.156549155413713	>0.1
JAK2	WIPF1	0.156030006075031	>0.1
JAK2	MCM2	0.15586057967353	>0.1
JAK2	ANKRD44	0.154327897887479	>0.1
JAK2	ARHGAP18	0.153824658980074	>0.1
JAK2	GIMAP2	0.153067337579115	>0.1
JAK2	GIMAP8	0.15304353906243	>0.1
JAK2	BTK	0.152573014685356	>0.1
JAK2	AOAH	0.152242780143597	>0.1
JAK2	SAMSN1	0.151703835222166	>0.1
JAK2	GIMAP4	0.151495302102692	>0.1
JAK2	LCP2	0.150108327558353	>0.1
JAK2	EVI2A	0.149798315296857	>0.1
JAK2	BIN2	0.14951301658551	>0.1
JAK2	NCKAP1L	0.149339514694693	>0.1
JAK2	INSYN2B	0.149148288929511	>0.1
