from	to	weight	Type
JAK2	KLHDC1	0.143502473491908	>0.1
JAK2	LYST	0.136724468629812	>0.1
JAK2	ABCA6	0.136629598421413	>0.1
JAK2	HERC3	0.136385080140219	>0.1
JAK2	CPED1	0.136368766135821	>0.1
JAK2	ABCA9	0.136174603416153	>0.1
JAK2	GANC	0.13531339276519	>0.1
JAK2	AHCY	0.134822130785493	>0.1
JAK2	PPP3CC	0.13476756364232	>0.1
JAK2	GPRASP1	0.134352985731399	>0.1
JAK2	SAPCD2	0.134321506573568	>0.1
JAK2	DOLPP1	0.132560145659303	>0.1
JAK2	SMARCA2	0.132498770441394	>0.1
JAK2	EIF6	0.131507789241216	>0.1
JAK2	LRRC70	0.131497264377798	>0.1
JAK2	GAB1	0.131475170819746	>0.1
JAK2	ABCA10	0.131474515789478	>0.1
JAK2	MOCS3	0.131466171542267	>0.1
JAK2	SPC24	0.131391545653837	>0.1
JAK2	STIM2	0.13100603469569	>0.1
JAK2	ARHGAP10	0.130880316269489	>0.1
JAK2	POMK	0.130765447580487	>0.1
JAK2	FKBPL	0.130760320804271	>0.1
JAK2	FEN1	0.130578175625521	>0.1
JAK2	LSM4	0.13022603629781	>0.1
JAK2	PARS2	0.129863329036001	>0.1
JAK2	TARBP2	0.129846193507111	>0.1
JAK2	SLC38A11	0.129642697086214	>0.1
JAK2	PNRC1	0.129397651132542	>0.1
JAK2	TPI1	0.129105024550391	>0.1
