from	to	weight	Type
OAS3	IL10RA	0.207130759033014	>0.2
OAS3	PIK3R5	0.207063018764996	>0.2
OAS3	SASH3	0.206744197938676	>0.2
OAS3	SNX20	0.20340375224895	>0.2
OAS3	PTPN7	0.197378867913407	>0.1
OAS3	ITGB2	0.192419260531525	>0.1
OAS3	ITGAL	0.192378521643113	>0.1
OAS3	CD4	0.190368475407543	>0.1
OAS3	NCKAP1L	0.187793042657711	>0.1
OAS3	SPN	0.187413582146171	>0.1
OAS3	CYTH4	0.187365634649898	>0.1
OAS3	DOK2	0.187145317622029	>0.1
OAS3	CD48	0.185503003865478	>0.1
OAS3	LILRB1	0.185475445174125	>0.1
OAS3	IL12RB1	0.184988595149906	>0.1
OAS3	AOAH	0.184925145762356	>0.1
OAS3	PRF1	0.183289179353455	>0.1
OAS3	IKZF1	0.182282543086783	>0.1
OAS3	FAM78A	0.181818480017217	>0.1
OAS3	CYTIP	0.181511744092899	>0.1
OAS3	CD53	0.181286603634313	>0.1
OAS3	FERMT3	0.181171766854273	>0.1
OAS3	FGD2	0.180907329046802	>0.1
OAS3	BIN2	0.180832095479354	>0.1
OAS3	CSF2RB	0.179566107460374	>0.1
OAS3	CCL5	0.179510199562853	>0.1
OAS3	KLHL6	0.179014364322519	>0.1
OAS3	SLA	0.178610345262335	>0.1
OAS3	ZC3H12D	0.178506967382873	>0.1
OAS3	TMC8	0.177593096657999	>0.1
