from	to	weight	Type
OAS3	KLHL6	0.173820647205539	>0.1
OAS3	SNX20	0.17110237977969	>0.1
OAS3	GIMAP5	0.166218824771225	>0.1
OAS3	GIMAP1-GIMAP5	0.165186306382357	>0.1
OAS3	IL10RA	0.164953197965624	>0.1
OAS3	LILRB1	0.164079839693719	>0.1
OAS3	SLAMF6	0.163817683943417	>0.1
OAS3	AOAH	0.16371374518529	>0.1
OAS3	CCR2	0.163339994961749	>0.1
OAS3	CSF2RB	0.162978972296856	>0.1
OAS3	SASH3	0.162155706061405	>0.1
OAS3	CCL5	0.161727293590459	>0.1
OAS3	SLFN12L	0.160675844428762	>0.1
OAS3	IKZF1	0.159985855455314	>0.1
OAS3	CD48	0.158452243032963	>0.1
OAS3	SLA	0.158146378455851	>0.1
OAS3	CYTIP	0.157802922708592	>0.1
OAS3	CD38	0.157138512643725	>0.1
OAS3	GIMAP1	0.156538543764805	>0.1
OAS3	CCR5	0.156278443855443	>0.1
OAS3	IL21R	0.155208829356743	>0.1
OAS3	MPEG1	0.155114674839293	>0.1
OAS3	SLAMF7	0.154457281711463	>0.1
OAS3	SP140	0.15324255081442	>0.1
OAS3	GPR174	0.153050331880433	>0.1
OAS3	ITGAL	0.153043767333279	>0.1
OAS3	LILRB4	0.152496622805999	>0.1
OAS3	KCNA3	0.151938452454589	>0.1
OAS3	CD53	0.151361370693635	>0.1
OAS3	TIGIT	0.151244471972209	>0.1
