from	to	weight	Type
OAS3	SNX20	0.129608652836505	>0.1
OAS3	IL10RA	0.129568523529514	>0.1
OAS3	SASH3	0.129426219362501	>0.1
OAS3	MX1	0.124934463340723	>0.1
OAS3	CD53	0.123046733863574	>0.1
OAS3	CCR5	0.120811691271112	>0.1
OAS3	LILRB1	0.12023363765204	>0.1
OAS3	CD48	0.11975901795402	>0.1
OAS3	LAIR1	0.118978789539432	>0.1
OAS3	CD4	0.118281708026775	>0.1
OAS3	PLEK	0.117584212178483	>0.1
OAS3	LILRB4	0.116322127574841	>0.1
OAS3	NCKAP1L	0.11604134799551	>0.1
OAS3	PIK3R5	0.113615310976385	>0.1
OAS3	HAVCR2	0.113602450213504	>0.1
OAS3	MPEG1	0.113488100754313	>0.1
OAS3	IKZF1	0.112153211030989	>0.1
OAS3	SLA	0.110901083793658	>0.1
OAS3	LAPTM5	0.110304030993569	>0.1
OAS3	CTSS	0.110264510258895	>0.1
OAS3	CCL5	0.109806817880143	>0.1
OAS3	CD86	0.108340220558236	>0.1
OAS3	ITGB2	0.108118315967733	>0.1
OAS3	LYZ	0.108024499623763	>0.1
OAS3	OAS2	0.107595363648143	>0.1
OAS3	CD84	0.106451135244663	>0.1
OAS3	AOAH	0.106366192650347	>0.1
OAS3	SLAMF6	0.105875698742018	>0.1
OAS3	CYTIP	0.105121734482198	>0.1
OAS3	LST1	0.10502159402873	>0.1
