From	To	Weight
ADD3-AS1	CLK2	0.298096786839341
AFG3L1P	CLK2	0.405484459227819
ANXA2R-OT1	CLK2	0.40008125513569
ARRDC1-AS1	CLK2	0.344548712326176
ATP2B1-AS1	CLK2	0.38088131575604
B3GALT9	CLK2	0.414438716205738
BAIAP2-DT	CLK2	0.408082816629302
BAZ2B-AS1	CLK2	0.422446439437533
C19orf25	CLK2	0.207722983250935
CCAR1	CLK2	0.258382212579194
CD63-AS1	CLK2	0.390999110766094
CENPBD2P	CLK2	0.36124467755596
CERS6-AS1	CLK2	0.428087383861112
CHASERR	CLK2	0.436186713681858
CHD1-DT	CLK2	0.239850642837578
CHROMR	CLK2	0.434388039673422
CLK2	CLN8-AS1	0.370021188478551
CLK2	COX10-DT	0.408581736904634
CLK2	CTBP1-DT	0.411900695013907
CLK2	CUTALP	0.423642175328057
CLK2	DEXI	0.325149350174266
CLK2	DKFZP586I1420	0.432334226784825
CLK2	EBLN3P	0.449082526485038
CLK2	ELOA-AS1	0.440589104322461
CLK2	ERVK13-1	0.38832300475245
ADD3-AS1	ESYT3	0.331233131816675
AFG3L1P	ESYT3	0.350852604877817
ANXA2R-OT1	ESYT3	0.346831612564528
ARRDC1-AS1	ESYT3	0.318255265002901
ATP2B1-AS1	ESYT3	0.347197865808549
B3GALT9	ESYT3	0.275198929482927
BAIAP2-DT	ESYT3	0.351894225566289
BAZ2B-AS1	ESYT3	0.326895950755491
C19orf25	ESYT3	0.220845477262398
CCAR1	ESYT3	0.292733490987839
CD63-AS1	ESYT3	0.34791382909677
CENPBD2P	ESYT3	0.34506387627369
CERS6-AS1	ESYT3	0.29620435275383
CHASERR	ESYT3	0.304446504772238
CHD1-DT	ESYT3	0.273029086028284
CHROMR	ESYT3	0.319846491322578
CLK2	ESYT3	0.213787519024345
CLN8-AS1	ESYT3	0.35091372765099
COX10-DT	ESYT3	0.355899742487377
CTBP1-DT	ESYT3	0.347260590573706
CUTALP	ESYT3	0.339649235044087
DEXI	ESYT3	0.331493904927546
DKFZP586I1420	ESYT3	0.333428569487778
EBLN3P	ESYT3	0.324393067338968
ELOA-AS1	ESYT3	0.317931019716256
ERVK13-1	ESYT3	0.348761857951402
CLK2	FAM13B-AS1	0.341435077523381
ESYT3	FAM13B-AS1	0.333348469601244
CLK2	FAM219B	0.413667044561673
ESYT3	FAM219B	0.349244929221783
CLK2	FCF1P2	0.422692492012217
ESYT3	FCF1P2	0.285547258475352
CLK2	FGD5-AS1	0.446952158030821
ESYT3	FGD5-AS1	0.340112280162431
CLK2	FLJ20021	0.365152605374083
ESYT3	FLJ20021	0.353354741174015
CLK2	GABPB1-IT1	0.441179367399158
ESYT3	GABPB1-IT1	0.349414631151471
CLK2	GARS1-DT	0.426206742738791
ESYT3	GARS1-DT	0.350952829066577
CLK2	GATD1-DT	0.262169890627148
ESYT3	GATD1-DT	0.293330667993224
CLK2	GNRHR2	0.34951027461232
ESYT3	GNRHR2	0.317020266909097
CLK2	GTF2IRD1P1	0.424855830084449
ESYT3	GTF2IRD1P1	0.316923235945244
CLK2	HAPSTR1	0.419231923850258
ESYT3	HAPSTR1	0.294181659553521
CLK2	HCG18	0.443090246113553
ESYT3	HCG18	0.328557130488856
ADD3-AS1	HCN3	0.256918356198334
AFG3L1P	HCN3	0.349897541126977
ANXA2R-OT1	HCN3	0.348256760432422
ARRDC1-AS1	HCN3	0.282053863783216
ATP2B1-AS1	HCN3	0.344462685409576
B3GALT9	HCN3	0.386804764322687
BAIAP2-DT	HCN3	0.360123902899469
BAZ2B-AS1	HCN3	0.382868814536211
C19orf25	HCN3	0.120350791780062
CCAR1	HCN3	0.218364636468216
CD63-AS1	HCN3	0.342206987684881
CENPBD2P	HCN3	0.309067437199345
CERS6-AS1	HCN3	0.390411446218937
CHASERR	HCN3	0.397135595348146
CHD1-DT	HCN3	0.193719464898096
CHROMR	HCN3	0.399706801031737
CLK2	HCN3	0.309888393547833
CLN8-AS1	HCN3	0.340457241332976
COX10-DT	HCN3	0.353070918935136
CTBP1-DT	HCN3	0.364022797379508
CUTALP	HCN3	0.376036333626938
DEXI	HCN3	0.282809500648262
DKFZP586I1420	HCN3	0.391428040058585
EBLN3P	HCN3	0.400681947601136
ELOA-AS1	HCN3	0.398572159986442
ERVK13-1	HCN3	0.334120363421049
FAM13B-AS1	HCN3	0.286286601702009
FAM219B	HCN3	0.371975293946982
FCF1P2	HCN3	0.387160005765263
FGD5-AS1	HCN3	0.404687592957006
FLJ20021	HCN3	0.329570615086357
GABPB1-IT1	HCN3	0.395200247825462
GARS1-DT	HCN3	0.385609251551714
GATD1-DT	HCN3	0.208489617374083
GNRHR2	HCN3	0.29342772770599
GTF2IRD1P1	HCN3	0.390450772634903
HAPSTR1	HCN3	0.389859712762844
HCG18	HCN3	0.390003884218503
CLK2	HEIH	0.398205279405056
ESYT3	HEIH	0.346110307482407
HCN3	HEIH	0.354878389716043
CLK2	HERPUD2-AS1	0.431063493008732
ESYT3	HERPUD2-AS1	0.297448140905986
HCN3	HERPUD2-AS1	0.392043745650787
ADD3-AS1	ID4	0.272664428484232
AFG3L1P	ID4	0.400261997716713
ANXA2R-OT1	ID4	0.386417339035141
ARRDC1-AS1	ID4	0.327996822574322
ATP2B1-AS1	ID4	0.361718471429034
B3GALT9	ID4	0.402458278410854
BAIAP2-DT	ID4	0.384588882820371
BAZ2B-AS1	ID4	0.419313108361274
C19orf25	ID4	0.128556571400118
CCAR1	ID4	0.236482745511745
CD63-AS1	ID4	0.372215233706858
CENPBD2P	ID4	0.326997915468121
CERS6-AS1	ID4	0.413245512453591
CHASERR	ID4	0.4208205001019
CHD1-DT	ID4	0.219197014125186
CHROMR	ID4	0.429747652868446
CLK2	ID4	0.270385200763096
CLN8-AS1	ID4	0.342589058391953
COX10-DT	ID4	0.391472507170031
CTBP1-DT	ID4	0.399251272536043
CUTALP	ID4	0.419952561240148
DEXI	ID4	0.30930405412164
DKFZP586I1420	ID4	0.424820393288549
EBLN3P	ID4	0.432741862883477
ELOA-AS1	ID4	0.420703722447016
ERVK13-1	ID4	0.385940838729652
ESYT3	ID4	0.101229023787582
FAM13B-AS1	ID4	0.32703546180472
FAM219B	ID4	0.390437660017846
FCF1P2	ID4	0.404415634653914
FGD5-AS1	ID4	0.420485257299813
FLJ20021	ID4	0.34064197445859
GABPB1-IT1	ID4	0.428719650305538
GARS1-DT	ID4	0.423834799191257
GATD1-DT	ID4	0.252199283109134
GNRHR2	ID4	0.329530549515141
GTF2IRD1P1	ID4	0.392229374244943
HAPSTR1	ID4	0.40026587563542
HCG18	ID4	0.432957702090571
HCN3	ID4	0.148181991062802
HEIH	ID4	0.389170857249659
HERPUD2-AS1	ID4	0.41440684102765
CLK2	JPX	0.402540789402654
ESYT3	JPX	0.354569549947177
HCN3	JPX	0.350435505840618
ID4	JPX	0.379564933458179
CLK2	KMT2E-AS1	0.420227387170238
ESYT3	KMT2E-AS1	0.334554211223763
HCN3	KMT2E-AS1	0.363694716486541
ID4	KMT2E-AS1	0.426412455880811
CLK2	LIMD1-AS1	0.432666537024833
ESYT3	LIMD1-AS1	0.3370151859548
HCN3	LIMD1-AS1	0.381808811601762
ID4	LIMD1-AS1	0.40901598073685
CLK2	MAP3K2-DT	0.355565514811441
ESYT3	MAP3K2-DT	0.328847459737264
HCN3	MAP3K2-DT	0.305436870462532
ID4	MAP3K2-DT	0.336531753361377
CLK2	MIATNB	0.392978144211968
ESYT3	MIATNB	0.350025327562012
HCN3	MIATNB	0.352840883732943
ID4	MIATNB	0.382186160256418
CLK2	MIR10393	0.436938888651392
ESYT3	MIR10393	0.336544882741784
HCN3	MIR10393	0.405025200887899
ID4	MIR10393	0.410473688222615
CLK2	MIR4800	0.320673028710203
ESYT3	MIR4800	0.331978434336707
HCN3	MIR4800	0.276736439102003
ID4	MIR4800	0.297971972346851
CLK2	NIPBL-DT	0.433826030656362
ESYT3	NIPBL-DT	0.330691937698607
HCN3	NIPBL-DT	0.379881044217875
ID4	NIPBL-DT	0.423208907713392
CLK2	NORAD	0.447152246642699
ESYT3	NORAD	0.347660620709642
HCN3	NORAD	0.398675353469867
ID4	NORAD	0.425801557361676
CLK2	OIP5-AS1	0.446858873753214
ESYT3	OIP5-AS1	0.34172884799003
HCN3	OIP5-AS1	0.408382216993171
ID4	OIP5-AS1	0.421127510934922
CLK2	OTUD6B-AS1	0.430906439827033
ESYT3	OTUD6B-AS1	0.286655662910871
HCN3	OTUD6B-AS1	0.400436745318044
ID4	OTUD6B-AS1	0.408141563949749
CLK2	PHETA1	0.238436968310562
ESYT3	PHETA1	0.265669823796286
HCN3	PHETA1	0.189733531824804
ID4	PHETA1	0.199501555910361
CLK2	PNISR-AS1	0.417192578256091
ESYT3	PNISR-AS1	0.29615054269817
HCN3	PNISR-AS1	0.363811556429937
ID4	PNISR-AS1	0.420548642136392
CLK2	PNN	0.275115040733189
ESYT3	PNN	0.288141499612974
HCN3	PNN	0.234250777333902
ID4	PNN	0.240778894723912
CLK2	POLR1HASP	0.404024670745737
ESYT3	POLR1HASP	0.29327061279933
HCN3	POLR1HASP	0.350586842770499
ID4	POLR1HASP	0.418093283145351
CLK2	PPP4R1L	0.432327802775726
ESYT3	PPP4R1L	0.33951067550275
HCN3	PPP4R1L	0.385386441587109
ID4	PPP4R1L	0.419693169425317
CLK2	PSMA3-AS1	0.449480092100872
ESYT3	PSMA3-AS1	0.348162183792625
HCN3	PSMA3-AS1	0.404466866138713
ID4	PSMA3-AS1	0.440485485595699
CLK2	PSMG3-AS1	0.37237387373835
ESYT3	PSMG3-AS1	0.350915982271075
HCN3	PSMG3-AS1	0.327843562307092
ID4	PSMG3-AS1	0.353118411841486
CLK2	RBM12B-AS1	0.42236628897413
ESYT3	RBM12B-AS1	0.303572870380424
HCN3	RBM12B-AS1	0.368668774535097
ID4	RBM12B-AS1	0.417575220515749
CLK2	RBM25-AS1	0.395289816631645
ESYT3	RBM25-AS1	0.354841264619549
HCN3	RBM25-AS1	0.338896805488714
ID4	RBM25-AS1	0.381725803246948
CLK2	RIPK2-DT	0.429639163830173
ESYT3	RIPK2-DT	0.310510125397133
HCN3	RIPK2-DT	0.381490565591957
ID4	RIPK2-DT	0.417676413587164
CLK2	RN7SK	0.42422488805687
ESYT3	RN7SK	0.348293035347169
HCN3	RN7SK	0.366835972825349
ID4	RN7SK	0.406473681578879
CLK2	RN7SL1	0.418284375014623
ESYT3	RN7SL1	0.362401611653716
HCN3	RN7SL1	0.364335730871191
ID4	RN7SL1	0.393952930560916
CLK2	RN7SL2	0.397281389368571
ESYT3	RN7SL2	0.363585693239868
HCN3	RN7SL2	0.343063772424875
ID4	RN7SL2	0.373637810334815
CLK2	RN7SL3	0.397742499018045
ESYT3	RN7SL3	0.361189412209562
HCN3	RN7SL3	0.345263716763692
ID4	RN7SL3	0.374156492185928
CLK2	RNF185	0.265462289899897
ESYT3	RNF185	0.295382564299304
HCN3	RNF185	0.225166250026791
ID4	RNF185	0.238093559674445
CLK2	SCAND2P	0.425414625023346
ESYT3	SCAND2P	0.352180104178887
HCN3	SCAND2P	0.372573813003043
ID4	SCAND2P	0.411016709962974
CLK2	SCARNA12	0.316479489952063
ESYT3	SCARNA12	0.308219547785522
HCN3	SCARNA12	0.257173242358213
ID4	SCARNA12	0.295665626921111
CLK2	SCARNA13	0.419231517373991
ESYT3	SCARNA13	0.347572575764931
HCN3	SCARNA13	0.364210589059353
ID4	SCARNA13	0.402180847588311
CLK2	SCARNA17	0.344300372737211
ESYT3	SCARNA17	0.345345465595486
HCN3	SCARNA17	0.297644912169865
ID4	SCARNA17	0.334640861656315
CLK2	SCARNA2	0.369513100125502
ESYT3	SCARNA2	0.336608372900151
HCN3	SCARNA2	0.311911805312073
ID4	SCARNA2	0.354360012067
CLK2	SCARNA21	0.353805035530443
ESYT3	SCARNA21	0.33574059107985
HCN3	SCARNA21	0.303222215290707
ID4	SCARNA21	0.328864272164924
CLK2	SLC12A2-DT	0.429840498382902
ESYT3	SLC12A2-DT	0.303865873619954
HCN3	SLC12A2-DT	0.390455528257568
ID4	SLC12A2-DT	0.422453518766186
CLK2	SLC30A4-AS1	0.420231344413527
ESYT3	SLC30A4-AS1	0.299950087852121
HCN3	SLC30A4-AS1	0.389062997061032
ID4	SLC30A4-AS1	0.39342781402313
CLK2	SMIM15-AS1	0.29330544750833
ESYT3	SMIM15-AS1	0.290563129920082
HCN3	SMIM15-AS1	0.242454692420418
ID4	SMIM15-AS1	0.261790436416087
CLK2	SNHG1	0.430247856751642
ESYT3	SNHG1	0.306447900069554
HCN3	SNHG1	0.373104685236329
ID4	SNHG1	0.418764477184102
CLK2	SNHG10	0.421357211417433
ESYT3	SNHG10	0.347881809184166
HCN3	SNHG10	0.365697130382085
ID4	SNHG10	0.404678594023696
CLK2	SNHG25	0.29619198575293
ESYT3	SNHG25	0.293630145310336
HCN3	SNHG25	0.237744547243172
ID4	SNHG25	0.281445322725328
CLK2	SNHG29	0.438986469161167
ESYT3	SNHG29	0.328077058050012
HCN3	SNHG29	0.3888212293601
ID4	SNHG29	0.416921425923854
CLK2	STARD7-AS1	0.307962952670689
ESYT3	STARD7-AS1	0.292580295877042
HCN3	STARD7-AS1	0.245613157617279
ID4	STARD7-AS1	0.287627024538779
CLK2	STIM1-AS1	0.219805537301807
ESYT3	STIM1-AS1	0.273880274295477
HCN3	STIM1-AS1	0.166121374602935
ID4	STIM1-AS1	0.180984147233897
CLK2	TAF1L	0.327433724634402
ESYT3	TAF1L	0.318760052579632
HCN3	TAF1L	0.276206912226312
ID4	TAF1L	0.300528617495308
CLK2	THADA	0.291970349490901
ESYT3	THADA	0.304915519821025
HCN3	THADA	0.245123987036176
ID4	THADA	0.261003771431972
CLK2	THUMPD3-AS1	0.441160237569595
ESYT3	THUMPD3-AS1	0.313584051363317
HCN3	THUMPD3-AS1	0.389878385768543
ID4	THUMPD3-AS1	0.422626828375133
CLK2	TIRAP-AS1	0.416714417065406
ESYT3	TIRAP-AS1	0.318906074775348
HCN3	TIRAP-AS1	0.377963477532442
ID4	TIRAP-AS1	0.41885522909892
CLK2	TMEM250	0.261913147140522
ESYT3	TMEM250	0.283650181006558
HCN3	TMEM250	0.21431456287817
ID4	TMEM250	0.231975465110231
ADD3-AS1	TMUB2	0.309487114726505
AFG3L1P	TMUB2	0.270564469121499
ANXA2R-OT1	TMUB2	0.265040019079286
ARRDC1-AS1	TMUB2	0.304013288558219
ATP2B1-AS1	TMUB2	0.266718059683921
B3GALT9	TMUB2	0.160068369677785
BAIAP2-DT	TMUB2	0.279547325995732
BAZ2B-AS1	TMUB2	0.217568778403134
C19orf25	TMUB2	0.301251166886813
CCAR1	TMUB2	0.30824072523263
CD63-AS1	TMUB2	0.285671381094072
CENPBD2P	TMUB2	0.307196779181808
CERS6-AS1	TMUB2	0.186941547371151
CHASERR	TMUB2	0.188191091368488
CHD1-DT	TMUB2	0.294752950056168
CHROMR	TMUB2	0.194155386098395
CLK2	TMUB2	0.123121695181765
CLN8-AS1	TMUB2	0.266385108251259
COX10-DT	TMUB2	0.283162151051236
CTBP1-DT	TMUB2	0.259052909816042
CUTALP	TMUB2	0.234670206261945
DEXI	TMUB2	0.29676682115905
DKFZP586I1420	TMUB2	0.212701874518841
EBLN3P	TMUB2	0.221721699718138
ELOA-AS1	TMUB2	0.204240990216791
ERVK13-1	TMUB2	0.269796589040922
FAM13B-AS1	TMUB2	0.295681578796067
FAM219B	TMUB2	0.255054872880301
FCF1P2	TMUB2	0.169760767010521
FGD5-AS1	TMUB2	0.235677293101168
FLJ20021	TMUB2	0.284738403399276
GABPB1-IT1	TMUB2	0.243096565668082
GARS1-DT	TMUB2	0.229878638796336
GATD1-DT	TMUB2	0.297699293815221
GNRHR2	TMUB2	0.293774729129926
GTF2IRD1P1	TMUB2	0.214109818751862
HAPSTR1	TMUB2	0.176135304403351
HCG18	TMUB2	0.228238111284756
HEIH	TMUB2	0.261497394651291
HERPUD2-AS1	TMUB2	0.193775298527695
JPX	TMUB2	0.278590064690513
KMT2E-AS1	TMUB2	0.238319843269147
LIMD1-AS1	TMUB2	0.233841471727776
MAP3K2-DT	TMUB2	0.293328473566787
MIATNB	TMUB2	0.24657849980982
MIR10393	TMUB2	0.215147132003206
MIR4800	TMUB2	0.315651236662601
NIPBL-DT	TMUB2	0.229886597214093
NORAD	TMUB2	0.251398057233788
OIP5-AS1	TMUB2	0.227044213829144
OTUD6B-AS1	TMUB2	0.175038816996961
PHETA1	TMUB2	0.291331172051169
PNISR-AS1	TMUB2	0.196055571510874
PNN	TMUB2	0.302930620136377
POLR1HASP	TMUB2	0.195035108685729
PPP4R1L	TMUB2	0.237125345281359
PSMA3-AS1	TMUB2	0.229792057718464
PSMG3-AS1	TMUB2	0.280281711556668
RBM12B-AS1	TMUB2	0.214252193566945
RBM25-AS1	TMUB2	0.285874797659489
RIPK2-DT	TMUB2	0.217778429253762
RN7SK	TMUB2	0.273688174947036
RN7SL1	TMUB2	0.290654288137792
RN7SL2	TMUB2	0.307527402992139
RN7SL3	TMUB2	0.300791775396938
RNF185	TMUB2	0.30484389271956
SCAND2P	TMUB2	0.254933224450588
SCARNA12	TMUB2	0.31123348213837
SCARNA13	TMUB2	0.275330105852384
SCARNA17	TMUB2	0.29332131860157
SCARNA2	TMUB2	0.303754687750181
SCARNA21	TMUB2	0.30691218930767
SLC12A2-DT	TMUB2	0.186731674367694
SLC30A4-AS1	TMUB2	0.186041879568803
SMIM15-AS1	TMUB2	0.296003093843691
SNHG1	TMUB2	0.216539974886075
SNHG10	TMUB2	0.274182331903225
SNHG25	TMUB2	0.299954275196108
SNHG29	TMUB2	0.234234569730677
STARD7-AS1	TMUB2	0.296870819348467
STIM1-AS1	TMUB2	0.297807371267014
TAF1L	TMUB2	0.298896929838892
THADA	TMUB2	0.292058086251461
THUMPD3-AS1	TMUB2	0.215121689060743
TIRAP-AS1	TMUB2	0.198291246376776
TMEM250	TMUB2	0.313212340049729
CLK2	TP73-AS1	0.430260589317494
ESYT3	TP73-AS1	0.351535123487965
HCN3	TP73-AS1	0.37463447711803
ID4	TP73-AS1	0.415301547351738
TMUB2	TP73-AS1	0.26502361875508
CLK2	TRAF3IP2-AS1	0.423797476262278
