From	To	Weight
ADD3-AS1	AFG3L1P	0.428973377848529
ADD3-AS1	ANXA2R-OT1	0.416820355902484
AFG3L1P	ANXA2R-OT1	0.438937660284374
ADD3-AS1	ARRDC1-AS1	0.387538458557417
AFG3L1P	ARRDC1-AS1	0.437565811804463
ANXA2R-OT1	ARRDC1-AS1	0.425938424513657
ADD3-AS1	ATP2B1-AS1	0.397916212640725
AFG3L1P	ATP2B1-AS1	0.436063561230482
ANXA2R-OT1	ATP2B1-AS1	0.423782598522398
ARRDC1-AS1	ATP2B1-AS1	0.39732742781039
ADD3-AS1	B3GALT9	0.351961446171685
AFG3L1P	B3GALT9	0.420800618370238
ANXA2R-OT1	B3GALT9	0.4101855249456
ARRDC1-AS1	B3GALT9	0.370744347707896
ATP2B1-AS1	B3GALT9	0.384826391415622
ADD3-AS1	BAIAP2-DT	0.419385944657805
AFG3L1P	BAIAP2-DT	0.436373987435015
ANXA2R-OT1	BAIAP2-DT	0.425058581516462
ARRDC1-AS1	BAIAP2-DT	0.425146622528196
ATP2B1-AS1	BAIAP2-DT	0.423526633733522
B3GALT9	BAIAP2-DT	0.411389476617665
ADD3-AS1	BAZ2B-AS1	0.407454916547166
AFG3L1P	BAZ2B-AS1	0.433499079320728
ANXA2R-OT1	BAZ2B-AS1	0.428986745287138
ARRDC1-AS1	BAZ2B-AS1	0.417903312523524
ATP2B1-AS1	BAZ2B-AS1	0.428217935082022
B3GALT9	BAZ2B-AS1	0.433135783905771
BAIAP2-DT	BAZ2B-AS1	0.429060104823227
ADD3-AS1	C19orf25	0.367752598961938
AFG3L1P	C19orf25	0.396199386597192
ANXA2R-OT1	C19orf25	0.388344519176553
ARRDC1-AS1	C19orf25	0.391302595284977
ATP2B1-AS1	C19orf25	0.369792647133406
B3GALT9	C19orf25	0.289452224225349
BAIAP2-DT	C19orf25	0.39402059262002
BAZ2B-AS1	C19orf25	0.352998614276294
ADD3-AS1	CCAR1	0.359450192330944
AFG3L1P	CCAR1	0.426609305243995
ANXA2R-OT1	CCAR1	0.415747572748209
ARRDC1-AS1	CCAR1	0.394291221077543
ATP2B1-AS1	CCAR1	0.394498295458509
B3GALT9	CCAR1	0.343117071350215
BAIAP2-DT	CCAR1	0.418553864493003
BAZ2B-AS1	CCAR1	0.399388010964093
C19orf25	CCAR1	0.347957960662723
ADD3-AS1	CD63-AS1	0.413080617366254
AFG3L1P	CD63-AS1	0.437000703618174
ANXA2R-OT1	CD63-AS1	0.424915115455588
ARRDC1-AS1	CD63-AS1	0.417176031392544
ATP2B1-AS1	CD63-AS1	0.413397677778139
B3GALT9	CD63-AS1	0.396544238321927
BAIAP2-DT	CD63-AS1	0.425850723597004
BAZ2B-AS1	CD63-AS1	0.426706386710187
C19orf25	CD63-AS1	0.393741582648342
CCAR1	CD63-AS1	0.413713482435515
ADD3-AS1	CENPBD2P	0.398121773720594
AFG3L1P	CENPBD2P	0.434209649891629
ANXA2R-OT1	CENPBD2P	0.42332240814141
ARRDC1-AS1	CENPBD2P	0.395675796612985
ATP2B1-AS1	CENPBD2P	0.399213939774582
B3GALT9	CENPBD2P	0.371828161195096
BAIAP2-DT	CENPBD2P	0.425703011674316
BAZ2B-AS1	CENPBD2P	0.418669521417128
C19orf25	CENPBD2P	0.395066515658759
CCAR1	CENPBD2P	0.399024397457103
CD63-AS1	CENPBD2P	0.416163561875026
ADD3-AS1	CERS6-AS1	0.379659669748352
