Gene	Category	Model_Gene
TMUB2	None	TRUE
MIR4800	None	FALSE
TMEM250	None	FALSE
SCARNA12	None	FALSE
ADD3-AS1	None	FALSE
CCAR1	None	FALSE
RN7SL2	None	FALSE
CENPBD2P	None	FALSE
SCARNA21	None	FALSE
ZC3H11B	None	FALSE
RNF185	None	FALSE
ARRDC1-AS1	None	FALSE
SCARNA2	None	FALSE
PNN	None	FALSE
C19orf25	None	FALSE
RN7SL3	None	FALSE
SNHG25	None	FALSE
TAF1L	None	FALSE
STIM1-AS1	None	FALSE
GATD1-DT	None	FALSE
STARD7-AS1	None	FALSE
DEXI	None	FALSE
SMIM15-AS1	None	FALSE
FAM13B-AS1	None	FALSE
CHD1-DT	None	FALSE
GNRHR2	None	FALSE
MAP3K2-DT	None	FALSE
SCARNA17	None	FALSE
THADA	None	FALSE
YWHAEP1	None	FALSE
PHETA1	None	FALSE
ID4	None	TRUE
PSMA3-AS1	None	FALSE
HCG18	None	FALSE
EBLN3P	None	FALSE
TUG1	None	FALSE
CHROMR	None	FALSE
GABPB1-IT1	None	FALSE
KMT2E-AS1	None	FALSE
WAC-AS1	None	FALSE
NORAD	nucleobase-catabolism	FALSE
DKFZP586I1420	None	FALSE
GARS1-DT	None	FALSE
NIPBL-DT	None	FALSE
THUMPD3-AS1	None	FALSE
SLC12A2-DT	None	FALSE
ZNF892	None	FALSE
OIP5-AS1	nucleobase-catabolism	FALSE
CHASERR	None	FALSE
ZNF818P	None	FALSE
ELOA-AS1	None	FALSE
PNISR-AS1	None	FALSE
FGD5-AS1	None	FALSE
CUTALP	None	FALSE
PPP4R1L	None	FALSE
BAZ2B-AS1	None	FALSE
TRAF3IP2-AS1	None	FALSE
TIRAP-AS1	None	FALSE
SNHG1	None	FALSE
POLR1HASP	None	FALSE
RIPK2-DT	None	FALSE
RBM12B-AS1	None	FALSE
ESYT3	None	TRUE
VASH1-AS1	None	FALSE
RN7SL1	None	FALSE
COX10-DT	None	FALSE
RBM25-AS1	None	FALSE
JPX	None	FALSE
FLJ20021	None	FALSE
SCAND2P	None	FALSE
BAIAP2-DT	None	FALSE
TP73-AS1	None	FALSE
PSMG3-AS1	None	FALSE
CLN8-AS1	None	FALSE
AFG3L1P	None	FALSE
MIATNB	None	FALSE
FAM219B	None	FALSE
ERVK13-1	None	FALSE
RN7SK	None	FALSE
CD63-AS1	None	FALSE
SNHG10	None	FALSE
SCARNA13	None	FALSE
CTBP1-DT	None	FALSE
ATP2B1-AS1	None	FALSE
ANXA2R-OT1	None	FALSE
HEIH	None	FALSE
HCN3	None	TRUE
MIR10393	None	FALSE
OTUD6B-AS1	None	FALSE
ZNF542P	None	FALSE
HERPUD2-AS1	None	FALSE
GTF2IRD1P1	None	FALSE
CERS6-AS1	None	FALSE
HAPSTR1	None	FALSE
UBA6-DT	None	FALSE
SLC30A4-AS1	None	FALSE
SNHG29	None	FALSE
ZNF271P	None	FALSE
FCF1P2	None	FALSE
ZNF561-AS1	None	FALSE
B3GALT9	None	FALSE
CLK2	None	TRUE
LIMD1-AS1	None	FALSE
ZFAS1	None	FALSE
ZNF45-AS1	None	FALSE
IDO1	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation	TRUE
SLAMF6	Immune Process|Lymph/Leuk Activation|TNF cytokine	FALSE
SNX20	None	FALSE
CCR5	Immune Process|TNF cytokine	FALSE
CD53	None	FALSE
SH2D1A	Immune Process	FALSE
SASH3	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
IKZF3	Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation	FALSE
GPR174	TNF cytokine	FALSE
IKZF1	Lymph/Leuk Activation	FALSE
CD48	None	FALSE
IL10RA	Immune Process|TNF cytokine	FALSE
CCR2	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
CYTIP	None	FALSE
SPN	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
AOAH	None	FALSE
SLA	None	FALSE
NCKAP1L	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation	FALSE
CD3G	Lymph/Leuk Activation	FALSE
PTPN7	None	FALSE
MPEG1	Immune Process	FALSE
SLFN12L	None	FALSE
CD86	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation	FALSE
SLAMF1	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation	FALSE
TASL	None	FALSE
CD3D	Lymph/Leuk Activation	FALSE
TFEC	None	FALSE
TIGIT	Lymph/Leuk Activation|TNF cytokine	FALSE
JAML	Lymph/Leuk Activation	FALSE
CCL5	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
