From	To	Weight
ALDOC	ARPP19	0.322357964892985
ALDOC	BAZ2B-AS1	0.3327576315252
ALDOC	CERS6-AS1	0.340476001135275
ALDOC	CHASERR	0.340599450801238
ALDOC	CIZ1	0.30606500869087
ALDOC	CLK2	0.200869726400536
ARPP19	CLK2	0.40478791229862
BAZ2B-AS1	CLK2	0.414924586279751
CERS6-AS1	CLK2	0.428500085033027
CHASERR	CLK2	0.437143445440347
CIZ1	CLK2	0.388923945983177
ALDOC	DKFZP586I1420	0.32603293707615
CLK2	DKFZP586I1420	0.426640404960633
ALDOC	DLEU1	0.329740835603158
CLK2	DLEU1	0.419813478540308
ALDOC	DLEU2	0.342462423147211
CLK2	DLEU2	0.402091524375915
ALDOC	EBLN3P	0.351007664462546
CLK2	EBLN3P	0.436920924719915
ARPP19	EGR1	0.373719269748336
BAZ2B-AS1	EGR1	0.411661074117117
CERS6-AS1	EGR1	0.407857365505961
CHASERR	EGR1	0.406321558462689
CIZ1	EGR1	0.358182368667569
CLK2	EGR1	0.233358541196137
DKFZP586I1420	EGR1	0.400811539948162
DLEU1	EGR1	0.395847631350525
DLEU2	EGR1	0.401624884655941
EBLN3P	EGR1	0.415482475784719
ALDOC	EIF3J-DT	0.340373818915316
CLK2	EIF3J-DT	0.422218004537828
EGR1	EIF3J-DT	0.411184883862044
ALDOC	ELOA-AS1	0.355340400570558
CLK2	ELOA-AS1	0.43378727680817
EGR1	ELOA-AS1	0.423496942118425
ALDOC	ENO1	0.153057008632709
ARPP19	ENO1	0.362409627580852
BAZ2B-AS1	ENO1	0.399605165138727
CERS6-AS1	ENO1	0.39310380716249
CHASERR	ENO1	0.392686162855376
CIZ1	ENO1	0.34231536388437
CLK2	ENO1	0.223223741079359
DKFZP586I1420	ENO1	0.384741186564823
DLEU1	ENO1	0.380523476923363
DLEU2	ENO1	0.397458186609656
EBLN3P	ENO1	0.403910493137074
EGR1	ENO1	0.158506175299117
EIF3J-DT	ENO1	0.402513162524963
ELOA-AS1	ENO1	0.414245821159595
ALDOC	ERVK3-1	0.349566106985224
CLK2	ERVK3-1	0.396995179681394
EGR1	ERVK3-1	0.40699827011181
ENO1	ERVK3-1	0.409564393872543
ARPP19	ESYT3	0.338691409938784
BAZ2B-AS1	ESYT3	0.371326172588312
CERS6-AS1	ESYT3	0.369749907023568
CHASERR	ESYT3	0.377390767526212
CIZ1	ESYT3	0.320680633883141
CLK2	ESYT3	0.237781351991287
DKFZP586I1420	ESYT3	0.375503853359142
DLEU1	ESYT3	0.35937848899088
DLEU2	ESYT3	0.367590494334298
EBLN3P	ESYT3	0.378252926954147
EIF3J-DT	ESYT3	0.383080650917633
ELOA-AS1	ESYT3	0.382852828352277
ERVK3-1	ESYT3	0.377503361226162
ALDOC	FCF1P2	0.320388730900973
CLK2	FCF1P2	0.401013645788624
EGR1	FCF1P2	0.371436968770325
ENO1	FCF1P2	0.359132038787447
ESYT3	FCF1P2	0.332127331581931
ALDOC	FGD5-AS1	0.35725949244291
CLK2	FGD5-AS1	0.436668702031578
EGR1	FGD5-AS1	0.422265348989405
ENO1	FGD5-AS1	0.415531290125807
ESYT3	FGD5-AS1	0.388421559263592
ALDOC	GABPB1-AS1	0.334806892022665
CLK2	GABPB1-AS1	0.416016250641539
EGR1	GABPB1-AS1	0.41159128032533
ENO1	GABPB1-AS1	0.402330027059116
ESYT3	GABPB1-AS1	0.383297428965792
ALDOC	GABPB1-IT1	0.335198216121696
CLK2	GABPB1-IT1	0.439511333353746
EGR1	GABPB1-IT1	0.411922847651808
ENO1	GABPB1-IT1	0.396027158724851
ESYT3	GABPB1-IT1	0.389295788986751
ALDOC	GARS1-DT	0.311896084420338
CLK2	GARS1-DT	0.429054218001924
EGR1	GARS1-DT	0.385008336952664
ENO1	GARS1-DT	0.363014399913641
ESYT3	GARS1-DT	0.366027006917717
ALDOC	GMFB	0.272229573204696
CLK2	GMFB	0.345153338202982
EGR1	GMFB	0.314908407021374
ENO1	GMFB	0.301409818094534
