From	To	Weight
ALDOC	ARPP19	0.322357964892985
ALDOC	BAZ2B-AS1	0.3327576315252
ARPP19	BAZ2B-AS1	0.428972303767233
ALDOC	CERS6-AS1	0.340476001135275
ARPP19	CERS6-AS1	0.437014091457231
BAZ2B-AS1	CERS6-AS1	0.437318989031507
ALDOC	CHASERR	0.340599450801238
ARPP19	CHASERR	0.445022145153703
BAZ2B-AS1	CHASERR	0.438340469514874
CERS6-AS1	CHASERR	0.443256759524076
ALDOC	CIZ1	0.30606500869087
ARPP19	CIZ1	0.41407135759719
BAZ2B-AS1	CIZ1	0.430443733038744
CERS6-AS1	CIZ1	0.437092010618667
CHASERR	CIZ1	0.443863234560196
ALDOC	CLK2	0.200869726400536
ARPP19	CLK2	0.40478791229862
BAZ2B-AS1	CLK2	0.414924586279751
CERS6-AS1	CLK2	0.428500085033027
CHASERR	CLK2	0.437143445440347
CIZ1	CLK2	0.388923945983177
ALDOC	DKFZP586I1420	0.32603293707615
ARPP19	DKFZP586I1420	0.433796731886808
BAZ2B-AS1	DKFZP586I1420	0.43893975616031
CERS6-AS1	DKFZP586I1420	0.439665923368806
CHASERR	DKFZP586I1420	0.441186717190545
CIZ1	DKFZP586I1420	0.434984749284016
CLK2	DKFZP586I1420	0.426640404960633
ALDOC	DLEU1	0.329740835603158
ARPP19	DLEU1	0.432131305530414
BAZ2B-AS1	DLEU1	0.435906639596517
CERS6-AS1	DLEU1	0.438337563193628
CHASERR	DLEU1	0.44499563558829
CIZ1	DLEU1	0.431278766788232
CLK2	DLEU1	0.419813478540308
DKFZP586I1420	DLEU1	0.439221378258438
ALDOC	DLEU2	0.342462423147211
ARPP19	DLEU2	0.416154274961797
BAZ2B-AS1	DLEU2	0.436046936100072
CERS6-AS1	DLEU2	0.433336747077354
CHASERR	DLEU2	0.437991174324485
CIZ1	DLEU2	0.41520693830989
CLK2	DLEU2	0.402091524375915
DKFZP586I1420	DLEU2	0.436007687972763
DLEU1	DLEU2	0.425924313696205
ALDOC	EBLN3P	0.351007664462546
ARPP19	EBLN3P	0.44825882542113
BAZ2B-AS1	EBLN3P	0.442299171944465
CERS6-AS1	EBLN3P	0.447269430369104
CHASERR	EBLN3P	0.446940850129431
CIZ1	EBLN3P	0.447523865553733
CLK2	EBLN3P	0.436920924719915
DKFZP586I1420	EBLN3P	0.443982760954182
DLEU1	EBLN3P	0.447230554226762
DLEU2	EBLN3P	0.441737853846697
ARPP19	EGR1	0.373719269748336
BAZ2B-AS1	EGR1	0.411661074117117
CERS6-AS1	EGR1	0.407857365505961
CHASERR	EGR1	0.406321558462689
CIZ1	EGR1	0.358182368667569
CLK2	EGR1	0.233358541196137
DKFZP586I1420	EGR1	0.400811539948162
DLEU1	EGR1	0.395847631350525
DLEU2	EGR1	0.401624884655941
EBLN3P	EGR1	0.415482475784719
ALDOC	EIF3J-DT	0.340373818915316
ARPP19	EIF3J-DT	0.430891115057307
BAZ2B-AS1	EIF3J-DT	0.439026080770914
CERS6-AS1	EIF3J-DT	0.438733075602264
CHASERR	EIF3J-DT	0.439278783737123
CIZ1	EIF3J-DT	0.429887369162503
CLK2	EIF3J-DT	0.422218004537828
DKFZP586I1420	EIF3J-DT	0.438877582741745
DLEU1	EIF3J-DT	0.43729337237065
DLEU2	EIF3J-DT	0.438582464313216
EBLN3P	EIF3J-DT	0.44246478030009
EGR1	EIF3J-DT	0.411184883862044
ALDOC	ELOA-AS1	0.355340400570558
ARPP19	ELOA-AS1	0.446978747807247
BAZ2B-AS1	ELOA-AS1	0.445315137811668
CERS6-AS1	ELOA-AS1	0.447920104711788
CHASERR	ELOA-AS1	0.447227476985823
CIZ1	ELOA-AS1	0.445906793021317
CLK2	ELOA-AS1	0.43378727680817
DKFZP586I1420	ELOA-AS1	0.444667642536434
DLEU1	ELOA-AS1	0.44786292677047
DLEU2	ELOA-AS1	0.445241593735118
EBLN3P	ELOA-AS1	0.447801156809801
EGR1	ELOA-AS1	0.423496942118425
