Gene	Category	Model_Gene
ALDOC	Epithelial differentiation|nucleobase-catabolism	TRUE
FGD5-AS1	None	FALSE
ELOA-AS1	None	FALSE
THUMPD3-AS1	None	FALSE
NORAD	nucleobase-catabolism	FALSE
LIMD1-AS1	None	FALSE
SNHG29	None	FALSE
SNHG1	None	FALSE
SCARNA10	None	FALSE
RCC2-AS1	None	FALSE
PSMA3-AS1	None	FALSE
OIP5-AS1	nucleobase-catabolism	FALSE
EBLN3P	None	FALSE
ZNF271P	None	FALSE
RN7SK	None	FALSE
ERVK3-1	None	FALSE
GTF2IRD1P1	None	FALSE
SCARNA7	None	FALSE
ZFAS1	None	FALSE
SNHG3	None	FALSE
SNHG10	None	FALSE
TUG1	None	FALSE
ZNF407-AS1	None	FALSE
SNHG12	None	FALSE
NRAV	None	FALSE
SFT2D3	None	FALSE
NNT-AS1	None	FALSE
DLEU2	None	FALSE
SCARNA13	None	FALSE
MLF1-DT	None	FALSE
SNHG8	None	FALSE
ID4	None	TRUE
GABPB1-IT1	None	FALSE
HCG18	None	FALSE
WAC-AS1	None	FALSE
NIPBL-DT	None	FALSE
CHASERR	None	FALSE
HERPUD2-AS1	None	FALSE
PNISR-AS1	None	FALSE
BAZ2B-AS1	None	FALSE
RAB33B-AS1	None	FALSE
KMT2E-AS1	None	FALSE
GABPB1-AS1	None	FALSE
HCG11	None	FALSE
DKFZP586I1420	None	FALSE
POLR1HASP	None	FALSE
SCAND2P	None	FALSE
CERS6-AS1	None	FALSE
MIR4453HG	None	FALSE
LCDR	None	FALSE
EIF3J-DT	None	FALSE
ENO1	nucleobase-catabolism	TRUE
TP73-AS1	None	FALSE
ZFAND2A-DT	None	FALSE
OSER1-DT	None	FALSE
IPO5P1	None	FALSE
EGR1	None	TRUE
ESYT3	None	TRUE
RN7SL1	None	FALSE
SNHG16	None	FALSE
CLK2	None	TRUE
GARS1-DT	None	FALSE
UBA6-DT	None	FALSE
RIPK2-DT	None	FALSE
STARD4-AS1	None	FALSE
MIR12127	None	FALSE
SLC12A2-DT	None	FALSE
N4BP2L2-IT2	None	FALSE
MIR10393	None	FALSE
SHROOM1	None	TRUE
SYNJ2BP	None	FALSE
ARPP19	None	FALSE
OTUD6B-AS1	None	FALSE
FCF1P2	None	FALSE
LYRM2	None	FALSE
TMEM167A	None	FALSE
PDCD6IP-DT	None	FALSE
SYNDIG1L	None	FALSE
SP2-AS1	None	FALSE
UFM1	None	FALSE
GMFB	None	FALSE
DLEU1	None	FALSE
SLC30A4-AS1	None	FALSE
ZNF252P	None	FALSE
CIZ1	None	FALSE
MIR3916	None	FALSE
THAP9-AS1	None	FALSE
MTPN	None	FALSE
IDO1	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation	TRUE
STAM2	None	FALSE
