from	to	weight	Type
RRM2	USP1	0.1676956945271	>0.1
RRM2	NUF2	0.165142665750868	>0.1
RRM2	DEPDC1	0.164631137776043	>0.1
RRM2	KIF11	0.163430976437884	>0.1
RRM2	DBF4	0.15908002123926	>0.1
RRM2	CCNA2	0.157157890835782	>0.1
RRM2	RACGAP1	0.153440174216951	>0.1
RRM2	CDK1	0.151805908928703	>0.1
RRM2	CDKN3	0.151695268748839	>0.1
RRM2	UBE2T	0.150421417574802	>0.1
RRM2	PTTG1	0.148923335750061	>0.1
RRM2	TTK	0.148883183146558	>0.1
RRM2	SCARF1	0.148248043037619	>0.1
RRM2	CCNB1	0.146810836192399	>0.1
RRM2	CKAP2	0.145824533207293	>0.1
RRM2	NCAPG	0.145086662744239	>0.1
RRM2	NEK2	0.143754726383865	>0.1
RRM2	TOP2A	0.143707587564441	>0.1
RRM2	CENPQ	0.143244412395227	>0.1
RRM2	IFFO1	0.142751628619833	>0.1
RRM2	NUSAP1	0.141856125087536	>0.1
RRM2	MRPL39	0.141461285277756	>0.1
RRM2	SSX2IP	0.141433020542826	>0.1
RRM2	CEP55	0.141132571411798	>0.1
RRM2	EXO1	0.14073600276523	>0.1
RRM2	CSE1L	0.140260978365518	>0.1
RRM2	KIF15	0.139903173184791	>0.1
RRM2	STARD8	0.139755203114541	>0.1
RRM2	DLGAP5	0.13917106528666	>0.1
RRM2	VRK1	0.138766164004702	>0.1
