from	to	weight	Type
RRM2	TOP2A	0.231488049089396	>0.2
RRM2	NUF2	0.230990461441948	>0.2
RRM2	DEPDC1	0.230674086953834	>0.2
RRM2	KIF2C	0.230047271608283	>0.2
RRM2	KIF14	0.229426850289634	>0.2
RRM2	BUB1	0.22844768698266	>0.2
RRM2	KIF11	0.228117194363123	>0.2
RRM2	MELK	0.228099335529785	>0.2
RRM2	MCM10	0.227718493149971	>0.2
RRM2	HJURP	0.226897397261459	>0.2
RRM2	PTTG1	0.225485542529073	>0.2
RRM2	SHCBP1	0.225257562623318	>0.2
RRM2	EXO1	0.224006333661468	>0.2
RRM2	NEK2	0.223805569985133	>0.2
RRM2	RACGAP1	0.223437246105734	>0.2
RRM2	TPRG1L	0.221904405537577	>0.2
RRM2	DLGAP5	0.22063779716535	>0.2
RRM2	FANCI	0.220034551690251	>0.2
RRM2	CCNB2	0.219912226652194	>0.2
RRM2	ARHGAP11A	0.219847353613208	>0.2
RRM2	CEP55	0.219614353449077	>0.2
RRM2	CCNB1	0.21881622894659	>0.2
RRM2	LMNB1	0.218758697557556	>0.2
RRM2	KNL1	0.21815984321094	>0.2
RRM2	KIF4A	0.218049023507847	>0.2
RRM2	BUB1B	0.217947745217274	>0.2
RRM2	CKAP2L	0.217827952698537	>0.2
RRM2	KIF20A	0.217560564396782	>0.2
RRM2	NCAPG	0.216973599351034	>0.2
RRM2	KIF15	0.216804236887384	>0.2
