from	to	weight	Type
SHROOM1	PPP1R12C	0.20977187658661	>0.2
SHROOM1	DGKZ	0.207701872000373	>0.2
SHROOM1	FAM193B	0.206167591772422	>0.2
SHROOM1	ANAPC2	0.20515304801845	>0.2
SHROOM1	CROCC	0.204975847753691	>0.2
SHROOM1	PIDD1	0.204513200243497	>0.2
SHROOM1	CDK10	0.203052549597547	>0.2
SHROOM1	MED16	0.201958446164212	>0.2
SHROOM1	API5	0.201886890420062	>0.2
SHROOM1	TIPRL	0.201840669332182	>0.2
SHROOM1	ACAP3	0.201544111971847	>0.2
SHROOM1	HDAC10	0.20099484722636	>0.2
SHROOM1	LZTR1	0.200462328948936	>0.2
SHROOM1	SZT2-AS1	0.199118772403362	>0.1
SHROOM1	CCDC9	0.199062278232589	>0.1
SHROOM1	TUBGCP6	0.199040406890675	>0.1
SHROOM1	TMEM175	0.198048880171161	>0.1
SHROOM1	CBX3	0.197760278520453	>0.1
SHROOM1	NCKAP5L	0.197597024887235	>0.1
SHROOM1	MIB2	0.196941628053147	>0.1
SHROOM1	SGSM2	0.195485572397603	>0.1
SHROOM1	MAP3K11	0.195154737600969	>0.1
SHROOM1	BROX	0.194786947236312	>0.1
SHROOM1	AMIGO3	0.194360313972214	>0.1
SHROOM1	ACTR6	0.194171866109579	>0.1
SHROOM1	TYK2	0.194142388391748	>0.1
SHROOM1	SPAST	0.193998978815325	>0.1
SHROOM1	ZNF276	0.192581019984662	>0.1
SHROOM1	EML3	0.192424430054638	>0.1
SHROOM1	TRMT2A	0.19240067324535	>0.1
