from	to	weight	Type
SHROOM1	SYNJ2BP	0.39419656400059	>0.25
SHROOM1	ARPP19	0.3915618214542	>0.25
SHROOM1	OTUD6B-AS1	0.386374670702576	>0.25
SHROOM1	FCF1P2	0.386106424507265	>0.25
SHROOM1	WAC-AS1	0.384284554499462	>0.25
SHROOM1	LYRM2	0.382311126946841	>0.25
SHROOM1	EBLN3P	0.382156096976672	>0.25
SHROOM1	TMEM167A	0.381408544011094	>0.25
SHROOM1	CHASERR	0.38019125740218	>0.25
SHROOM1	PSMA3-AS1	0.379826816537235	>0.25
SHROOM1	PDCD6IP-DT	0.379790923617927	>0.25
SHROOM1	THUMPD3-AS1	0.377102826896214	>0.25
SHROOM1	GTF2IRD1P1	0.37657055542799	>0.25
SHROOM1	ZNF271P	0.376548115162931	>0.25
SHROOM1	SYNDIG1L	0.376136850574284	>0.25
SHROOM1	SP2-AS1	0.376035271237938	>0.25
SHROOM1	SLC12A2-DT	0.376018587815195	>0.25
SHROOM1	OIP5-AS1	0.375674268093983	>0.25
SHROOM1	UFM1	0.375565580986565	>0.25
SHROOM1	MIR10393	0.37502925732375	>0.25
SHROOM1	ELOA-AS1	0.374576264334748	>0.25
SHROOM1	FGD5-AS1	0.374183069456959	>0.25
SHROOM1	GMFB	0.373704431068965	>0.25
SHROOM1	DLEU1	0.373139301192926	>0.25
SHROOM1	SLC30A4-AS1	0.372995766501803	>0.25
SHROOM1	ZNF252P	0.371475541473833	>0.25
SHROOM1	CIZ1	0.36989447590079	>0.25
SHROOM1	MIR3916	0.369785641008948	>0.25
SHROOM1	THAP9-AS1	0.369773408147511	>0.25
SHROOM1	MTPN	0.369224354224242	>0.25
