from	to	weight	Type
SHROOM1	GMFB	0.269678555036133	>0.25
SHROOM1	TNRC18	0.265266556240491	>0.25
SHROOM1	SF3A2	0.260936570797872	>0.25
SHROOM1	PRR12	0.260708072844184	>0.25
SHROOM1	NCOR2	0.260484315751028	>0.25
SHROOM1	HCFC1	0.259869830052009	>0.25
SHROOM1	ZNF335	0.259081561455133	>0.25
SHROOM1	MRPL42	0.257528050303931	>0.25
SHROOM1	BICRA	0.256789236652624	>0.25
SHROOM1	REXO1	0.256737773139442	>0.25
SHROOM1	LYRM2	0.25618664077954	>0.25
SHROOM1	MTPN	0.255956824943251	>0.25
SHROOM1	NPEPL1	0.255907173537742	>0.25
SHROOM1	UBE2W	0.25386890614045	>0.25
SHROOM1	PRRC2A	0.253268928867234	>0.25
SHROOM1	RTEL1	0.252598615767631	>0.25
SHROOM1	BCL9L	0.252365228985294	>0.25
SHROOM1	SETD1A	0.251846315388077	>0.25
SHROOM1	SOCS4	0.251663612909284	>0.25
SHROOM1	ARPP19	0.250114445210843	>0.25
SHROOM1	CRIPT	0.249979023394674	>0.2
SHROOM1	SYNJ2BP	0.249952103247471	>0.2
SHROOM1	UFM1	0.249805050042628	>0.2
SHROOM1	ARL5A	0.247199060274529	>0.2
SHROOM1	CGGBP1	0.247040237333595	>0.2
SHROOM1	KMT2D	0.247014443573828	>0.2
SHROOM1	TRAPPC6B	0.247013001040856	>0.2
SHROOM1	TMEM167A	0.246685794608914	>0.2
SHROOM1	ZC3H18	0.246216574615711	>0.2
SHROOM1	PPDPF	0.245382378785279	>0.2
