from	to	weight	Type
TMUB2	MIR4800	0.315651236662601	>0.25
TMUB2	TMEM250	0.313212340049729	>0.25
TMUB2	SCARNA12	0.31123348213837	>0.25
TMUB2	ADD3-AS1	0.309487114726505	>0.25
TMUB2	CCAR1	0.30824072523263	>0.25
TMUB2	RN7SL2	0.307527402992139	>0.25
TMUB2	CENPBD2P	0.307196779181808	>0.25
TMUB2	SCARNA21	0.30691218930767	>0.25
TMUB2	ZC3H11B	0.306565400386422	>0.25
TMUB2	RNF185	0.30484389271956	>0.25
TMUB2	ARRDC1-AS1	0.304013288558219	>0.25
TMUB2	SCARNA2	0.303754687750181	>0.25
TMUB2	PNN	0.302930620136377	>0.25
TMUB2	C19orf25	0.301251166886813	>0.25
TMUB2	RN7SL3	0.300791775396938	>0.25
TMUB2	SNHG25	0.299954275196108	>0.25
TMUB2	TAF1L	0.298896929838892	>0.25
TMUB2	STIM1-AS1	0.297807371267014	>0.25
TMUB2	GATD1-DT	0.297699293815221	>0.25
TMUB2	STARD7-AS1	0.296870819348467	>0.25
TMUB2	DEXI	0.29676682115905	>0.25
TMUB2	SMIM15-AS1	0.296003093843691	>0.25
TMUB2	FAM13B-AS1	0.295681578796067	>0.25
TMUB2	CHD1-DT	0.294752950056168	>0.25
TMUB2	GNRHR2	0.293774729129926	>0.25
TMUB2	MAP3K2-DT	0.293328473566787	>0.25
TMUB2	SCARNA17	0.29332131860157	>0.25
TMUB2	THADA	0.292058086251461	>0.25
TMUB2	YWHAEP1	0.291874126666907	>0.25
TMUB2	PHETA1	0.291331172051169	>0.25
