from	to	weight	Type
TMUB2	TMEM259	0.181281370600582	>0.1
TMUB2	ARSA	0.173320841622371	>0.1
TMUB2	ZNF668	0.172410062873551	>0.1
TMUB2	AP5Z1	0.167513515206065	>0.1
TMUB2	SCAMP4	0.166802360758497	>0.1
TMUB2	CHPF	0.1662652588282	>0.1
TMUB2	TP53I13	0.166000837385355	>0.1
TMUB2	CSNK1G2	0.165961263715943	>0.1
TMUB2	JOSD2	0.165141881500672	>0.1
TMUB2	PKD1	0.163074604435926	>0.1
TMUB2	LMF2	0.161929992205522	>0.1
TMUB2	ACADS	0.159385507695905	>0.1
TMUB2	SIRT6	0.159186053669471	>0.1
TMUB2	MIR6084	0.158217260064743	>0.1
TMUB2	STK11	0.157881408984178	>0.1
TMUB2	BCAR1	0.156979807251994	>0.1
TMUB2	EGFL7	0.156179149480124	>0.1
TMUB2	MADCAM1-AS1	0.156039312624878	>0.1
TMUB2	DGKQ	0.155244866582548	>0.1
TMUB2	SLC38A10	0.154416895357901	>0.1
TMUB2	TPGS1	0.154255960813778	>0.1
TMUB2	TECPR1	0.154048152838776	>0.1
TMUB2	BTBD2	0.153448436918012	>0.1
TMUB2	LLGL1	0.15333116524866	>0.1
TMUB2	FBXW5	0.153253812228845	>0.1
TMUB2	CORO7	0.152276464290377	>0.1
TMUB2	SMARCA5-AS1	0.152006516224128	>0.1
TMUB2	FLYWCH1	0.151843730813809	>0.1
TMUB2	ARHGAP45	0.151502039548754	>0.1
TMUB2	SBF1	0.150506800996295	>0.1
