from	to	weight	Type
TMUB2	ABHD17A	0.171314106900115	>0.1
TMUB2	TP53I13	0.159829224440889	>0.1
TMUB2	MBD3	0.148565226385599	>0.1
TMUB2	CSNK1G2	0.148392751858344	>0.1
TMUB2	NDUFS7	0.142243609131548	>0.1
TMUB2	JOSD2	0.141185448733999	>0.1
TMUB2	TMEM259	0.140692950622917	>0.1
TMUB2	SLC39A13	0.139323511358468	>0.1
TMUB2	MIR6084	0.138778976508735	>0.1
TMUB2	POLR2E	0.138116747710298	>0.1
TMUB2	TPGS1	0.137928102002537	>0.1
TMUB2	BRAT1	0.136992090922453	>0.1
TMUB2	RNH1	0.136408216622978	>0.1
TMUB2	SMARCA5-AS1	0.135815525746516	>0.1
TMUB2	AMDHD2	0.135552584985389	>0.1
TMUB2	SIRT6	0.135502428154419	>0.1
TMUB2	DGKQ	0.133690234296781	>0.1
TMUB2	E4F1	0.131401988473201	>0.1
TMUB2	MADCAM1-AS1	0.129974242645806	>0.1
TMUB2	CAPN15	0.129733368459474	>0.1
TMUB2	ADAT3	0.129502090427325	>0.1
TMUB2	MPG	0.129277725544765	>0.1
TMUB2	LMF2	0.128976050027472	>0.1
TMUB2	MFSD12	0.128601856465143	>0.1
TMUB2	APBA3	0.128053015467929	>0.1
TMUB2	ANTKMT	0.127439755092216	>0.1
TMUB2	SCO2	0.125586968777682	>0.1
TMUB2	FBXL15	0.125319514910137	>0.1
TMUB2	CACTIN-AS1	0.124475147955681	>0.1
TMUB2	FLYWCH1	0.124394860450243	>0.1
