Probe Name	Annotation	Accession #	NS Probe ID	Class Name	Analyte Type	Target Sequence	% Samples above Threshold	Positive Flag	Avg Count	Min Count	Max Count	20250318_30103031230726-01_S10-16752 C1_01.RCC	20250318_30103031230726-01_S10-16783 A2_02.RCC	20250318_30103031230726-01_S10-17623 A2_03.RCC	20250318_30103031230726-01_S10-18931 A6_04.RCC	20250318_30103031230726-01_S11-11709 A2_06.RCC	20250318_30103031230726-01_S11-12085 C1_07.RCC	20250318_30103031230726-01_S11-3355 A1 _05.RCC	20250318_30103031230726-01_S12-11538 B3_10.RCC	20250318_30103031230726-01_S12-3590 C5_08.RCC	20250318_30103031230726-01_S12-8138 A2_09.RCC	20250318_30103031230726-01_S13-3620 D2_11.RCC	20250318_30103031230726-01_S13-8160 A2_12.RCC	20250320_30103031210726-01_S13-19142 C2_02.RCC	20250320_30103031210726-01_S13-21353 A4_03.RCC	20250320_30103031210726-01_S13-9885 J1_01.RCC	20250320_30103031210726-01_S14-12409 D2_05.RCC	20250320_30103031210726-01_S14-2474 B2_04.RCC	20250320_30103031210726-01_S16-23867 D1_06.RCC	20250320_30103031210726-01_S16-7066 C1_07.RCC	20250320_30103031210726-01_S17-18143 A2_08.RCC	20250320_30103031210726-01_S21-24801 A2_11.RCC	20250320_30103031210726-01_S21-28943 A10_10.RCC	20250320_30103031210726-01_S21-32280 A2_09.RCC	20250320_30103031210726-01_S22-9274 B7_12.RCC
A2M		NM_000014.4		Endogenous	mRNA		100.00	false	2666.47	809.80	6399.68	809.80	2592.88	5996.73	2242.26	1393.15	936.59	2802.52	6399.68	3603.75	1575.61	3324.74	1711.17	3982.55	1933.91	1224.49	3863.67	1730.37	1046.32	2451.99	1067.39	1835.93	3185.74	4913.43	3370.64
ACVR1C		NM_145259.2		Endogenous	mRNA		100.00	false	67.27	16.85	345.39	49.63	52.61	27.54	16.85	28.05	166.86	29.79	22.72	25.50	38.56	336.72	24.77	125.22	24.40	52.57	23.59	50.49	30.45	26.06	27.62	345.39	22.63	38.03	28.33
ADAM12		NM_003474.5		Endogenous	mRNA		100.00	false	222.90	11.04	1355.34	118.63	128.60	347.89	11.04	64.11	123.80	313.60	30.74	259.70	277.29	186.34	22.79	700.28	154.88	300.19	95.36	122.35	87.28	22.05	276.23	153.72	113.15	1355.34	84.21
ADGRE1		NM_001256252.1		Endogenous	mRNA		83.33	false	17.21	4.38	69.98	26.63	7.88	12.85	7.55	8.50	69.98	18.20	13.37	20.78	11.02	58.85	5.95	17.39	12.73	15.26	19.66	9.71	8.88	14.03	7.79	11.68	4.38	14.94	14.95
ADM		NM_001124.2		Endogenous	mRNA		100.00	false	253.40	39.66	2585.91	273.57	74.32	163.39	95.29	88.16	134.57	62.06	169.75	196.43	190.98	2585.91	69.36	95.07	144.27	193.34	300.84	112.64	71.04	302.74	39.66	139.13	236.52	142.60	199.89
ADORA2A		NM_000675.5		Endogenous	mRNA		100.00	false	43.83	20.70	119.84	119.84	35.07	44.98	26.73	20.70	86.12	28.96	41.43	61.38	44.07	78.46	63.41	48.69	27.58	50.88	32.44	31.07	24.36	32.08	21.25	27.24	27.74	52.96	24.40
AKT1		NM_005163.2		Endogenous	mRNA		100.00	false	838.65	572.91	1225.95	671.81	656.36	988.59	817.53	844.84	1076.54	941.62	843.40	826.33	1030.20	647.29	727.27	838.25	688.49	658.04	1004.75	572.91	1225.95	695.70	876.86	910.67	786.94	1011.75	785.41
ALDOA		NM_000034.3		Endogenous	mRNA		100.00	false	3169.01	1870.17	7186.52	1870.17	2616.26	2988.73	2503.15	3400.72	2987.40	3407.37	2555.60	2476.16	3292.61	3393.40	7186.52	3103.72	2645.74	6366.66	3239.39	2590.70	2286.48	2207.39	3137.02	3880.08	2341.12	3384.27	2195.68
ALDOC		NM_005165.2		Endogenous	mRNA		100.00	false	132.01	35.52	308.42	163.41	160.33	148.70	90.06	149.60	80.74	80.26	165.74	79.33	110.18	241.92	216.00	86.96	133.67	105.15	112.08	118.47	35.52	136.33	83.58	308.42	141.62	110.00	110.18
ANGPT1		NM_001199859.1		Endogenous	mRNA		100.00	false	112.51	30.26	301.99	30.26	210.44	301.99	107.49	123.55	64.59	47.16	195.14	42.50	145.07	156.92	43.60	111.30	201.56	52.57	139.60	81.57	94.38	112.27	66.58	74.92	128.48	85.56	82.63
