Nano_Gene hg38pt14_Gene Nano RNA Top_Isoform Match Top_Isoform_Adzib Top_Isoform_EGA Top_Isoform_Jim
A2M A2M A2M:NM_000014.4 NM_000014.6 NM_000014.6 Yes NM_001347425.2 NM_001347425.2 NM_000014
ABCF1 ABCF1 ABCF1:NM_001090.2 NM_001090.3 NM_001025091.2 No NM_001090.3 NM_001090.3 NA
ACVR1C ACVR1C ACVR1C:NM_145259.2 NM_145259.3 NM_001111031.2 No NM_001111031.2 NM_145259.3 NM_001111031
ADAM12 ADAM12 ADAM12:NM_003474.5 NM_003474.6 NM_001288975.2 No NM_001288975.2 NM_001288975.2 NM_001288973
ADGRE1 ADGRE1 ADGRE1:NM_001256252.1 NM_001256252.2 NM_001256254.2 No NM_001256254.2 NM_001256255.2 NM_001256252
ADM ADM ADM:NM_001124.2 NM_001124.3 NM_001124.3 Yes NM_001124.3 NM_001124.3 NM_001124
ADORA2A ADORA2A ADORA2A:NM_000675.5 NM_000675.6 NR_103544.2 No NR_103544.2 NR_103543.2 NM_000675
AKT1 AKT1 AKT1:NM_005163.2 NM_005163.2 NM_001014431.2 No NM_001014431.2 NM_001014431.2 NM_001014431
ALDOA ALDOA ALDOA:NM_000034.3 NM_184043.2 NM_184041.5 No NM_184041.5 NM_184041.5 NM_000034
ALDOC ALDOC ALDOC:NM_005165.2 NM_005165.3 NM_005165.3 Yes NM_005165.3 NM_005165.3 NM_005165
ANGPT1 ANGPT1 ANGPT1:NM_001199859.1 NM_001199859.3 XM_047421699.1 No XM_047421699.1 XM_047421699.1 NM_001146
ANGPT2 ANGPT2 ANGPT2:NM_001147.2 NM_001147.3 NM_001118887.2 No NM_001118887.2 NM_001386335.1 NM_001118887
ANGPTL4 ANGPTL4 ANGPTL4:NM_001039667.2 NM_001039667.3 NM_139314.3 No NM_139314.3 NM_001039667.3 NM_001039667
ANLN ANLN ANLN:NM_018685.2 NM_018685.5 XM_017012356.3 No XM_017012356.3 XM_017012356.3 NM_001284301
APC APC APC:NM_001127510.2 NM_001127510.3 NM_001407467.1 No NM_001407467.1 NM_001407469.1 NM_000038
APH1B APH1B APH1B:NM_001145646.1 NM_001145646.2 XM_011522105.4 No XM_011522105.4 NM_001145646.2 NM_001145646
API5 API5 API5:NM_001142930.1 NM_001142930.2 NM_006595.4 No NM_006595.4 NM_001142931.2 NM_001142930
APLNR APLNR APLNR:NM_005161.4 NM_005161.6 NR_027991.2 No NR_027991.2 NM_005161.6 NM_005161
APOE APOE APOE:NM_000041.2 NM_000041.4 NM_001302689.2 No NM_001302689.2 NM_001302689.2 NM_000041
APOL6 APOL6 APOL6:NM_030641.3 NM_030641.4 NM_030641.4 Yes NM_030641.4 NM_030641.4 NM_030641
AQP9 AQP9 AQP9:NM_001320635.1 NM_001320635.2 NM_001320635.2 Yes NM_020980.5 NM_001320635.2 NM_020980
AREG AREG AREG:NM_001657.3 NM_001657.4 NM_001657.4 Yes NM_001657.4 NM_001657.4 NM_001657
ARG1 ARG1 ARG1:NM_000045.3 NM_000045.4 NM_001244438.2 No NM_001244438.2 NR_160934.1 NM_000045
ARG2 ARG2 ARG2:NM_001172.3 NM_001172.4 NM_001172.4 Yes NM_001172.4 NM_001172.4 NM_001172
ARID1A ARID1A ARID1A:NM_006015.4 NM_006015.6 NM_139135.4 No NM_006015.6 NM_139135.4 NM_006015
ARNT2 ARNT2 ARNT2:NM_014862.3 NM_014862.4 NM_014862.4 Yes NM_014862.4 NM_014862.4 NM_014862
ATF3 ATF3 ATF3:NM_001674.3 NM_001674.4 NM_001030287.4 No NM_001030287.4 NM_001206484.3 NM_001030287
ATM ATM ATM:NM_000051.3 NM_000051.4 NM_001351835.2 No XM_011542843.3 NM_001351835.2 NM_000051
AXIN1 AXIN1 AXIN1:NM_181050.1 NM_181050.3 XM_047434731.1 No XM_047434731.1 NR_134879.2 NM_003502
AXL AXL AXL:NM_001699.4 NM_001699.6 NM_021913.5 No NM_021913.5 NM_001699.6 NM_001278599
B2M B2M B2M:NM_004048.2 NM_004048.4 NM_004048.4 Yes NM_004048.4 NM_004048.4 NM_004048
BAD BAD BAD:NM_004322.3 NM_004322.3 NM_032989.3 No NM_032989.3 NM_032989.3 NM_004322
BAMBI BAMBI BAMBI:NM_012342.2 NM_012342.3 NM_012342.3 Yes NM_012342.3 NM_012342.3 NM_012342
BATF3 BATF3 BATF3:NM_018664.2 NM_018664.3 NM_018664.3 Yes NM_018664.3 NM_018664.3 NM_018664
BAX BAX BAX:NM_004324.3 NM_004324.4 NM_001291431.2 No NM_001291431.2 NM_138763.4 NM_001291428
BBC3 BBC3 BBC3:NM_014417.4 NM_014417.5 XM_047438606.1 No XM_047438606.1 NM_001127242.3 NM_001127240
BBS1 BBS1 BBS1:NM_024649.4 NM_024649.5 NM_024649.5 Yes NM_024649.5 NM_024649.5 NM_024649
BCAT1 BCAT1 BCAT1:NM_005504.6 NM_005504.7 XM_047429278.1 No XM_047429278.1 XM_047429278.1 NM_001178091
BCL2 BCL2 BCL2:NM_000633.2 NM_000633.3 NM_000657.3 No NM_000657.3 NM_000657.3 NM_000633
BCL2L1 BCL2L1 BCL2L1:NM_001191.3 NM_001191.4 NM_001322242.2 No NM_001322242.2 NM_001322242.2 NM_001191
BCL6B BCL6B BCL6B:NM_181844.3 NM_181844.4 NM_181844.4 Yes NM_181844.4 NM_181844.4 NM_181844
BID BID BID:NM_001196.3 NM_001196.4 NM_001244567.1 No NM_001244567.1 NM_001244567.1 NM_001196
BIRC3 BIRC3 BIRC3:NM_001165.4 NM_001165.5 NM_182962.3 No NM_182962.3 NM_182962.3 NM_001165
BIRC5 BIRC5 BIRC5:NM_001168.2 NM_001168.3 NM_001168.3 Yes NM_001168.3 NM_001168.3 NM_001012270
BLK BLK BLK:NM_001330465.1 NM_001330465.2 XM_011543829.4 No XM_011543829.4 XM_011543829.4 NM_001715
BLM BLM BLM:NM_000057.3 NM_000057.4 XM_011521882.4 No XM_011521882.4 XM_011521882.4 NM_000057
BMP2 BMP2 BMP2:NM_001200.3 NM_001200.4 NM_001200.4 Yes NM_001200.4 NM_001200.4 NM_001200
BNIP3 BNIP3 BNIP3:NM_004052.3 NM_004052.4 NM_004052.4 Yes NM_004052.4 NM_004052.4 NM_004052
BNIP3L BNIP3L BNIP3L:NM_001330491.1 NM_001330491.2 NM_004331.3 No NM_004331.3 NM_004331.3 NM_004331
BRCA1 BRCA1 BRCA1:NM_007294.3 NM_007294.4 NM_001407863.1 No NM_001407931.1 NM_001408512.1 NM_007294
BRCA2 BRCA2 BRCA2:NM_000059.3 NM_000059.4 NM_001406719.1 No NM_001406719.1 NM_001406721.1 NM_000059
BRD3 BRD3 BRD3:NM_007371.3 NM_007371.4 XM_047423906.1 No XM_047423906.1 XM_047423906.1 NM_007371
BRD4 BRD4 BRD4:NM_001330384.1 NM_001330384.2 XM_047438542.1 No XM_047438542.1 XM_047438542.1 NM_014299
BRIP1 BRIP1 BRIP1:NM_032043.2 NM_032043.3 XM_047436902.1 No XM_047436903.1 XM_047436901.1 NM_032043
