Probe Name	P1_Post	P2_Post	P2_Pre	P1_Pre	P3_Pre	P4_Pre	P4_Post	P5_Pre	P3_Post	P6_Pre	P6_Post	P5_Post	P7_Post	P19_Post	P14_Post	P10_Post	P12_Pre	P10_Pre	P13_Post	P15_Post	P18_Post	P20_Post	P11_Pre	P9_Post	P8_Pre	P12_Post	P20_Pre	P17_Post	P8_Post	P13_Pre	P16_Post	P16_Pre	P9_Pre	P15_Pre	P18_Pre	P7_Pre	P19_Pre	P14_Pre	P17_Pre	P11_Post	P21_Pre	P22_Pre	P25_Post	P23_Pre	P24_Pre	P23_Post	P31_Pre	P26_Post	P26_Pre	P28_Post	P29_Pre	P27_Pre	P24_Post	P27_Post	P25_Pre	P31_Post	P28_Pre	P21_Post	P30_Post	P29_Post	P22_Post	P30_Pre	P32_Pre	P32_Post	P33_Post	P33_Pre	P34_Post	P34_Pre	P35_Pre	P35_Post
NEG_A	7	6	10	8	4	7	5	4	3	3	6	8	5	5	8	7	4	3	6	3	8	15	19	6	6	4	11	10	12	5	9	11	9	6	11	6	11	22	5	7	15	10	12	2	2	8	7	8	14	2	9	1	6	10	14	4	11	13	16	11	12	8	15	7	8	15	7	10	16	15
NEG_B	11	2	8	2	2	9	7	8	3	4	5	4	7	13	8	5	5	2	4	2	2	14	9	8	5	5	18	8	11	9	4	10	11	9	15	4	13	18	9	8	13	9	14	14	6	15	14	11	23	18	15	3	9	11	6	7	12	10	10	12	6	28	7	10	24	19	15	12	12	26
NEG_C	18	21	17	10	10	8	11	9	6	14	11	8	7	5	5	5	2	5	2	6	6	13	9	3	5	3	10	3	8	10	8	6	11	5	7	11	7	8	13	3	17	12	17	3	6	14	9	8	18	4	9	5	14	8	8	11	8	7	11	7	5	8	10	13	8	9	11	13	9	26
NEG_D	19	10	9	9	18	10	9	12	22	10	7	10	2	18	4	8	4	3	6	5	6	13	8	7	2	12	13	8	13	2	14	10	11	5	11	3	11	9	9	7	12	19	8	3	11	11	9	16	14	6	11	6	9	9	6	11	6	7	9	10	14	12	10	8	11	10	4	17	4	7
NEG_E	8	8	14	9	9	9	7	14	11	15	17	8	11	10	4	18	6	24	12	9	7	17	13	13	13	12	7	17	11	17	9	10	13	24	13	8	6	15	14	7	18	14	18	8	13	11	15	13	18	18	16	9	15	13	23	16	9	20	21	17	29	21	11	8	12	12	3	15	6	14
NEG_F	18	15	9	12	2	13	14	6	17	13	14	12	13	6	11	10	13	4	8	10	9	26	13	9	11	11	15	16	8	8	11	10	17	7	15	15	18	15	14	10	12	15	15	8	6	14	25	15	24	11	8	13	13	14	8	14	15	20	19	14	23	14	16	22	16	20	8	10	14	31
NEG_G	14	6	15	9	14	8	7	7	9	7	6	7	9	4	9	7	9	3	7	6	3	9	12	4	6	4	10	7	6	7	6	4	5	6	4	1	6	9	7	7	18	4	13	9	2	14	11	20	22	8	17	3	9	4	14	21	15	13	9	14	9	12	8	9	14	10	5	7	8	11
NEG_H	15	15	13	10	18	16	14	21	8	18	15	25	18	11	9	18	15	66	24	9	11	21	13	25	27	26	12	25	14	21	27	13	14	19	13	10	11	13	19	14	27	28	21	16	27	21	27	25	24	20	20	27	21	13	24	25	23	21	15	20	22	26	14	15	8	10	9	12	11	25
POS_A	18232	7147	10478	8860	8856	7581	8762	4766	6764	9300	6960	4719	11210	13597	11929	9861	11978	1000	6328	11435	7285	32730	15936	6505	13028	6190	17495	12923	16067	9440	16355	16921	20073	12417	28360	13276	22045	22519	15676	15355	22846	7068	11974	9124	2118	10479	14490	10409	17920	6554	21608	3841	15526	13061	14852	13542	18317	19102	17119	17852	12859	12295	15243	10365	11732	14433	4696	12835	16278	19333
POS_B	7015	3570	4176	3362	3368	3082	3660	1934	2599	3724	2970	1641	3533	4587	4506	3172	4189	281	1913	3703	3030	9459	4958	1898	3894	1730	5578	3949	4856	2762	5225	5391	6164	3915	9766	4744	6614	7740	5001	5280	7947	2424	4041	3137	693	3606	5162	3819	6370	2342	7755	1352	5663	4514	5006	4620	6902	6966	6561	6561	5064	4354	5361	3650	4169	4896	2019	4654	5668	6335
POS_C	2249	1020	1298	1052	1043	925	1184	592	831	1106	853	519	822	1004	906	695	906	50	407	864	688	2381	1039	389	857	328	1209	790	1017	560	1101	1161	1482	918	2350	1066	1572	1754	1116	1198	2150	631	993	764	202	930	1243	935	1618	574	1969	287	1296	1032	1222	1027	1601	1556	1445	1498	1093	1029	2101	1802	1953	1801	762	1797	2031	1973
POS_D	472	236	284	245	257	241	278	162	220	280	224	142	202	270	261	199	226	48	117	201	169	604	296	149	249	125	328	247	288	207	320	331	371	229	584	247	408	356	283	296	529	178	265	206	78	239	328	257	368	185	499	114	311	259	310	282	353	380	371	375	303	278	464	319	386	417	160	373	472	379
POS_E	96	39	48	41	58	57	55	22	46	43	46	22	41	54	41	38	32	8	23	45	33	134	73	41	41	29	60	53	55	39	49	61	90	53	97	47	91	90	50	47	90	30	60	54	12	53	78	55	91	31	96	27	72	55	71	77	81	84	79	86	62	66	76	58	65	78	45	63	82	86
POS_F	32	22	26	20	30	33	17	12	17	24	21	16	40	36	35	32	32	10	23	32	21	80	42	26	42	32	74	38	55	31	55	59	51	29	75	33	63	55	46	30	71	26	50	29	11	43	53	28	67	27	72	25	44	53	55	32	57	67	47	55	40	41	59	42	42	42	27	60	53	78
CTAG1B	12.96	8.5	11.48	7.82	7.11	9.65	8.72	8.99	7.95	8.95	9.16	9	7.62	76.87	6.8	50.2	6	55.46	6.81	5.53	5.75	15.28	11.59	7.66	7.17	7.49	11.58	9.89	10.02	8.07	9.47	8.75	10.8	8.44	10.32	5.59	123.64	12.87	10.4	7.3	15.94	12.17	14.23	6.25	6.54	13.04	13.13	27.88	19.21	8.5	12.46	5.51	11.22	9.65	11.21	11.89	16.51	12.74	13.07	12.55	12.67	20.16	10.95	10.71	11.75	12.55	6.87	11.63	9.19	17.42
IL4	12.96	8.5	11.48	9.04	7.11	9.65	8.72	8.99	7.95	8.95	9.16	9	7.62	10.98	11.16	8.66	6	6.01	6.81	8.76	22.82	23.11	11.59	7.66	7.17	7.49	11.58	9.89	10.02	8.07	9.47	8.75	10.8	8.44	30	26.18	9.7	12.87	10.4	7.3	15.94	12.17	14.23	6.25	16.14	13.04	13.13	13.49	19.21	8.5	12.46	10.22	11.22	11.14	11.21	11.89	11.45	12.74	13.07	12.55	12.67	14.52	107.24	35.65	33.48	135.21	6.87	11.63	113.75	17.42
CSF3	12.96	8.5	11.48	7.82	7.62	9.9	8.72	8.99	7.95	8.95	9.16	9	8.37	13.98	11.16	8.66	6	6.01	6.81	14.6	24.34	17.57	11.59	7.66	7.17	12.97	11.58	12.97	19.45	16.69	9.47	14.49	51.34	8.44	10.32	5.59	9.7	21.45	10.4	7.3	46.34	12.17	17.46	14.72	6.54	13.04	13.13	13.49	19.21	8.5	14.9	5.51	11.22	9.65	11.21	14.61	11.45	12.74	13.07	30.08	12.67	14.52	10.95	10.71	11.75	135.21	34.21	11.63	9.19	17.42
MAGEC2	12.96	8.5	11.48	8.04	7.11	9.65	8.72	8.99	7.95	8.95	9.16	9	16.74	15.97	17.25	13.26	6	6.01	6.81	11.68	38.04	15.28	11.59	7.66	7.17	7.49	11.58	12.97	10.02	15.58	9.47	9.06	10.8	31.39	10.32	5.59	9.7	12.87	10.4	7.3	15.94	12.17	14.23	9.82	6.54	13.04	13.13	13.49	19.21	8.5	243.43	8.76	11.22	14.48	11.47	12.53	11.45	12.74	13.07	75.21	12.67	14.52	100.09	29.71	104.62	193.15	6.87	11.63	132.71	17.42
KIR3DL2	12.96	8.5	11.48	7.82	7.11	9.65	8.72	8.99	7.95	8.95	9.16	9	10.46	14.97	19.28	14.21	6	6.01	6.81	16.06	51.73	19.42	11.59	7.66	7.17	7.49	11.58	12.97	10.02	8.07	9.47	19.02	10.8	12.28	10.32	5.59	49.8	24.75	34.88	7.3	15.94	12.17	14.23	7.85	6.54	13.04	13.13	13.49	19.21	14.32	12.46	11.67	13.24	9.65	11.21	17.75	11.45	12.74	13.07	12.55	12.67	14.52	150.13	47.53	58.59	260.76	53.75	28.24	104.27	17.42
TWIST2	12.96	8.5	11.48	7.82	14.39	9.65	8.72	8.99	11.28	10.23	12.8	9	7.62	9.98	11.16	8.66	6	6.01	6.81	5.53	13.69	15.28	11.59	10.82	7.17	7.49	11.58	12.97	15.8	13.36	9.47	9.96	10.8	8.44	10.32	5.59	9.7	21.45	10.4	7.3	15.94	12.17	14.23	17.67	19.73	19.53	27.78	13.49	19.21	8.5	17.88	24.81	19.87	14.48	13.24	27.14	20.05	12.74	23.25	12.55	15.14	25.21	10.95	10.71	11.75	12.55	6.87	11.63	9.19	17.42
IL17A	43.56	20.2	12.97	7.82	7.11	12.37	8.72	9.19	12.4	8.95	9.16	9	9.42	45.92	26.38	22.73	6	6.01	6.81	30.67	34.99	27.74	11.59	7.66	7.17	7.49	31.2	17.3	10.02	23.37	9.47	17.21	10.8	8.44	10.32	5.59	9.7	12.87	10.4	7.3	41.19	12.17	14.23	8.83	17.94	13.04	13.13	13.49	19.21	8.5	12.46	8.76	11.22	9.65	11.21	12.53	11.45	24.95	13.07	12.55	12.67	14.52	271.67	130.71	175.77	550.49	83.07	26.07	274.89	17.42
