Probe Name	Annotation	Accession #	NS Probe ID	Class Name	Analyte Type	Target Sequence	% Samples above Threshold	Positive Flag	Avg Count	Min Count	Max Count	P1_Post	P2_Post	P3_Post	P4_Post	P5_Post	P6_Post	P7_Post	P8_Post	P9_Post	P10_Post	P11_Post	P12_Post	P13_Post	P14_Post	P15_Post	P16_Post	P17_Post	P18_Post	P19_Post	P20_Post	P21_Post	P22_Post	P23_Post	P24_Post	P25_Post	P26_Post	P27_Post	P28_Post	P29_Post	P30_Post	P31_Post	P1_Pre	P2_Pre	P3_Pre	P4_Pre	P5_Pre	P6_Pre	P7_Pre	P8_Pre	P9_Pre	P10_Pre	P11_Pre	P12_Pre	P13_Pre	P14_Pre	P15_Pre	P16_Pre	P17_Pre	P18_Pre	P19_Pre	P20_Pre	P21_Pre	P22_Pre	P23_Pre	P24_Pre	P25_Pre	P26_Pre	P27_Pre	P28_Pre	P29_Pre	P30_Pre	P31_Pre
A2M	NA	NM_000014.4	NA	Endogenous	mRNA	NA	100	FALSE	1633.9	324.73	4074.77	1078.28	1448.37	3358.4	1968.26	1217.53	1381.24	3714.03	953.01	2318.18	936.34	4074.77	4013.65	948.83	687.92	2478.59	358.69	1276.22	3728.32	2836.64	2350.32	2507.66	1070.37	1712.38	1579.47	2524.08	2412.85	2604.61	1750.63	795.17	2514.29	3519.87	1374.82	517.7	622.91	1410.11	1141.27	1464.27	1398.49	532.64	1164.9	1189.11	605.51	505.45	660.38	799.53	324.73	707.98	460.02	955.19	2574.41	780	1459.45	1165.26	1894.73	495.69	3298.9	974.21	1711.5	1015.26	804.44	2663.09	2511.01
ACVR1C	NA	NM_145259.2	NA	Endogenous	mRNA	NA	83.87	FALSE	38.12	9.12	278.08	21.51	26.95	24.68	25.41	12.66	13.35	10.75	19.68	23.52	26.85	35.16	55.57	33.02	29.44	77.23	13	49.33	278.08	73.32	125.39	49.1	16.25	56.3	64.43	22.31	81	30.8	41.44	48.35	113.89	35.98	16.41	22.66	13	18.84	20.72	19.94	10.68	14.87	27.16	70.29	19	9.12	16.48	19.89	10.38	24.31	35.5	16.12	11.38	16.25	24	14.24	105.58	41.11	11.88	31.43	11.62	27.13	44.11	77.75	26.95
ADAM12	NA	NM_003474.5	NA	Endogenous	mRNA	NA	100	FALSE	214.74	19.79	850.67	150.58	62.42	160.39	69.88	66.28	93.42	46.51	103.51	168.86	37.95	354.73	268	127.68	46.84	407.71	19.79	259.38	244.61	148.94	258.82	70.14	91.47	306.12	155.3	632.78	303.75	256.03	177.21	129.61	289.91	176.06	37.38	194.43	150.18	388.7	281.57	490.67	28.3	144.15	98.38	95.92	95	229.4	114.28	50.38	83.42	316.01	104.97	363.5	674.53	122.35	200.43	169.81	292.75	99.14	231.03	850.67	526.11	318.82	277.66	471.39	127.72
ADGRE1	NA	NM_001256252.1	NA	Endogenous	mRNA	NA	50	FALSE	17.84	4.75	38.73	22.86	19.86	20.97	16.94	8.19	20.02	14.65	19.68	11.12	10.25	17.58	20.62	24.22	12.38	19.12	13	35.01	36.05	21.77	12.88	10.88	16.25	13	29.74	14.5	16.5	13.38	20.01	14.5	9.12	26.99	23.7	23.86	14.8	24.83	14.29	29.91	11.21	13.5	12.68	9.75	12.75	9.12	12.12	13.5	38.73	15.38	18.12	16.12	35.35	20.07	12.75	11.18	17	4.75	11.88	13.5	11.62	15.5	11.25	36.45	28.12
ADM	NA	NM_001124.2	NA	Endogenous	mRNA	NA	100	FALSE	124.02	22.92	535.33	47.06	58.16	64.16	67.76	69.25	330.3	53.51	69.29	22.92	27.21	82.74	55.57	52.84	54.87	208.35	509.59	291.21	375.92	85.92	535.33	220.95	162.47	92.66	122.26	190.19	154.21	252.18	65.74	44.23	108.72	186.34	46.5	149.11	42.17	56.51	60.74	36.55	33.64	61.41	44.06	25.63	42.96	156.92	151.63	43.76	50.65	267.39	106.51	184.19	141.39	78.38	162.03	47.79	96.94	82.21	119.96	132.21	183.38	135.67	59.68	136.07	91.39
ADORA2A	NA	NM_000675.5	NA	Endogenous	mRNA	NA	96.77	FALSE	32.95	10.38	63.13	25.55	26.95	39.48	25.41	20.85	25.02	25.48	23.1	25.33	12.17	38.27	34.96	41.83	26.77	62.86	25.56	49.33	59.22	25.2	53.05	63.13	39.59	48.09	34.7	32.87	32.71	51.98	55.73	40.12	25.88	39.84	20.97	29.82	21.45	27.4	20.01	28.8	17.62	20.04	20.52	15.38	12.75	10.41	27.47	50.38	10.38	45.58	43.22	40.75	47.13	28.68	34.81	22.37	28.8	19.34	51.09	18.42	28.38	46.35	33.73	46.17	43.35
AKT1	NA	NM_005163.2	NA	Endogenous	mRNA	NA	100	FALSE	682.37	386.68	2047.69	446.37	519.2	547.81	406.57	746.15	475.43	596.28	386.68	521.65	434.33	477.8	538.68	700.06	677.22	729.21	893.84	719.27	702.92	655.31	847.21	389.3	554.3	897.24	624.52	722.01	763.26	683.4	700.25	792.08	736.86	445.93	524.22	688.28	779	474.32	785.38	423.11	447.48	424.05	474.41	604.07	491.1	579.87	815.31	682.85	628.6	899.41	748.69	947.04	757.01	791.47	832.94	1279.14	900.33	558.56	690.88	1059.82	2047.69	686.26	769.41	731.38	453.46
ALDOA	NA	NM_000034.3	NA	Endogenous	mRNA	NA	100	FALSE	1875.3	795.05	4431.28	1534.07	1926.44	1241.2	1283.24	2397.07	2131.08	1586.9	1162.6	1232.66	1950.01	1176.93	1256.62	1428.75	1337.04	1648.8	4431.28	1623.13	1274.53	1303.75	1215.35	845.24	1414.41	1607.99	2835.12	1414.66	1549.89	795.05	1797.79	1648.97	1387.43	1486.85	2643.88	3073.98	1941.22	3120.74	2837.8	2056.85	1379.27	1645.12	1679.75	2434.6	941.3	2314.84	3137.07	1217.19	1853.02	3495.84	1793.76	1936.47	1534.63	1605.87	2237.18	1983.78	1774.75	3837.35	1581.7	3261.82	1604.54	2527.97	2134.35	1025.39	1731.81
ALDOC	NA	NM_005165.2	NA	Endogenous	mRNA	NA	96.77	FALSE	69.52	12.38	172.51	72.6	90.79	44.42	83.64	72.23	76.74	30.58	49.62	28.34	81.64	47.57	101.28	116.68	12.38	70.05	33.81	42.97	167.36	79.05	143.08	126.26	94.2	51.61	82.61	61.05	68.54	73.15	88.6	74.06	122.52	32.13	77.49	36.98	20.71	59.93	59.31	52.06	47.52	42.66	44.06	116.42	12.75	53.21	172.51	22.54	62.56	48.62	46.31	52.16	88.37	98.46	40.81	41.69	66.23	125.74	79.97	31.43	117.88	88.19	76.55	68.04	39.84
ANGPT1	NA	NM_001199859.1	NA	Endogenous	mRNA	NA	100	FALSE	52.96	16.11	148.79	59.16	106.39	72.79	105.88	79.68	48.38	31.85	50.47	19.3	26.14	69.29	148.79	26.42	69.6	57.47	16.49	28.64	123.59	66.45	139.86	66.64	90.11	44.57	44.61	79.83	110.6	73.15	50.02	49.38	110.44	39.84	56.52	33.4	26.63	27.4	39.3	46.52	29.9	20.69	18.11	20.5	16.11	17.35	45.05	35.8	32.77	31.9	37.05	35.86	108.99	20.07	32.41	19.32	51.83	19.34	66.64	32.51	32.75	38.44	35.03	92.33	57.41
