Probe Name	Annotation	Accession #	NS Probe ID	Class Name	Analyte Type	Target Sequence	% Samples above Threshold	Positive Flag	Avg Count	Min Count	P1_Pre	P2_Pre	P17_Pre	P3_Pre	P4_Pre	P5_Pre	P6_Pre	P7_Pre	P8_Pre	P9_Pre	P10_Pre	P11_Pre	P12_Pre	P13_Pre	P14_Pre	P15_Pre	P16_Pre	P1_Post	P2_Post	P17_Post	P3_Post	P4_Post	P5_Post	P6_Post	P7_Post	P8_Post	P9_Post	P10_Post	P11_Post	P12_Post	P13_Post	P14_Post	P15_Post	P16_Post		
A2M	NA	NM_000014.4	NA	Endogenous	mRNA	NA	100	FALSE	4266.12	762.78	3267.77	1061.27	5465.84	4003.75	2042.32	942.15	2093.99	3574.03	762.78	3342.64	5282.00	3102.66	3195.67	3283.66	3224.00	3741.50	2524.37	3834.98	8683.04	10311.79	7564.02	2689.52	4188.15	5464.01	4615.31	2134.04	6805.72	3171.39	2716.92	7370.16	7187.83	4824.03	5244.03	7332.67
ACVR1C	NA	NM_145259.2	NA	Endogenous	mRNA	NA	95.45	FALSE	64.38	13.39	25.61	16.69	55.11	17.93	33.23	77.73	13.39	21.89	24.63	32.35	42.47	52.25	117.25	34.69	37.20	26.12	35.10	181.96	23.77	20.66	69.78	42.17	151.48	122.64	20.96	26.61	15.54	19.80	70.53	82.27	44.35	112.39	92.38	428.14
ADAM12	NA	NM_003474.5	NA	Endogenous	mRNA	NA	100	FALSE	435.98	40.03	301.16	142.61	615.76	253.77	310.45	384.35	943.19	658.65	66.49	2532.96	1453.61	170.81	401.74	504.62	217.48	150.94	323.56	165.65	960.82	40.03	224.28	96.84	333.26	322.00	392.18	107.53	122.84	403.59	221.81	974.09	59.13	314.39	295.39	357.25
ADGRE1	NA	NM_001256252.1	NA	Endogenous	mRNA	NA	77.27	FALSE	35.57	6.8	12.42	8.55	27.24	11.03	23.88	469.28	16.18	21.89	12.31	18.62	29.40	10.33	16.34	12.44	21.94	6.80	10.68	7.53	19.81	10.33	16.61	26.55	173.29	8.46	53.28	21.06	14.06	19.12	11.24	31.49	8.49	18.49	19.39	20.85
ADM	NA	NM_001124.2	NA	Endogenous	mRNA	NA	100	FALSE	408.24	33.86	742.04	1078.71	149.51	52.41	462.04	184.98	514.01	325.52	33.86	645.98	124.13	196.93	1389.76	211.41	117.32	66.76	293.03	259.76	631.96	612.04	317.31	434.20	809.52	181.76	1660.43	107.53	173.90	122.92	202.39	858.29	156.86	375.57	84.40	303.04
ADORA2A	NA	NM_000675.5	NA	Endogenous	mRNA	NA	100	FALSE	73.13	26.2	87.71	43.24	117.83	26.20	57.11	26.63	39.07	67.58	80.03	64.70	156.79	62.29	66.32	61.52	60.09	58.05	54.94	53.96	105.00	60.69	63.13	62.47	66.65	77.36	55.90	63.19	127.28	107.22	52.13	85.32	78.84	125.19	78.69	93.14
AKT1	NA	NM_005163.2	NA	Endogenous	mRNA	NA	100	FALSE	2337.88	1388.19	1910.21	3673.09	1946.11	1903.26	1388.19	1867.75	2683.35	2422.34	3055.45	2433.95	1966.46	2974.05	1624.27	2286.85	2307.35	2856.19	3144.01	1766.90	2270.31	2577.30	3191.41	1447.84	1788.69	1632.66	1906.74	3883.40	2464.18	3943.06	1665.11	1659.71	1686.09	2742.77	2332.33	2086.51
ALDOA	NA	NM_000034.3	NA	Endogenous	mRNA	NA	100	FALSE	7875.33	2929.86	8385.98	13714.54	5984.67	14384.81	15194.34	7412.72	11423.76	12205.95	2929.86	11110.11	10047.89	5682.85	9603.36	13794.39	5701.13	3512.19	8214.12	7864.48	9075.29	3964.09	8235.20	8184.14	7428.63	5738.85	6718.58	3743.72	6146.39	6163.17	5870.31	8677.41	5073.86	5274.99	4279.16	6020.43
ALDOC	NA	NM_005165.2	NA	Endogenous	mRNA	NA	100	FALSE	200.36	40.06	144.37	66.00	176.11	95.16	143.28	147.55	149.01	349.31	152.06	218.59	130.66	164.78	613.18	94.90	40.06	153.84	366.29	249.73	122.83	238.88	93.03	204.60	109.07	316.97	109.18	109.75	221.26	161.85	295.41	407.31	288.27	79.67	222.40	376.71
ANGPT1	NA	NM_001199859.1	NA	Endogenous	mRNA	NA	100	FALSE	125.37	27.31	113.32	27.31	182.45	49.65	50.88	30.95	82.04	84.71	48.02	119.59	143.73	112.53	191.26	48.43	46.74	29.03	50.37	134.27	130.75	244.04	68.11	53.10	98.16	408.17	80.36	64.30	125.80	38.93	319.94	109.70	301.41	177.82	111.77	385.05
