WSU_F_Post,WSU_F_Pre,WSU_E_Post,WSU_E_Pre,USF39_Post,USF39_Pre,USF37_Post,USF37_Pre,USF36_Post,USF36_Pre,USF35_Post,USF35_Pre,USF34_Post,USF34_Pre,USF33_Post,USF33_Pre,USF31_Post,USF31_Pre,WSU14_Post,WSU14_Pre,WSU12_Post,WSU12_Pre,WSU11_Post,WSU11_Pre,WSU9_Post,WSU9_Pre,WSU6_Post,WSU6_Pre,WSU2_Post,WSU2_Pre,USF18_Post,USF18_Pre,USF17_Post,USF17_Pre,USF16_Post,USF16_Pre,USF15_Post,USF15_Pre,USF14_Post,USF14_Pre,USF10_Post,USF10_Pre,USF7_Post,USF7_Pre,USF3_Post,USF3_Pre,USF1_Post,USF1_Pre
A2M,750.275071899823,423.877420326622,1340.51231592994,1461.52820710478,370.001882205743,562.885643271767,1413.7485654691,270.385217532099,383.717135592071,618.329783411624,453.928610409271,507.887189188078,1369.53514026703,577.267083727513,1425.84706930604,612.188273008382,710.977673687316,498.678014472375,952.09611583985,659.938235251228,512.747522801635,313.227793066249,632.375651516859,867.724325962391,1733.98636572951,1039.59423464035,1036.82724083411,543.704180367631,1827.1460358381,1436.64582250588,449.232423382263,453.378665830948,909.488972890593,261.652035288176,220.501814858072,327.456763907242,943.229689029832,578.255430460555,465.631922520193,437.567684321634,1083.33258064921,1160.70518331774,1138.15273764139,568.56526343724,735.868223278151,714.92249130214,652.045096440626,403.446721180689
ABCF1,89.1395914079714,77.3222562702066,87.3114169715111,87.9308499527432,130.828444165447,88.7742076487634,109.184933545759,153.014368463836,148.325894379713,166.204828629824,113.782832407722,199.115443521817,101.036598135276,170.609873902443,110.211839699565,155.124802769405,91.7097026209895,159.574462483571,114.488406465884,173.321662155297,101.918605178592,123.176758340456,124.935283968891,115.61137485434,112.821472532064,88.3839089293622,92.7160582304389,131.742054753641,100.218591414225,169.664919128093,133.292765057539,136.676174167359,96.9730689714594,138.375380508818,125.295535988389,133.358039601602,219.932493223656,99.9151919718665,106.744094148145,134.343183404611,131.980928875953,130.847273337503,106.123708511217,116.381897358365,58.5142225818968,71.9493988868707,147.126524123589,162.47172614875
ACVR1C,1.38122571720591,0.952135458081009,3.69405470295996,2.39756918753219,2.35158536202689,0.207126009446485,4.43079736922743,3.24198506321511,2.96422004259999,4.15715853855862,5.06260881656775,2.7031553551886,12.1092552072241,2.17337418984004,10.7969099219455,4.30796331111889,4.76507332156055,1.65767277766156,1.87524114038948,6.09698440290119,3.63298801279975,2.96097976779942,3.7259665052744,2.54169834172379,2.75615936820484,3.81735949072343,9.77919248035769,0.950210259972745,0.567156145081552,0.463987928335715,0.651002515543538,4.56529934404715,4.65608689193136,1.38553012576224,3.25839670997843,2.00206726119454,2.91997468432895,2.19593828509597,0.334811815121069,0.804196750059107,1.86466415478882,0.988986949314022,1.16036544763905,2.02697063613989,5.6854244636311,0.781059885745084,4.25153529413341,3.474556852368
ADAM12,74.6872540254999,33.6790239939817,22.6225055452587,44.6846957326313,159.735737396217,265.74267011984,73.5944636205824,9.79922038881404,72.4970095690152,111.564006270076,8.55888562358968,207.530927174763,21.8399067130292,36.5693831073085,32.8670640270988,61.9507998280371,103.299127181971,211.306363884556,15.610560019558,85.7438703627001,22.6131351430853,75.6256165879438,63.8360279133738,119.890618390124,31.4644762910392,91.2727215169367,29.1745908997338,24.8587264786418,62.9753378872034,82.2186609010887,24.8601585623189,13.2110874823311,47.7680025579625,65.7593913534846,8.40055401791315,49.440881348482,41.1521765511426,14.0240604116356,6.60492398920655,92.694256980497,18.8331079633671,22.4672035224598,19.4609862218321,112.412413195925,47.1848731032742,68.9859657909555,35.8065082570135,15.20118622911
ADGRE1,1.14540669231709,1.46141721472899,2.00452580780773,3.86608031489566,0.688268886446894,1.86413408501836,2.98988765565753,1.42867138378971,0.183827599541085,0.815129125207572,1.17474900715937,0.969055693369499,1.51365690090301,0.992192564926974,2.61983843694266,1.10558350462343,0.790188038248734,1.59511908793848,2.33582668364303,0.9169607149482,0.531656782360939,1.33792419137604,1.45081881621304,1.53650690714376,1.04613348282228,2.47612507506384,0.162986541339295,1.56324913737452,3.17187325582646,0.974374649505002,4.06876572214712,1.13122461622407,2.29930216885499,1.56316219316765,0.254562242967065,0.305400090690692,4.47729451597105,0.449169194678721,1.1566226340546,0.634892171099295,3.69203502648187,3.31095630857303,1.226672044647,0.788266358498847,1.65997794558572,1.30942392610205,0.429054020508876,0.144773202182
ADM,16.6083970385979,7.74993977507798,3.49360212217919,2.75720456566202,33.3810409926744,3.52114216059024,11.9235278797909,4.17611635261608,8.15734972963563,2.2823615505812,5.0066683876554,11.4756595267441,8.00075790477308,5.95315538956184,5.45799674363053,4.57482829499351,8.66812332866793,12.2292463408617,13.9985106181706,4.10219267213668,5.19251457439184,11.51492131922,8.42464108050982,22.2578103371292,24.9060240718073,23.3168444568512,9.6162059390184,70.1009956308925,7.73012819963004,9.15602845249145,9.41919264677057,3.43407472782308,5.89196180769092,7.35396759058418,1.88376059795628,4.41133464331,16.9747861648989,7.96027628347288,3.59161765311693,14.9411290932034,2.72240966599168,3.48295403888851,5.33768105913964,8.67092994348731,3.2784564425318,2.15940086058935,4.25153529413341,7.74536631673701
ADORA2A,2.39187868101511,2.03712702659193,2.31952272046323,2.90705263988279,1.49124925396827,1.11848045101102,1.65704617060538,0.952447589193141,2.36678034409146,1.33137757117237,4.13959173951396,2.55014656149868,3.89226060232204,0.850450769937406,1.86564252327735,1.82993131799741,1.24514478754346,1.5325653982154,2.46742255314405,1.41565864763933,2.03801766571693,1.40372374177158,1.7146040555245,1.40726800841204,2.61533370705569,4.16126575114896,1.74628437149244,0.367823326441063,3.46595421994282,2.72206251290286,1.36303651691928,2.7068589031076,2.09811322908018,0.817107510064909,0.712774280307783,1.323400392993,3.0367736717021,2.0961229085007,1.18706007179288,0.888849039539013,3.69203502648187,2.42946794070618,3.34848314890127,2.33664670555015,1.28648290782894,2.27426260849304,2.18427501349973,0.941025814183001
AKT1,193.775861594351,205.572688205211,117.808845333157,120.38794282896,222.310850322347,211.102828827857,121.648802568138,139.899897812639,176.520452459326,153.407301364065,191.512058381433,256.085717705698,129.255487502111,114.432875821578,111.859162353097,113.265123870214,247.233075603581,212.58871452388,90.4228118308855,150.413731311678,112.728959753264,154.870208447642,151.429213942236,148.222656967644,151.508293444895,97.6349873348091,98.5602899270336,101.182066715162,135.17221457777,146.094332368639,152.66008989496,218.245549172944,110.941329647253,147.896459321748,141.332957295315,126.978571040508,136.538016239221,103.982668568124,82.789830648119,127.909609404138,92.3754622282383,94.1687573477264,89.7128257517508,88.5392034813883,119.891907119929,130.368083870687,111.28101095562,149.876457558916
ALDOA,627.514425229132,1005.34433030819,708.399420479253,747.771859976447,1955.42926213616,748.594823341485,313.50593092997,200.471901225364,928.765968231387,574.530178417137,523.966027407534,683.184263825497,299.920303078926,429.524886083387,350.30415463665,337.851069585271,914.774352279285,700.788985967639,324.877302830633,600.51274611055,301.34306424218,563.551215954359,369.431227655703,708.990238564567,719.075943779165,360.516932804087,399.666283155571,913.029452058328,395.013752157725,515.1967293597,831.248837034656,396.898236778046,299.196694722256,545.579131828991,404.957616112007,454.50320163457,471.439646033856,318.036743676683,359.192202749431,714.549975499886,474.668907243043,479.615670984722,426.517185253612,523.52147152302,298.962027999989,343.229875085803,417.157522667494,678.515805326489
ALDOC,3.33515478057036,3.71997109203743,6.81538774654629,7.4324644813498,37.5106543113557,4.43249660215478,12.4638690223796,16.4480372133739,10.5700869736124,10.0260882400531,17.0898010327232,8.36448072171568,9.40629645561159,5.29169367961053,4.86257891705266,2.47803199312149,17.5996426700854,14.8252244643694,6.79363676298995,2.94392650588633,6.85837249245611,13.1160437121782,1.64865774569664,5.91626958638531,15.7925920002978,8.73521901480856,21.3978044986874,136.309194390284,7.41504145236251,7.74859840320644,28.928924284466,5.41371780621521,8.79483079587035,12.0789805835682,10.8952639989904,11.8427368501168,6.61860928447894,8.13495319251461,6.11792498539408,2.62422097387708,4.92271336864249,4.5149404207814,9.05085049158461,13.5131375742659,7.30390296057718,8.79840988942257,15.8359938478731,10.0979308521945
