WSU_F_Post,WSU_F_Pre,WSU_E_Post,WSU_E_Pre,USF39_Post,USF39_Pre,USF37_Post,USF37_Pre,USF36_Post,USF36_Pre,USF35_Post,USF35_Pre,USF34_Post,USF34_Pre,USF33_Post,USF33_Pre,USF31_Post,USF31_Pre,WSU14_Post,WSU14_Pre,WSU12_Post,WSU12_Pre,WSU11_Post,WSU11_Pre,WSU9_Post,WSU9_Pre,WSU6_Post,WSU6_Pre,WSU2_Post,WSU2_Pre,USF18_Post,USF18_Pre,USF17_Post,USF17_Pre,USF16_Post,USF16_Pre,USF15_Post,USF15_Pre,USF14_Post,USF14_Pre,USF10_Post,USF10_Pre,USF7_Post,USF7_Pre,USF3_Post,USF3_Pre,USF1_Post,USF1_Pre
A2M,150.63362169588,87.0032114487931,275.212218315655,297.533631694321,69.6134367565216,105.847269924552,300.78054798021,57.9696122256911,79.3863855298327,127.639541797597,99.7094234189415,107.119576439068,259.869051778154,118.756584191055,302.969301270465,132.178779250687,140.005982220017,97.7110201418305,184.004295825491,146.234997375919,118.263600804073,66.9446337359581,131.055964922834,174.704278902815,373.637381857103,210.469038280389,185.118394644297,105.576699919052,366.79857119271,287.05882115441,102.22014247334,97.869680781703,192.645969583207,49.4363356480221,44.7253237165185,65.010706475091,162.540639403598,124.038672060967,105.098149228019,97.6900840653033,231.724472675302,259.706242557236,256.42924141851,119.561930301672,160.250371168165,144.795866472308,150.044792982415,89.1140213394327
APOE,346.240766103391,98.8032184697012,295.446449485899,145.140880617442,249.943085253727,101.714781384675,1020.20359652137,205.822716795037,153.966551224616,71.552639074996,107.828727264787,628.94535140297,118.393771645547,82.851068968754,137.381929130641,234.268273621261,97.6771288060101,119.152303163858,178.727529137169,95.3125996108592,182.569654739959,158.234439319579,110.286545308419,64.7276866235612,17.2707706314418,670.137225196287,49.1296125549954,295.241990317051,911.746035626883,176.20736169654,86.1243456865819,84.5815159375643,287.088352796818,135.80557381501,50.3866065254176,42.9718592038036,277.982020379139,27.5357449801062,74.8119472090851,47.9983425286369,146.991248618962,156.225939196078,109.259360185074,127.955634624408,59.0281087041122,78.6981349588552,200.202229712774,55.6876361391336
FAS,5.41838793484045,4.46798757848538,7.29672748650189,4.53469949539588,5.28792133717031,8.12274646714401,6.99370928744768,2.11340336087758,3.5718680013564,4.09368302665432,10.2985706309151,7.84561455327382,9.95102325548791,8.5137041788921,7.07839858303696,3.21674974102417,4.69020351728543,5.18504328939534,12.6109721141427,5.02001340937376,8.15423789227428,5.24306784084235,6.86505331664477,5.73249107025247,6.88066831897645,15.194816861476,7.86542766054381,11.970090044681,14.2320993223366,7.31882805846245,3.52590128424256,5.46592397271335,10.835051492306,4.90592201268005,4.73864576353001,7.2296436787843,8.21011261080768,9.31242989190038,9.03971419062428,6.1919900448278,9.34366012676502,9.25366322116758,8.73207743701345,7.17809020914719,9.12476180384401,9.63806687445187,4.63231821206731,1.56441805986366
ARG1,1.31405043761086,1.10993008410762,1.93375008055487,2.35095562253864,1.02876386648921,1.62538226562375,3.06031225377821,1.40449887660756,0.487174218715473,1.00909293432604,2.21275895166365,1.49549718867136,2.59555047983265,1.85200560842201,4.54891278215902,0.884841308806308,2.26174511251594,1.73814349505611,2.81705595096355,2.23519206992553,2.23740344661339,1.91727688137455,6.04404522629116,3.30315613466098,1.79529041187106,1.41210032920677,1.64632173815017,0.963409061789436,1.54690817672238,1.18219871127801,2.09043077712216,3.95030085027521,2.78447583795975,1.55857613787193,4.64294862494379,2.13951722993,40.2562190557571,4.23342994785237,2.8676249834247,1.02320925593895,2.99553245901117,1.72408478374552,3.17640827832385,1.36553908814909,1.34301605266545,0.913389953293712,3.65567228006856,3.05277985877184
ATM,15.3329335214995,18.0540649912277,21.3191342214316,21.1706428968342,11.7679778736236,22.605526423762,25.2932469881255,16.4188497928188,21.7174686951732,26.7228681405872,31.6800855967522,23.4429319635549,27.4350786161326,25.7399405785205,28.6720522468816,21.7140223569014,18.5101199671156,19.497489853049,34.4552234121615,32.2384755844723,22.6892906625333,20.7964057992049,22.5768505355013,28.1842743575209,15.8496061106561,44.9753830604623,25.6305043161218,26.1562488463361,33.9023720101434,27.3339528237922,29.28296860287,46.3691689142425,32.3798884352805,17.7766499851931,28.1695745266134,35.0584726026107,24.8358820118651,31.93595307243,24.1562074032823,19.9048895794469,48.5989119152528,59.1668603682146,31.895603947432,35.3521276029027,31.0504977745346,28.6753232766497,25.5160508185608,30.6857564929031
BLM,2.29426540699144,6.70374199179528,1.98341181926487,2.78683006099032,12.8114540636803,10.6071747820516,3.77997639891747,7.99298772394491,5.30784932347119,6.31299987965347,4.16667709038287,7.05726899157651,1.99291014732934,3.73668126160476,5.14528688159688,11.7843879555427,9.35645691070689,7.45533688966085,2.89438409974122,11.4926555626705,2.55469677010859,5.66069864335969,2.19548721434058,2.06950201421301,5.07688612434894,3.60994074357304,0.735211569516911,3.7597062919292,2.65714853260526,4.50671713337419,7.03785283828617,2.83921419211065,3.73549253466378,6.87481192482905,3.27163498856101,5.31735360407983,4.0846877054152,1.42377327287237,1.50750567035764,2.17970351255611,4.65131293201378,6.00615255227659,7.94519370701718,12.9215091746004,1.71526088844599,2.16595879367217,4.93959376335171,4.5234683496622
BRCA2,1.6214094639625,6.70392475964587,2.47228122925042,2.89204211147255,7.503884827497,8.90864335098632,3.73027166719905,4.14383002821435,7.02114053421192,8.40715363501372,7.01717159678994,10.4512326034157,3.4675240837924,4.98258946256727,7.74776018045649,7.26496187170495,11.2478702187945,9.07225565696795,5.21843228557586,9.1094303895044,4.45807325395347,9.99694485481453,6.0190285538931,3.93281802585547,5.40019961975506,5.46979200632342,1.91342703359097,4.31707049057089,4.46382889956749,8.17659341127513,5.21680628300737,3.89089075041867,6.07607104380082,7.42571697091072,3.15116904156666,5.33303595551082,3.41733174227668,3.8802291142699,3.08806813437291,2.59391457855328,5.97103223256913,10.1565333663389,11.2590400210872,14.9889402117142,2.62141757402012,3.54329473938179,8.7150713206533,7.7901921984694
C2,36.6373860195837,35.5089685209672,27.0981715630649,34.0045522526719,25.0035393255054,22.9786082483211,46.6514603502538,6.75743879627599,11.9413567496598,18.4714068336776,45.0519652035411,28.7610021146331,36.6942219847146,17.22312569523,45.4876261890182,33.9889001813751,29.3418533183016,27.4531918352672,39.610304020981,36.759027582531,28.5508004205121,24.479819721228,27.3643538588371,32.8106126843455,13.1262503568243,60.4475999230335,9.24139999824555,59.4989401783026,78.3845917935284,35.7336141020481,11.5418483922659,40.5913160760046,41.6181391341404,37.5358161417585,20.8411652244279,23.8383906693338,59.296306290394,10.6027738408153,60.8963339807048,42.4968878614898,48.4745958238227,61.4680686772379,20.6983681134642,23.3074536644392,11.184156996625,9.46063238985364,32.9536547369837,32.6799974524243
CD3G,0.501636666637534,0.38272539121717,0.881692818637274,0.442103574787611,0.214215802586865,0.0900038102367318,1.02089780264939,0.0788353596037294,0.277942303783318,0.393068927001221,0.708013370115862,0.357535635193303,1.80483599464,0.128545490604948,1.57599721655722,0.407976221086371,0.973307116077492,0.589443312453851,0.438927723019764,0.416423842030898,0.412449124978539,0.449756490332449,0.952258478202804,0.654369397788561,0.530056520939018,2.762161779469,0.172966103849856,0.0782241937243075,2.74314257210643,0.599735298109337,0.284971159994763,0.975143140839567,1.69010801207459,0.257105191794377,0.189467538170056,0.301688377147057,0.447639349288151,0.35443409859502,0.354214660282202,0.141532173553829,2.50948180558212,1.97373278631799,0.631456822680527,0.54846276773679,0.526773915638491,0.405541474276462,0.630465754274771,0.106806237027058
CD40LG,0.645821503742191,0.722673160413847,1.20869821449801,0.910954537984066,0.103714994413007,0.224106988155022,0.945308919718346,0.038169027597918,0.29989640121267,0.27186964250573,0.983665866359675,0.46738324665388,1.83010031527894,0.280065364249981,1.06423554983026,0.454310453538765,0.741059139405305,0.708543610859101,0.667894236560465,0.979684813770103,0.392836506813111,0.214000281344413,0.908452908758723,0.61051506299959,0.90700372462227,4.26274494381471,0.271328901136394,0.426072653452458,4.19946468318302,0.690877018210037,0.279672968735739,0.972439736368009,1.5581711260943,0.162365707091482,0.250180481875834,0.438197480845347,0.536405845522532,0.540550276177988,0.464701599185805,0.433987844392621,3.62579755819031,2.41779569897524,1.31282742842687,0.497895803594751,0.808852326804983,0.849580416548391,0.763117746129919,0.252093284883655
