WSU_F_Post,WSU_F_Pre,WSU_E_Post,WSU_E_Pre,USF39_Post,USF39_Pre,USF37_Post,USF37_Pre,USF36_Post,USF36_Pre,USF35_Post,USF35_Pre,USF34_Post,USF34_Pre,USF33_Post,USF33_Pre,USF31_Post,USF31_Pre,WSU14_Post,WSU14_Pre,WSU12_Post,WSU12_Pre,WSU11_Post,WSU11_Pre,WSU9_Post,WSU9_Pre,WSU6_Post,WSU6_Pre,WSU2_Post,WSU2_Pre,USF18_Post,USF18_Pre,USF17_Post,USF17_Pre,USF16_Post,USF16_Pre,USF15_Post,USF15_Pre,USF14_Post,USF14_Pre,USF10_Post,USF10_Pre,USF7_Post,USF7_Pre,USF3_Post,USF3_Pre,USF1_Post,USF1_Pre
A2M,514.276032584206,283.341359546825,928.98405190425,1005.51574047032,245.365790055804,421.870398409502,963.966777537332,210.039453036059,279.020646673127,465.296659774116,307.511106739952,365.003614692897,920.292470290012,444.726455811695,1108.06143842362,451.180223362839,485.493807787908,361.925165262391,713.925896777326,522.639436308174,436.808951313711,237.339456932395,474.12271964989,620.158156700688,1260.13564162347,716.602229727221,690.059347897943,376.252391380228,1199.0370564105,1030.56876397748,347.084226639486,336.709204037428,628.852584745191,169.245680848779,140.866915552764,223.990680834741,536.369937078065,437.138361577427,372.537473524397,348.942078042946,714.829600937594,878.129204056566,890.547826480157,423.706103437233,578.528666368763,527.079674576609,504.057280893092,308.931713902261
APOE,1182.09550766872,321.770171268723,997.285082195501,490.504011985102,880.971913464979,405.399736596653,3269.63422327233,745.750906349275,541.148792730705,260.837695675944,332.551629751536,2143.09404814499,419.27615400562,310.265426659683,502.452285982644,799.653413493889,338.71153536352,441.34445583904,693.452350911755,340.644334308235,674.324634853511,560.990086886362,398.984943823097,229.767714197186,58.2476879663693,2281.67446253598,183.138733821249,1052.17822661459,2980.42950166685,632.601367960248,292.431620561039,290.99282515429,937.140045530731,464.931441663192,158.697696441376,148.057089696181,917.316428227932,97.0417551673009,265.183107480287,171.446688216213,453.442376536736,528.23743583679,379.444579710116,453.451890771191,213.100617227428,286.473560153961,672.55510525835,193.052413268387
FAS,18.4988385644591,14.5507924804761,24.6302417368584,15.3250296276017,18.6382838874305,32.3744418794741,22.4140272704651,7.65742720919162,12.5541037410626,14.9230952387523,31.7615401229033,26.7334670900334,35.240255471145,31.8826068558571,25.8881031271673,10.9800822407739,16.26405335544,19.2055885475673,48.9298335967216,17.9413753589374,30.1178391176146,18.5882990847828,24.8357848568404,20.3489640766528,23.2058562872805,51.735113782981,29.319678861749,42.6587969485789,46.5236667157867,26.2752963160682,11.9720506236594,18.8048729236836,35.368765573063,16.7954622919198,14.9248425083865,24.909324903644,27.0926557236447,32.8189610353867,32.0427363440191,22.1173509485273,28.8235625810265,31.288858669697,30.3254517276259,25.4378682659675,32.9418037464066,35.0840757785392,15.5617111116935,5.42337047783379
ARG1,4.48628027436278,3.61468380070169,6.52740999726844,7.94506110165877,3.62607379613882,6.47820831331029,9.80794589724164,5.0888761284774,1.71227931138626,3.67854322517166,6.8243093866448,5.0958181293651,9.19180466663182,6.93549663782718,16.6369160820125,3.02032521113499,7.84297377518815,6.43814659579653,10.9300121882532,7.98850852688396,8.26389393301155,6.79734025596814,21.8656141447922,11.7254095470979,6.05482626984263,4.80790073816003,6.13693580932917,3.43338031642951,5.05672696794682,4.24420702265128,7.09797043973068,13.5905486191512,9.08934057457778,5.33579756976482,14.6234347237205,7.37158457389319,132.842012687809,14.9194972866801,10.1647628829573,3.65483116793556,9.24069541533059,5.82954488875186,11.0312828311892,4.83922637139621,4.84849601405939,3.32488275440976,12.2807875748382,10.5830765996346
ATM,52.3479428466125,58.7962586067524,71.9631410746471,71.5462468811365,41.4784748872547,90.0977648780803,81.0619235729412,59.4898964743549,76.3307476337167,97.4154334173066,97.7036858646905,79.8804027251214,97.1577650338888,96.3924032024431,104.863414616634,74.1188374762626,64.1868903238986,72.2194101240948,133.684249940119,115.219331960532,83.8033443339214,73.7296984549462,81.6765401202734,100.04739290461,53.4546448924895,153.131596206691,95.5419321168109,93.2151808639206,110.82431484996,98.1315183520584,99.4290974881617,159.527709013541,105.697391854815,60.8584999376833,88.7229145874727,120.791967555278,81.9562450403865,112.549013703032,85.6256037052165,71.0988592089303,149.91917085538,200.057370550944,110.769585451838,125.281619300122,112.097107399127,104.382676310212,85.7180775093014,106.378358907536
BLM,7.83281778609072,21.8319225046579,6.69504413623864,9.4180999854852,45.1564050643437,42.2765089217038,12.1143860296158,28.9607383110506,18.6555861032608,23.0133837507434,12.8503348987196,24.0472262626129,7.05763225748581,13.9933379297771,18.8180583287373,40.2249348958824,32.4450557108631,27.6148384487305,11.2300408789669,41.0744017009653,9.43582310608311,20.0689296049026,7.94264015096621,7.34623423354527,17.1223904898319,12.2910790449914,2.74062238494835,13.3987753387846,8.68601953551944,16.1795477563091,23.8967355207528,9.76798476383779,12.1937362136459,23.5359722696507,10.3043441915408,18.3206385316433,13.4791132579278,5.017676386081,5.34359889192998,7.78574694111637,14.3484895170576,20.3082448394,27.5926994425732,45.7915181620471,6.19235754047533,7.8844298800022,16.5939660522798,15.6815146375333
BRCA2,5.53563020614757,21.8325177205172,8.34523208254388,9.77366440435306,26.4488684221452,35.506753480252,11.9550881282565,15.0142076026309,24.6773191544603,30.6474032222932,21.6414670742455,35.6119563300634,12.2797858499428,18.6590862944266,28.3361853960705,24.7982856142267,39.0038429461193,33.603964252801,20.2472117976247,32.5568273620604,16.4659818380235,35.4422652035565,21.7751110321643,13.9605577657919,18.212802955935,18.6234763074922,7.13261485217164,15.3851000938626,14.5919223367027,29.3547563928424,17.7134479609816,13.386155110613,19.834066548375,25.4219999936908,9.92492454798957,18.3746711789498,11.2768967705885,13.6747432826697,10.9461594642789,9.2652796030068,18.4195934883999,34.3416795574005,39.1012879949524,53.1181241030055,9.46372355981647,12.898148846808,29.277224923045,27.0062711942306
C2,125.083160812849,115.641241849537,91.47039100197,114.918479443814,88.1297270561672,91.5847392523678,149.512520684029,24.4840131613893,41.9704847400125,67.3355903664077,138.94353417672,98.0014119081449,129.947817812917,64.4981472026534,166.36366884077,116.018014863081,101.747710127631,101.687619037615,153.685660940334,131.375647414853,105.452946689084,86.7885414289517,98.996347710331,116.469780879626,44.2698100315699,205.811197886492,34.4488426917646,212.041279409565,256.233359651427,128.287109831706,39.1898644072484,139.649681266134,135.853734305535,128.504159457875,65.6413507546373,82.1338152674052,195.672640335611,37.3664044280634,215.85695442505,151.79588084737,149.535677385738,207.838308740466,71.8829359442983,82.5974484376931,40.3765394398147,34.4381864125013,110.703805657292,113.291797088182
CD3G,1.71263036639963,1.2464129872308,2.97617079723215,1.49409026749572,0.755044314619912,0.35872387932167,3.27185907341198,0.285641652157367,0.976888427680042,1.43289184698489,2.18356467789635,1.21828150899485,6.39159209074858,0.481384513008079,5.76395606883964,1.3925896698393,3.37510276660141,2.1833194245952,1.70301387188539,1.48828615563782,1.52338901003536,1.5945260315912,3.44499679782616,2.32285392253981,1.78767742882228,9.40457231242658,0.644759679665668,0.278774009560132,8.96712760978769,2.15310737499944,0.967607677783624,3.35486606426157,5.51700507511842,0.880201630331317,0.596747110620329,1.03945009462386,1.47717082012437,1.24910028922952,1.25557144056399,0.505542924057618,7.74131388426119,6.67366476679046,2.19297338261212,1.94365398427251,1.90173544479583,1.476234601834,2.11797322305745,0.370265345052043
CD40LG,2.20488969834804,2.35351307578084,4.07998370023647,3.07857340892779,0.365563212081995,0.893212498033286,3.02960546896186,0.138296624244658,1.05405085825273,0.991072474645005,3.03369700530346,1.59258074151,6.48106239855135,1.04880481100842,3.89227017133904,1.55074735192508,2.56974464720031,2.62447125292072,2.59139054145268,3.50136375024002,1.45094941649085,0.758697265534241,3.28652086937171,2.16718158528016,3.05897583052565,14.5137382507852,1.01142322967856,1.51843024915649,13.7277355139373,2.48031491195381,0.949617890533955,3.34556531697661,5.08632463082238,0.555860265187163,0.787968646951053,1.50978442469664,1.77009251758154,1.90501283311489,1.64721035503519,1.55017391700173,11.1849533701752,8.17514816666218,4.55929131350889,1.76445370467503,2.9200822095114,3.09260602799478,2.56360149839118,0.873932175787659
