WSU_F_Post,WSU_F_Pre,WSU_E_Post,WSU_E_Pre,USF39_Post,USF39_Pre,USF37_Post,USF37_Pre,USF36_Post,USF36_Pre,USF35_Post,USF35_Pre,USF34_Post,USF34_Pre,USF33_Post,USF33_Pre,USF31_Post,USF31_Pre,WSU14_Post,WSU14_Pre,WSU12_Post,WSU12_Pre,WSU11_Post,WSU11_Pre,WSU9_Post,WSU9_Pre,WSU6_Post,WSU6_Pre,WSU2_Post,WSU2_Pre,USF18_Post,USF18_Pre,USF17_Post,USF17_Pre,USF16_Post,USF16_Pre,USF15_Post,USF15_Pre,USF14_Post,USF14_Pre,USF10_Post,USF10_Pre,USF7_Post,USF7_Pre,USF3_Post,USF3_Pre,USF1_Post,USF1_Pre
A2M,28683.5796029291,12629.320438292,53905.8374612136,51450.9234024633,13127.7029169454,21501.5777668855,53355.4915477914,9671.42429519022,13477.3128342421,21726.3048964624,16399.1249492618,19746.7702346643,56142.9785822898,21371.6308137624,55883.011568241,21696.2879436409,21821.9470850626,18057.2930084547,38710.7345545192,24810.6865918707,21843.4641272652,12103.8035575052,25900.9780452149,32524.0971711548,59236.3852523834,42884.9303453312,36122.1557504263,18683.282877892,67082.4017067242,50144.4376444739,15258.9840584037,15866.9286683015,33352.6010002126,7224.38572763036,6457.16972137643,10162.5745844686,25229.2120885797,20523.9519607931,17178.3215288254,15949.5375575752,36805.1968388746,42254.3302040964,42714.0959314243,19898.1417695573,30358.3615039268,29133.9885389745,25373.4791836803,15560.4101909855
APOE,16675.822191978,3627.55007198746,14636.7443311371,6348.11066458993,11921.5964391653,5226.0355941771,45773.4718541731,8685.22298166136,6611.21509800202,3080.51916428684,4485.559007019,29324.9825765538,6469.4501241406,3771.16649840194,6409.26771830388,9726.01201147667,3850.67988016317,5569.40966613867,9510.26298311959,4090.11388876729,8528.9709473065,7236.10290409827,5512.8925673759,3047.82072943801,692.544317637803,34536.4632095027,2424.73928991608,13214.8079499487,42174.7460635392,7785.26754373858,3251.71667316258,3468.30903466257,12571.3807215564,5019.60881932992,1839.93060824839,1699.02836549083,10913.2990461507,1152.38696503494,3092.81713498741,1982.08136282849,5905.08762266708,6428.9433994122,4603.20110832271,5386.12766316156,2828.36710454736,4005.03067035874,8562.99376303886,2459.4126781451
FAS,827.203881142636,519.981261435915,1145.84863178702,628.690155702157,799.487518658801,1322.89264967796,994.644743779539,282.68546081696,486.165032194818,558.657820680867,1357.97713955636,1159.5386553221,1723.61262431483,1228.37101156001,1046.76026461446,423.323142323546,586.097178645525,768.232226675169,2127.07622096483,682.846952468814,1207.4935799459,760.01578269161,1087.76310204942,855.610552067294,874.580699868496,2482.23559816307,1230.48822964552,1698.29668183173,2086.8006857983,1025.00137904092,421.978499570716,710.459492610515,1503.94445684853,574.786197883772,548.496663973099,906.080514050001,1021.6964278369,1235.37251485558,1184.59909292858,810.510973008474,1189.83108814934,1207.07306714938,1166.14428077509,957.766299982993,1385.89988122821,1554.76499274558,628.041749788701,219.007434281726
ARG1,78.540031593941,50.5717436309244,118.887456855372,127.605427642517,60.8946267283116,103.636751357259,170.397306703268,73.5493846016979,25.960268709432,53.9137331106327,114.231579542086,86.5327354717981,176.010255534018,104.61401472077,263.36398981771,45.5886460963819,110.651720694344,100.823630319708,186.022950566888,119.033694945669,129.712647694853,108.807426370274,374.933876871275,193.018268871457,89.3388886962442,90.3128718185021,100.833862608596,53.5135101885148,88.8000291829064,64.8201386231534,97.9473146857306,201.021484343285,151.314602048662,71.4908206323099,210.40215946058,104.978957195894,1961.29224986548,219.868930968063,147.12132248883,52.4360148896425,149.340939047551,88.0471002845871,166.076275280662,71.3331405151187,79.8597770695724,57.6856269393235,194.041200996037,167.316238612748
ATM,8179.56425809801,7341.9798061101,11698.5257545686,10256.1565664547,6217.14495468085,12864.6737971563,12569.7734154131,7674.07883335454,10329.0402471164,12743.1615036839,14597.0233064858,12106.8911673431,16605.0650830629,12977.1997938297,14816.0843424285,9985.21602785324,8082.57278517008,10094.4180312482,20307.2916174019,15323.4107786157,11740.4520618639,10533.8678341627,12500.1784911139,14699.4826804527,7039.63574087699,25673.4863796778,14011.1803152851,12967.4341764358,17370.1887593207,13376.6632412317,12246.0978237899,21060.4426336636,15705.0243383075,7277.76554036915,11393.6396971343,15353.4272931937,10799.7772208355,14803.9376710948,11061.343876012,9104.39035669592,21625.0576165084,26968.7515632372,14884.2853092118,16482.7110016934,16479.3977473774,16163.8789263473,12088.3224528905,15010.8511633469
BLM,496.575683626207,1106.09480300458,441.581982605669,547.769640611781,2746.15123116708,2449.18028575171,762.164697424694,1515.75688266108,1024.2506018085,1221.42491909261,778.941201877503,1478.74830172917,489.394369045805,764.35723658885,1078.75080575051,2198.67527459122,1657.63416420817,1566.05399703112,692.13366779887,2216.34933467131,536.33993653602,1163.33955111676,493.197248778679,437.923169159973,914.883957926952,836.078252744012,163.067262187339,756.256964739577,552.366283222486,894.834108797678,1194.15219274384,523.206603085263,735.102695087759,1141.94670823343,536.888268968378,944.81061476305,720.660873206386,267.778114369664,280.075406515773,404.506400577242,839.736755628031,1110.74803435941,1504.31408768716,2444.34894831807,369.351468946773,495.36387578054,949.468777392823,897.794451092792
BRCA2,800.601612376947,2523.40033604561,1255.6779966915,1296.80312644834,3669.3923460802,4692.61113866179,1715.86125122128,1792.68630468312,3090.84532604117,3710.75211340769,2992.67043300345,4995.82326123848,1942.5522104669,2325.13084331001,3705.69500927123,3092.2127380803,4546.00101536505,4347.47110302481,2846.79260212362,4007.66128056102,2135.15762778606,4686.90034342329,3084.59465079366,1898.53184355017,2220.03779805329,2890.01189819207,968.162633952847,1981.00956584653,2116.90239060607,3703.70678246766,2019.3247753702,1635.70906438235,2727.75242071508,2813.87870008772,1179.70314235484,2161.7511476941,1375.43854422091,1664.84412320564,1308.83487636359,1098.15996897451,2459.22907005352,4284.95888051657,4863.14658267505,6468.48918191096,1287.73890524686,1848.68699667451,3821.57479824257,3527.24395709638
C2,3949.80352435335,2918.24894977937,3005.02200470627,3329.15298621819,2669.54186205727,2642.73715961012,4685.26547966272,638.280746369517,1147.75854688065,1780.08273977348,4195.05628318352,3001.72444603282,4488.26151611745,1754.81573080001,4750.22337566689,3158.64190810646,2589.25026424765,2872.37755508647,4717.92690144642,3530.94584860787,2985.57706520119,2505.8432103169,3061.85169465762,3458.24398394695,1178.1985772422,6973.24840586495,1020.94285891203,5961.20309722625,8116.17215879361,3534.0150374542,975.447914746934,3725.78175775979,4079.35987955516,3105.56124826754,1703.53196694291,2109.77127568448,5210.85449951341,993.260034451055,5635.29154510919,3928.20660116122,4359.04167170761,5662.10583368575,1951.99796018286,2196.10961932545,1199.5604013992,1077.71401440609,3155.02105436305,3230.69972931118
CD3G,55.7380869376355,32.4177843787977,100.771272953601,44.610027549823,23.5721135722497,10.6684891103061,105.672748343112,7.67471839322064,27.5336183281855,39.0409791490789,67.9480947276204,38.4589935430214,227.525452275681,13.4985825446155,169.624264628356,39.0759823683273,88.5213765554751,63.5627234624248,53.8825098193745,41.2263041031342,44.4520871313821,47.4498551088411,109.815988199732,71.0846850413701,49.0356306377882,328.410442976371,19.6941137907414,8.07751097185129,292.739079255514,61.1311876445999,24.8222646806304,92.2495852808226,170.740125284639,21.923851660575,15.9615431314923,27.5187557697976,40.5435090411469,34.2208452868581,33.7834147937313,13.4835466859081,232.580150975694,187.382290349249,61.3760147776361,53.2620782512886,58.2310874465632,47.6135333467432,62.2116827620883,10.8823569829429
CD40LG,49.4042134219951,42.143119692437,95.1099654842979,63.2839925706792,7.85737119074988,18.2888384748105,67.3663770687337,2.55823946440688,20.4535450437949,18.5909424519423,64.993829739463,34.6130941887193,158.838523286796,20.2478738169232,78.8604037307268,29.9582531490509,46.4023344847249,52.6036332102826,56.4483436202971,66.7749996036681,29.1489095943489,15.5439180528962,72.1276608885815,45.6602356470114,57.7680032171203,348.936095662395,21.2696428940007,30.2906661444423,308.54247427959,48.483355718131,16.7718004598854,63.3355361629529,108.373971737556,9.53210941764132,14.5104937559021,27.5187557697976,33.4483949589462,35.931887551201,30.5140520717573,28.4652652258059,231.356044917927,158.033256921054,87.8519427209301,33.2887989070554,61.5585781577954,68.6733654039565,51.8430689684069,17.6838300972823
