WSU_F_Post,WSU_F_Pre,WSU_E_Post,WSU_E_Pre,USF39_Post,USF39_Pre,USF37_Post,USF37_Pre,USF36_Post,USF36_Pre,USF35_Post,USF35_Pre,USF34_Post,USF34_Pre,USF33_Post,USF33_Pre,USF31_Post,USF31_Pre,WSU14_Post,WSU14_Pre,WSU12_Post,WSU12_Pre,WSU11_Post,WSU11_Pre,WSU9_Post,WSU9_Pre,WSU6_Post,WSU6_Pre,WSU2_Post,WSU2_Pre,USF18_Post,USF18_Pre,USF17_Post,USF17_Pre,USF16_Post,USF16_Pre,USF15_Post,USF15_Pre,USF14_Post,USF14_Pre,USF10_Post,USF10_Pre,USF7_Post,USF7_Pre,USF3_Post,USF3_Pre,USF1_Post,USF1_Pre
A2M,22643,19479,47609,49594,6683,14108,40393,15122,17132,23373,16653,10269,26156,12666,75115,16657,30568,16477,60348,42729,29975,14795,39860,62683,88186,31340,45854,18504,89141,95152,22745,11524,32622,7579,4450,9971,24891,23990,15763,10646,30067,56149,35493,20921,18247,31818,17130,11439
APOE,13164,5595,12927,6119,6069,3429,34653,13580,8404,3314,4555,15250,3014,2235,8615,7467,5394,5082,14826,7044,11704,8845,8484,5874,1031,25239,3078,13088,56043,14773,4847,2519,12296,5266,1268,1667,10767,1347,2838,1323,4824,8543,3825,5663,1700,4374,5781,1808
FAS,653,802,1012,606,407,868,753,442,618,601,1379,603,803,728,1407,325,821,701,3316,1176,1657,929,1674,1649,1302,1814,1562,1682,2773,1945,629,516,1471,603,378,889,1008,1444,1087,541,972,1604,969,1007,833,1698,424,161
ARG1,62,78,105,123,31,68,129,115,33,58,116,45,82,62,354,35,155,92,290,205,178,133,577,372,133,66,128,53,118,123,146,146,148,75,145,103,1935,257,135,35,122,117,138,75,48,63,131,123
ATM,6457,11324,10332,9886,3165,8441,9516,11999,13130,13709,14823,6296,7736,7691,19915,7666,11322,9211,31658,26390,16111,12876,19237,28330,10480,18762,17786,12843,23082,25383,18254,15296,15361,7635,7852,15064,10655,17304,10150,6077,17666,35837,12368,17330,9905,17653,8161,11035
BLM,392,1706,390,528,1398,1607,577,2370,1302,1314,791,769,228,453,1450,1688,2322,1429,1079,3817,736,1422,759,844,1362,611,207,749,734,1698,1780,380,719,1198,370,927,711,313,257,270,686,1476,1250,2570,222,541,641,660
BRCA2,632,3892,1109,1250,1868,3079,1299,2803,3929,3992,3039,2598,905,1378,4981,2374,6368,3967,4438,6902,2930,5729,4747,3659,3305,2112,1229,1962,2813,7028,3010,1188,2668,2952,813,2121,1357,1946,1201,733,2009,5694,4041,6801,774,2019,2580,2593
C2,3118,4501,2654,3209,1359,1734,3547,998,1459,1915,4260,1561,2091,1040,6385,2425,3627,2621,7355,6081,4097,3063,4712,6665,1754,5096,1296,5904,10785,6706,1454,2706,3990,3258,1174,2070,5141,1161,5171,2622,3561,7524,1622,2309,721,1177,2130,2375
CD3G,44,50,89,43,12,7,80,12,35,42,69,20,106,8,228,30,124,58,84,71,61,58,169,137,73,240,25,8,389,116,37,67,167,23,11,27,40,40,31,9,190,249,51,56,35,52,42,8
CD40LG,39,65,84,61,4,12,51,4,26,20,66,18,74,12,106,23,65,48,88,115,40,19,111,88,86,255,27,30,410,92,25,46,106,10,10,27,33,42,28,19,189,210,73,35,37,75,35,13
CDKN1C,167,99,322,186,138,90,158,1648,535,301,442,170,407,277,116,93,381,309,516,156,865,285,629,893,212,113,1224,125,351,316,96,50,264,225,164,150,68,655,375,76,78,90,120,150,360,519,488,594
