EOC1005_Pre_Extra,EOC136_Pre,EOC136_Post,EOC3_Pre,EOC3_Post,EOC372_Pre,EOC372_Post,EOC443_Pre,EOC443_Post,EOC443_Pre_Backup,EOC443_Post_Backup,EOC540_Pre_Extra,EOC87_Pre_Backup,EOC87_Post_Backup,EOC87_Pre,EOC87_Post,EOC1129_Pre_Backup,EOC1129_Post_Backup,EOC1129_Pre,EOC1129_Post,EOC1129_Pre_Extra,EOC1129_Post_Extra,EOC183_Pre,EOC183_Post,EOC183_Pre_Backup,EOC183_Post_Backup,EOC183_Pre_Extra,EOC183_Post_Extra,EOC218_Pre,EOC218_Post,EOC218_Post_Extra,EOC26_Pre,EOC26_Post,EOC26_Pre_Extra,EOC26_Pre_Backup,EOC26_Post_Backup,EOC26_Post_Extra,EOC376_Pre,EOC376_Post,EOC423_Pre,EOC423_Post,EOC568_Pre_Extra,EOC568_Post,EOC568_Pre,EOC587_Pre,EOC587_Post,EOC587_Pre_Extra,EOC649_Pre_Backup,EOC649_Pre,EOC649_Post,EOC649_Post_Backup,EOC677_Pre,EOC677_Post,EOC883_Pre,EOC883_Post,EOC883_Pre_Extra,EOC933_Pre_Extra,EOC933_Pre,EOC933_Post,EOC868_Pre,EOC868_Post_Extra,EOC868_Post,EOC1133_Pre,EOC1133_Post,EOC167_Pre,EOC167_Pre_Extra,EOC167_Post,EOC740_Pre,EOC740_Post_Extra,EOC740_Post,EOC551_Pre,EOC551_Post,EOC60_Pre,EOC60_Post
A2M,569.227196699085,221.538110975744,379.438999067816,178.204381394484,634.909583836923,405.890277215478,819.63621285588,470.549845627185,2109.41420588167,522.503229601379,1166.64668776416,536.251910098351,231.443077093137,484.466410341,295.536458968234,533.880029994743,300.76272030026,69.7701753663592,273.823944624747,632.492646283726,734.716150346903,195.843301405023,283.519371308498,855.680826120062,551.938808299428,1253.64935204408,322.236154885667,383.830525609448,1247.3622754591,697.224669089206,1094.84054441437,167.470209183702,1052.02446165334,390.724768547261,119.027103384806,699.323638749856,789.404229097422,278.009108747895,325.118885342985,216.424420998621,292.839376400159,1150.26457888254,1176.20122726691,239.075734209782,687.176303329419,1507.22024673232,644.129708929198,321.788934355237,501.350817272508,1385.76002019442,461.05577153159,368.963668640558,323.368788011627,345.396216918066,934.324373449489,283.502260258047,92.1201994260758,130.459327679129,1824.56846886644,296.793787807715,1441.25304388142,2269.38507138239,543.181694976962,903.821364255746,965.284879649236,414.670184250491,1.22224297807975,262.608837018529,1092.07648508267,416.540456057501,195.754212628509,503.297312557628,472.399553527895,437.943190595483
ABCF1,98.383659546781,48.2447373697907,76.1061819713,186.585187909782,112.644079607555,81.0260883549619,79.9168356921796,88.5178162257829,69.1330224571186,85.6221196640111,57.5019294296844,86.9274330340996,39.9985248216711,76.8039307749291,69.9962092407114,67.3333450860077,89.4831233951187,72.6066264209728,58.302863857115,42.8094207667529,63.9377814070985,50.7283641726008,80.1561270091719,51.1411268233964,62.6684484268303,60.6201523372127,77.7961959165922,54.8480197101275,54.5287650631036,87.5678537844441,58.0583930028512,61.3577710444583,51.3726757703492,45.7909911265762,67.5882546858447,36.4057701038865,43.6794535975956,83.2753006696072,65.4232666937449,95.1509493195938,103.883709452815,68.6006167622364,71.2314356018546,107.393065061289,56.2740791172798,72.8679661839273,37.083813029716,79.6353740626379,82.6384972696019,60.3112364211197,46.1974470763221,166.721635629501,44.6989253407001,77.1538413469118,97.1555830155594,56.1946310813334,45.1584977612082,83.7481018858826,59.7215397863485,92.3170413394773,68.941618768558,47.8952400107698,70.7084839030489,54.1176524120419,46.599022214302,52.5283944011623,98.2596051306257,60.4129483859856,45.208623872061,91.3530336965928,73.1204067531704,57.596623949683,105.704728338084,101.891318733101
ACVR1C,4.38188091300615,4.09218754475903,6.06010487719821,1.197258073614,17.3001203344079,0.897987338972297,1.43828176834103,4.6059971084797,1.14269458606808,3.26701557744882,1.34920728270768,1.8977987278446,3.22568748561863,8.13162792170302,2.11435290234263,3.70173840283265,5.51360659303257,3.3580972255771,7.93628336914341,4.5630871606547,2.02469641122478,3.5645366230457,1.50527938045393,17.2487824197254,3.32836979505169,39.47805735594,3.68379040643281,23.4811483611393,5.72574399350063,8.12159452277234,16.4322845650494,0.421220396186213,107.724201174829,4.78553390872005,0.387022801428575,1.20659123772881,0.21641347777504,3.02280450829179,6.32069201432667,4.737244987462,1.76942221389824,0.609045023716384,168.340734200603,0.613135637152724,1.52681610008123,9.69106961430911,10.5305936456667,2.57454552443502,14.6286949537173,49.052182772944,30.6123708254322,1.12116031907352,5.97149705723415,6.58925980083594,4.14604194945488,8.83454434385945,14.5824315687235,2.98412776834754,151.330063173333,0.846169031525915,20.5881574192838,2.43653110519905,0.351346503866081,7.20311610501742,0.89718070774327,0.78848912253353,2.09527367670814,1.56240383756859,42.9246276379473,5.90376748379341,4.17721401262871,5.26137886697803,0.635649233019963,0.702909517354927
ADAM12,46.0097495865646,37.9065793619784,39.1995973137686,28.9960939703391,11.0904402702419,84.2726579650925,146.815377429888,73.3121206433018,102.715546681008,51.4609769145798,106.362507453455,57.0164748235053,50.428247691838,61.4337438940223,89.2757692581251,89.4586780684557,0.225967483321007,0.71726348507472,31.8338070337708,18.287181369036,205.950698110198,35.409694387611,4.91724597614951,54.940566225792,35.0905272678306,12.9543381976162,9.08668300253427,12.3566462889953,222.096241622895,35.3305162508151,51.5488156055618,25.5540373686302,19.4627758425112,37.0331512936244,5.45350311103901,2.82924841950204,6.85309346287628,24.8047781709826,21.6983063522123,25.8179851816679,1.02440233436214,236.780094902102,5.47473864558564,22.2379579167315,34.4078913982593,11.6144880110422,41.6185184273715,30.8945462932203,8.49554644827683,28.3986321317044,13.2555174849674,25.7866873386909,11.6636258310889,0.92558164426458,4.42244474608521,4.50388535177148,0.418134238529706,1.46799833765484,42.6540170242271,29.5736076518307,63.1999015599928,2.19287799467914,48.1783893426364,112.760822795822,146.376391833023,198.023411059135,0.218257674657098,26.7275216480067,31.5409003758565,2.57053990921149,9.5807660840108,21.881146229138,29.2398647189183,36.5207336190929
ADGRE1,2.19094045650308,0.818437508951807,1.2011018675528,0.224485888802625,0.483243584759998,1.45059493218602,2.28649922146522,1.32865301206145,3.33285920936522,1.9295125558087,2.08805888990474,1.93905522192818,0.645137497123727,2.49119236907665,3.17152935351395,1.12754100775937,1.89812685989646,4.56440399593004,0.931072350569897,0.174163632086057,4.44012370882628,0.648097567826492,0.878079638598127,2.58899853083598,1.85437745724308,3.19053433353751,1.55537817160496,0,4.02591374543013,5.68827631945144,2.7445785783166,0.386118696504028,0.937575580453195,2.78374194690251,0.316655019350652,0.873738482493276,3.89544259995073,1.24468420929662,1.5322889731701,0.2368622493731,0.465637424710064,5.09383110744612,1.82491288186188,1.15552485463398,0.763408050040617,1.03568682901013,0.957326695060605,3.89107448579384,1.56736017361257,2.65340754765925,0.131242747375915,6.34474816930241,0.314289318801797,7.6250297360844,16.2524844418631,0.519679079050556,0.339734068805386,0.312852104746113,1.56772739409434,1.43848735359406,1.10733117593758,0.800574505993973,2.28375227512953,1.3953680412861,3.77903389019135,2.14018476116244,0.0873030698628394,2.62483844711524,1.55891806455383,1.32764149157077,2.72093756785907,3.15682732018682,4.29998010572328,2.04760598533827
ADM,17.9448456437395,13.439605410156,14.7953911866731,15.8636694753855,20.7311497862039,10.9485379405468,40.6406797105593,17.2134379118184,69.5139206524746,21.2684906719823,26.7592777737023,4.08439291427426,36.6115529617715,3.94830488683846,17.1373866821456,3.95703070647628,11.659922139364,6.84660599389506,5.71944443921508,13.5847633027125,48.9479237661009,5.15532156225618,12.0171470539572,12.6760057938333,8.2733763476999,45.9360063684015,12.2247266820881,7.5336817830342,40.393334579149,22.2790822511848,12.2802297927243,4.28240736122649,22.6634648930238,7.44416385800897,47.9204595950653,40.1919701946907,18.3951456108784,18.907345845982,6.84057577308082,30.4198803123453,0.698456137065096,14.8108676221939,38.7719195884097,3.49015670379243,47.5494156882442,8.28549463208107,5.69357455483412,13.7796697955556,28.5986443272207,17.928429376076,7.21835110567533,8.99476346893072,11.1048892643302,28.6709933140052,43.9756849438848,4.57317589564489,3.9461418761241,12.5140841898445,69.1574839130673,12.7771523760413,23.418003757791,8.56266645541379,56.0836856796232,12.4828870720459,61.6879704808933,23.2041084631296,37.5403200410209,45.4971997499974,27.444208717843,3.19198911803185,9.46579689100267,7.21118397650518,8.30083116061363,9.90185580969549
ADORA2A,2.03444470961,0.172302633463538,0.545955394342181,0.14965725920175,1.32891985808999,4.24817087283048,3.6879019701052,1.65343485945425,2.31713068841582,1.73217604441917,3.37301820676919,2.06282470417892,0.591376039030083,0.752058073683517,0.639869957287902,1.08499229048543,1.31061140326184,4.9230357384674,0.266020671591399,3.55293809455557,4.65324964684994,2.26834148739272,3.26143865765019,10.7594744138638,5.51558423179994,9.84068420946509,3.30176769761756,1.47857306022167,4.33904037007469,3.47616886188699,3.44831667532086,0.807339092690241,5.72244406000743,2.50223995227192,1.40735564155845,3.24531436354645,2.01985912590038,0.948330826130758,2.21634655047818,1.11663631847319,0.605328652123084,2.71301874200935,2.93182725282728,0.353732098357341,1.90852012510154,1.77546313544594,1.05809792611962,3.51074389695685,3.92975811644891,15.2033081109125,2.23112670539056,0.968274821018038,0.663499673026016,2.29191645246467,0.635726432249748,0.311807447430334,5.22667798162132,3.87455298954802,5.14687861457387,1.35387045044146,9.39180886258167,3.79402700666709,1.58105926739737,4.5255179717387,4.10528142027981,1.57697824506706,1.65875832739395,2.3331897307691,18.416985506822,1.12990765240065,0.804784351056907,6.37555321527926,2.87911711426689,1.55862545152614
AKT1,99.5834602729612,52.983059790038,84.5684905836038,45.9447785749373,63.2807474243217,109.796221176651,136.7105260318,135.404504740307,126.616908439599,119.015842646928,147.095717798058,79.4600076049719,28.5473342477249,60.5876785611283,57.9221413510179,52.8667812128686,62.6381863765831,102.014429309036,47.6177002148604,73.6015509195678,127.307226979467,83.9580940138864,127.572427493471,118.959438988282,128.665266648712,122.00910812829,133.29863804018,105.154707878146,140.728051590258,124.826063676851,122.943045546644,96.8455894231467,112.606060231672,92.6454342328679,151.607386486884,94.4469692980827,103.662055854244,97.9151577980008,89.9946148706512,139.139652774598,170.423297443884,130.418686669449,116.704674625298,56.5028071776126,57.9644826566554,49.8609230537736,46.3043806716156,137.825954154698,108.284144168277,104.271745251258,72.9053461673208,62.1479549595525,29.7876432153259,59.3914888403106,65.4798225217241,30.7650014797929,159.047810980737,152.431171650914,123.17012960394,223.896325741757,132.879741112509,114.447346769921,302.15799332483,166.350498111162,128.813399796594,108.8490460107,62.5526495567244,118.221890376024,97.9580607075453,72.4553282101919,110.293779159132,106.496498125126,119.801184858586,124.751158688818
ALDOA,272.98074783049,224.811861011551,262.386162520852,217.639069194145,286.587607941917,367.380435563397,385.570150974498,861.587189888116,393.658284900452,391.493712317776,461.043402890966,189.862385772628,218.594088608756,222.985218847163,229.101265141995,179.385392026925,673.021552323287,627.670755211751,250.990503646485,194.923937030715,628.508391231778,292.026872266546,380.108131554292,226.890416702353,264.462754286821,247.670032662436,345.375816105334,372.389186452971,342.24740073651,463.878933851265,293.036543592573,652.154478395304,313.117913678938,285.349188557209,739.354286292733,218.393014028914,322.780702101473,310.400533527924,201.331826153315,468.953416294542,853.60652697849,446.042428278108,346.105198856722,235.844981044785,207.156227293165,70.3527267420455,89.4848531804018,563.766957452988,692.659619912581,251.033868123816,252.642288698637,416.460096703127,98.1281095370056,531.702579313608,465.628151203446,122.852134287551,744.148277633336,468.532125177083,357.412266091357,936.11679957712,401.715143270688,349.607406008846,1179.0310303486,413.255216119272,526.264453326863,524.119983878359,429.312846050513,641.460519552162,221.98268161077,493.995625629566,472.06350649138,206.493645885161,593.658992509291,752.93833822058
ALDOC,9.28541431565589,2.45531252685542,2.94815912944778,34.2340980424004,21.7459613141999,3.1774936609789,4.86803060053886,21.228922570493,5.80869747917939,8.48546998974962,6.55329251600872,6.1059611243696,24.6765092649825,12.7379836230146,13.4650895359715,10.7435511116695,29.7373208050445,15.4537678147917,7.93628336914341,15.9533886990828,19.0037294737765,7.04069630502416,17.5615927719625,17.9548729281352,11.2689091632464,24.8323515598221,17.955067314317,43.0546393488356,8.72281311509861,4.26620723958858,10.4856976453634,14.2512900709669,27.9979466438782,13.168037748831,23.643574778182,24.7559236706428,9.05329715358918,22.345045090706,14.9398174884085,22.6372635472291,15.5057262428451,10.8520749680374,42.5414117706162,17.2149621200573,12.8688785578275,21.0836247334206,3.98046362683093,5.14909104887005,9.10886129882087,13.446322032057,32.1216624202552,19.6203055837866,12.501730681227,12.5614651721622,17.1922539504062,9.14635179128978,9.25122002746974,14.8003111091431,33.1293336110502,6.09241702698659,20.9982800770385,19.1441729694211,28.3712301871861,7.42939200360436,20.6079689839212,22.6033548459612,10.6509745232664,27.1858267736935,26.8641461821951,11.9487734241369,14.8693489623848,5.41612530424209,4.48693576249386,3.60623143686441
