EOC1005_Pre_Extra,EOC136_Pre,EOC136_Post,EOC3_Pre,EOC3_Post,EOC372_Pre,EOC372_Post,EOC443_Pre,EOC443_Post,EOC443_Pre_Backup,EOC443_Post_Backup,EOC540_Pre_Extra,EOC87_Pre_Backup,EOC87_Post_Backup,EOC87_Pre,EOC87_Post,EOC1129_Pre_Backup,EOC1129_Post_Backup,EOC1129_Pre,EOC1129_Post,EOC1129_Pre_Extra,EOC1129_Pre_Extra,EOC1129_Post_Extra,EOC183_Pre,EOC183_Post,EOC183_Pre_Backup,EOC183_Post_Backup,EOC183_Pre_Extra,EOC183_Post_Extra,EOC183_Post_Extra,EOC218_Pre,EOC218_Post,EOC218_Post_Extra,EOC26_Pre,EOC26_Post,EOC26_Pre_Extra,EOC26_Pre_Backup,EOC26_Post_Backup,EOC26_Post_Extra,EOC26_Post_Extra,EOC376_Pre,EOC376_Post,EOC423_Pre,EOC423_Post,EOC568_Pre_Extra,EOC568_Post,EOC568_Pre,EOC587_Pre,EOC587_Post,EOC587_Pre_Extra,EOC649_Pre_Backup,EOC649_Pre,EOC649_Post,EOC649_Post_Backup,EOC677_Pre,EOC677_Post,EOC883_Pre,EOC883_Post,EOC883_Pre_Extra,EOC933_Pre_Extra,EOC933_Pre_Extra,EOC933_Pre,EOC933_Post,EOC868_Pre,EOC868_Post_Extra,EOC868_Post,EOC1133_Pre,EOC1133_Post,EOC167_Pre,EOC167_Pre_Extra,EOC167_Pre_Extra,EOC167_Pre_Extra,EOC167_Post,EOC740_Pre,EOC740_Post_Extra,EOC740_Post,EOC551_Pre,EOC551_Post,EOC60_Pre,EOC60_Post
A2M,128.980370747056,42.499926954858,72.2920150485069,37.0532893469131,135.267604090432,89.5117858451106,138.262656415375,92.3756367850355,382.106577821664,107.099777475203,190.800774911988,135.45803599164,51.3690758901659,104.477571497004,58.9702141155388,110.136607178381,65.0633122007883,14.1173685029119,67.0752778038924,128.823157621323,187.77329010888,129.698017634555,43.744149088428,67.1371537337422,162.106724386802,100.786714327493,243.387902191765,73.1144089072266,65.1952097895432,233.401305699537,202.311200544461,127.640296281641,206.695134241709,33.9124793325103,213.207740415114,89.6242060147347,25.6663779275684,138.763325987177,173.123701401097,6.74902563204273,57.5074504726155,70.5317854719401,43.9531537886449,58.4015139086989,182.577510512901,213.354590689306,50.2525843446247,167.864006764652,316.758910414863,159.996349242776,59.7704387079607,110.886083605604,251.003336120474,75.627941355766,81.1506037247462,57.6515919284498,69.2078514670269,140.699088127354,73.4074316467412,50.4215770049834,16.3746712210944,26.9531336224113,360.898946722414,55.3977386224461,260.213199015897,439.641723703208,87.3451346204098,169.798365907421,194.842777014839,75.6415091986079,69.5487195162186,0.33723416273979,0.215115094660633,61.7884519024114,179.57269449777,80.0348006937804,38.6496626007599,116.302845410063,108.34901760629,95.285070079898
APOE,114.544885933034,8.51596575082907,87.5710900115703,14.2513832951617,63.0087960002417,499.296452778932,1059.24911535601,409.012479269505,5472.3568570853,290.055154028446,2648.22709604377,135.124729549281,42.1055356807963,44.6224280657483,57.6007096709599,17.8408755030535,37.8139070545164,63.7856619610323,19.0084182230989,116.3824276601,96.5838919750357,829.43471985756,357.202175623231,220.250300737838,385.730946635239,264.529820577692,342.567420077196,258.907351453173,165.592522750459,35.0882221507279,376.813360469802,2817.37908390029,2209.46258799002,148.638128447089,471.862197426643,247.042761674805,118.040885151814,63.9722300479497,638.794062551165,106.157220381511,168.083608774788,327.234449434217,75.8887927551308,47.7525207793727,1001.33830585478,401.64019804459,37.8817212581281,37.3237284887602,132.241138082103,81.0808202723085,335.953928059064,281.118240949321,524.110016730275,162.114225378539,90.9156194109103,5.466620401186,146.287097261506,177.401416509832,30.7036645194307,109.395438118083,46.6826370709096,95.687210555991,1259.37766427296,80.6352858487107,233.937999961854,52.4363579978177,173.726333766466,275.318136477092,328.101485386948,140.029368913964,352.90844802088,32.429749229064,167.958677418521,248.274861363593,1098.85374982836,192.418655584697,136.360033490968,175.172808774753,392.067020939898,374.470325526553
FAS,8.22399689868067,14.7862389519159,9.77909930983664,10.2299655278675,11.107612424471,8.00153215072534,6.87459055597017,4.36459535047284,9.6094928182002,7.22367696819075,10.3443211506684,9.18489316918257,14.1514831445067,12.4291774267852,13.4730210085253,17.1835885583387,4.61016164312438,4.65559060329582,5.89080132176742,11.2559004813769,4.31252641394205,10.0736050820708,4.5196253532082,3.35222095386334,6.40920561798915,2.66768566936619,6.92862361672416,3.35906456375494,7.15371991466859,5.05752118911189,11.6099921226924,4.08254418932766,9.07637241192732,2.22211096876635,8.35938121019636,10.8827723959923,5.25345447041059,14.5413664626471,9.95361294286381,3.62202446740358,6.04832107840081,7.94786594539324,5.0766278821458,5.14463504604577,11.4193146428614,17.8962596517007,11.0217451237524,12.132543878162,4.30524122621068,13.0109648906054,6.50035178287545,5.38034431393327,13.4474867276952,8.57062404487863,11.5891940582352,15.6580487277835,7.94501772245536,9.81858299396519,10.2477983113938,2.00461502171305,0.398658679800474,1.47760171370678,5.69670214156219,9.97360455981701,12.3412973643364,8.13439420390421,4.753715421842,10.6434727912402,6.09823104374753,8.95106317477794,7.80816416119251,2.76801857288619,1.91519145937642,5.30822050670609,6.42419841757928,2.82031034612498,7.98687861613648,14.4809217048489,5.74875119791233,5.7374024312173
ARG1,0.0371133312708928,0.742552439681003,0.0978261074479013,0.166432428133755,0.611526713705433,0.477521375664133,0.15643139523669,0.0910806244119433,0.383516385798937,0.0998898275392998,0.283748407749232,0.848363545300448,0.850069376418189,0.284870445970027,0.259397986724445,0.408416724974876,0.849778796022441,0.455773429027966,0.371937939848856,0.382139607300471,0.836237876436832,0.236421202339743,1.10441417596128,0.298471841414304,0.219607146497351,0.732973257811576,2.59843336743306,0.29051550481899,0.299854610510759,1.40110351096348,1.47706021842291,1.1243930964488,0.374259968092761,0.290495099356489,0.3079608302943,0.381399915767384,0.451246199619736,0.465571852640555,0.693157246555234,0.0929804685592693,0.0961950508062346,0.428759663155389,0.68927455920618,0.883902575462385,0.110275184875078,0.357786809710633,0.231135421893147,0.498491457859787,151.423078362607,0.936148149852099,0.396965766406571,0.489121822269138,0.591156743993519,0.665447544776429,0.350108822300731,0.815027702117645,1.8448693536593,0.311864671196325,0.717135359106922,0.433922734368679,0.398455044165829,0.421084461479798,0.440377374909808,0.19824965891101,0.372224483248148,0.508312606745242,0.11078629961264,0.356246908644211,0.223749502831143,0.193029354545935,0.360600918707621,0.727815932738237,0.259954875729588,0.737043160844137,0.473154841926721,0.529187497285797,0.377350031633195,0.515901531612756,0.404139873591371,0.397204653170763
ATM,23.2775330990012,21.9981093342806,18.4135775579985,34.012370707039,25.0947451465181,15.3950913396145,14.8450426546376,10.8537158748907,21.4027921730955,15.9033809383314,18.8091973719576,26.2047950646434,25.6366609439952,19.6395692398552,22.5354647167771,23.8008422563093,23.5269326961062,20.9830624443154,25.4464536263191,20.6393592330131,12.7421544080338,19.8113355341066,14.4167439578136,8.38738662366839,19.6883476135616,8.27004159596524,22.5113654760022,8.66031931073974,21.1002555436495,11.9493180736601,16.2944212403834,11.6935379525944,16.812476760583,9.70656080762853,18.8621934999302,18.7141667170832,7.84177203274136,18.2888547900161,14.9609371769224,6.60733500424606,14.0196566366567,14.2256161495471,11.4633090497093,11.6231352200021,18.5653236760903,16.4221144477334,24.5049696738902,30.0478994241916,23.0167940747019,28.4154427544831,12.2560796605584,13.4369344551472,27.8454169408646,18.0446858966108,28.3174548672819,39.7419921613133,38.9767664722246,28.3403870716144,35.3716770020812,17.3999589449792,21.3178630641094,30.4492978129245,20.3753629354494,10.1369759318417,17.523553744045,13.9459932433252,9.32677216727621,14.8130822962008,18.9598421443545,15.9631730653744,14.5415480384877,13.6334953360035,9.62727278384595,17.0369787979122,30.0792318177656,16.1958166298062,9.39108890814011,20.6126043267198,11.5614774595025,11.2990556156985
BLM,4.56065471475133,4.42629860500609,2.62037683497709,10.2555317372385,1.93311788021453,3.88342891808354,1.17713878582616,4.34114242829323,1.81049079861988,2.65595286867157,0.990969335348279,3.98261352115376,2.43928014151039,7.22849091833134,6.92915056911812,3.76316781195728,4.45858176317652,3.43253375331436,5.33152129782962,0.279333414115067,1.46516624194231,2.08916934220219,2.14060377464043,3.75533041567053,1.33966836326414,1.7616899311036,1.58376935089666,3.04852777633149,0.0672777323272649,0.201192046906367,1.28639975893094,3.58572308656111,1.02775866322742,5.90533636511714,2.02399615461322,5.22891235214865,4.02685110507987,0.578544106578048,1.89361092153096,5.05177169895714,3.21421810315099,1.11707687911657,3.50344101350144,1.02515830383876,1.37414402427575,1.05858270239494,7.36562424853453,4.7606013502241,6.04647470735121,4.00694633186218,2.8024623699494,3.15886158395097,1.60993346438382,0.20731901683708,7.48309501112078,0.35367491642875,2.66131390042369,2.48671157920014,3.22185061463244,10.502714720372,4.88213323290734,3.91477295113792,0.820854182268668,2.51830034283103,1.02145519482766,0.280736008381819,1.60307775539489,1.19280677124029,1.96293546882593,2.55267404936501,1.7158081999246,20.8734950639779,2.86488403147698,5.68614205417981,1.1393496356215,1.81958534295127,1.49141028783481,1.25120247495203,3.54147874062692,4.53176757245283
BRCA2,5.91209095693995,3.05605612576761,1.58677317901398,4.47533533374771,1.89150000273976,4.80051392087731,1.02488965113083,3.6250423763358,1.53198016883763,3.73106018034169,1.0485934709564,2.28292565388075,3.51197545055517,5.283533091707,6.72157311629893,4.07037569729924,3.80227468680247,2.86884857736157,5.93882445353278,0.691133792223132,1.58119458459571,2.07481657055853,2.14907205663977,2.92195106427393,1.57322214837989,1.24214256790588,1.4961592016037,2.36081962534934,0.42421657605977,0.36294371005348,1.49086874781973,1.37421945874703,1.06210780843397,6.67839077521696,2.35595960471356,4.90732819117665,3.56193953049343,0.673143955606397,2.65798567492032,4.9494034664392,2.36143479765525,0.731116145797349,2.39093013671188,1.55141391057922,1.96223224858565,0.721819075415881,6.46485942608636,5.32007092197488,5.34802724138838,7.81423772741189,2.81206632137307,2.40838388034336,1.85557183004991,0.435799728078371,11.8811613732992,1.95434704201471,4.52632634869451,4.6684650742017,5.56902431821672,2.99918870902271,2.22045498482636,2.29936554569437,0.868451947898703,0.896910131303591,0.895503634080131,0.528131582328911,1.49123512129758,1.20204647741575,1.98131954284648,2.26127969829122,1.9474519442128,9.11627189784153,3.95624102441881,5.81769970688122,1.14319181220584,1.97336096079807,1.81852434753822,1.88160082765403,2.05138118212896,2.90254809096886
C2,40.0611962488382,10.2067163479593,11.5521388515805,35.4980328084949,65.8083146330054,40.7700798123541,57.2395061605147,34.6299212432243,102.737812249909,40.9412974179241,61.4996823349857,41.6068186724789,17.1506275942987,25.690584576691,28.7719542594535,19.9030858970486,26.0799996258748,16.7345445694471,27.6689180657218,4.68585666944291,17.7452792970874,89.2391152569738,29.0319772761074,51.1833679634013,58.67317794301,37.852134875751,55.5599514236113,59.1532829762756,3.00273229375529,14.5257930240651,74.0277680841527,101.709922973917,79.6308265819326,8.48621544375642,44.9034028879805,43.6085460327386,30.1393424318431,10.0091605917002,86.7124349885871,14.1630717497877,12.1594966980037,9.61163028993568,8.29956057931134,2.30319273006212,63.7584976123698,66.610908707697,32.6849810386749,42.4222915390029,77.5835036132078,33.3245277864026,64.665319967458,30.9136235853918,52.5515617624203,5.34472902514681,80.7757459469158,3.20602841926055,102.227257711156,138.867264091085,9.15972920589452,31.5266230147721,10.2680343888106,13.3672775303948,35.7880153949174,39.8838910659771,38.7576514826751,15.3352492752273,38.7441167855593,47.7222591987643,66.8810080740354,37.83633378974,58.5917508664728,2.13281539260386,17.5434047452795,48.9238813430093,51.8029427248267,128.000945784745,26.5429060445322,51.7818694925636,61.9892758086811,67.3619042911596
CD3G,1.93650188247258,0.289244212082895,0.508683636534855,1.01037653517015,3.13369452174621,1.42561432704547,1.46205928522961,0.705512548233003,2.53454838457734,1.41239866185255,4.23782249110433,2.12378364392364,1.41156582390618,1.92397569149133,0.734883818003258,0.84216338437973,3.85279687481805,8.99323843368363,1.00036096461207,0.193468099458135,0.558406658881521,1.93942288726042,0.414738237825566,0.852940151829747,4.46748770018159,1.57711866773732,4.72211027162118,1.27102513327672,0.191540492722405,0.331618804223134,1.38127305332884,1.92180340376903,2.23690282457755,0,2.46277840595279,1.2189034220349,0.191631750396133,0.473052540400868,0.639191844353961,0.0125039719335746,0.206980280322114,1.3136317353927,0.370773340955889,0.554711845530266,0.971349127293916,1.10893643391407,0.762569316086824,1.787650903403,1.75365249091852,2.45490931880128,1.244074158311,1.38343640870873,8.57487217398849,0.725091079840129,4.1903405634159,0.302717361160938,8.50936392942908,2.51636531164172,0.0890215783209364,0.303439425881384,0.00793837875406795,0.0587245561108202,3.15849348943986,1.17306313044109,3.99201245111437,1.10511538367651,0.57210209857959,2.95831439060452,1.40727368174701,0.772986488801067,0.477473975974769,0.055929349690506,0,1.26374475234235,11.6060485374793,0.872343917908528,0.723128560852099,3.51114060492815,1.68118181070778,0.877145380253792
CD40LG,1.10189721018429,0.100029174445,0.178344248081316,0.111459915231199,1.18191770695671,0.242512273153834,0.0916669393523852,0.199256078762111,0.285379106372036,0.45712463733601,0.886790380157966,0.815804651968598,0.115508534855585,0.642992315711804,0.0675573950306464,0.39356052984935,1.28046929118331,0.728394041605046,0.132091645140707,0.122941560232069,0.225299062933659,0.261686697100222,0.162810965464767,0.160325874048038,0.530347162447313,0.21210549237128,0.859634847575328,0.211852523276569,0.0146426033142909,0.175153069577897,0.461621195692862,0.141694838236032,0.389887814132631,0,0.641640491628297,0.333052594466799,0,0.606265722435999,0.676969854053336,0,0.105222426524444,0.393257847680954,0.151465013913035,0.069060854573114,0.247709802094186,0.173051724711167,0.228747521746159,0.908786892847693,0.342154724260479,1.00571477464875,0.242731015865939,0.43147033179162,1.14673929798579,0.213302895783683,0.506060373573403,0.0758089764581554,2.54939255373201,0.751301414289959,0.150852800556446,0.0847578559167762,0.0115303665488352,0.024370418996931,0.745494852360367,0.387239817014351,1.96307212959259,0.761210937054014,0.0865592740494003,0.626269369772348,0.416877033082597,0.0335149359284818,0.0866904019554622,0.108315299256632,0,0.107974634220586,1.10905246695675,0.0800251837844927,0.239549522308722,1.3144007352398,0.399964634436558,0.0653353567282135
