EOC1005_Pre_Extra,EOC136_Pre,EOC136_Post,EOC3_Pre,EOC3_Post,EOC372_Pre,EOC372_Post,EOC443_Pre,EOC443_Post,EOC443_Pre_Backup,EOC443_Post_Backup,EOC540_Pre_Extra,EOC87_Pre_Backup,EOC87_Post_Backup,EOC87_Pre,EOC87_Post,EOC1129_Pre_Backup,EOC1129_Post_Backup,EOC1129_Pre,EOC1129_Post,EOC1129_Pre_Extra,EOC1129_Pre_Extra,EOC1129_Post_Extra,EOC183_Pre,EOC183_Post,EOC183_Pre_Backup,EOC183_Post_Backup,EOC183_Pre_Extra,EOC183_Post_Extra,EOC183_Post_Extra,EOC218_Pre,EOC218_Post,EOC218_Post_Extra,EOC26_Pre,EOC26_Post,EOC26_Pre_Extra,EOC26_Pre_Backup,EOC26_Post_Backup,EOC26_Post_Extra,EOC26_Post_Extra,EOC376_Pre,EOC376_Post,EOC423_Pre,EOC423_Post,EOC568_Pre_Extra,EOC568_Post,EOC568_Pre,EOC587_Pre,EOC587_Post,EOC587_Pre_Extra,EOC649_Pre_Backup,EOC649_Pre,EOC649_Post,EOC649_Post_Backup,EOC677_Pre,EOC677_Post,EOC883_Pre,EOC883_Post,EOC883_Pre_Extra,EOC933_Pre_Extra,EOC933_Pre_Extra,EOC933_Pre,EOC933_Post,EOC868_Pre,EOC868_Post_Extra,EOC868_Post,EOC1133_Pre,EOC1133_Post,EOC167_Pre,EOC167_Pre_Extra,EOC167_Pre_Extra,EOC167_Pre_Extra,EOC167_Post,EOC740_Pre,EOC740_Post_Extra,EOC740_Post,EOC551_Pre,EOC551_Post,EOC60_Pre,EOC60_Post
A2M,352.003785725178,77.8572775688076,163.483413113783,95.2619988500777,350.544413326761,145.941755428975,218.579421353888,146.618307717262,743.563292735908,164.7360350127,264.999271458837,360.805118061551,101.297220006097,262.793896763489,158.315732364064,312.034162865367,139.881609569648,17.9113930245701,201.80544816485,181.609330627683,227.342413938726,196.261381245125,52.7236133641263,105.676106227771,192.814354806383,160.980116716541,283.034520557455,111.355817954848,107.656651011103,571.130089926244,321.77687051276,160.842043287275,320.224602532486,51.2538520668874,309.861079763911,121.224591881541,32.629089409897,174.898304228149,224.388701251616,9.57374575133692,85.0338385872155,109.635894061721,54.3366183730572,72.2086683611797,304.606257761829,383.917964215779,122.372142261878,375.388965177367,817.341654843619,296.799744777012,64.3629502643374,162.88927228375,267.338406713182,77.6373434415414,182.021138291287,159.299341474404,183.361929365841,393.50835539182,209.761818010345,69.6871408900374,17.9748200053392,38.1315298503059,732.696745704684,61.5070242098956,407.76684067299,827.038112315453,83.1097111151546,244.958151813404,385.567028744038,151.410714605782,124.010567691676,0.412015200423198,0.336357588563362,111.045275590419,189.332155096652,98.1624334171677,36.8151443462473,197.541226123698,186.335014974984,158.536517729251
APOE,312.607517332688,15.6007305596785,198.035988837491,36.6395341143663,163.286557611858,814.062641137642,1674.56683320593,649.183265553969,10648.9757566523,446.149722586561,3678.06813904644,359.917325252468,83.0299871551458,112.239417383306,154.639060973749,50.5459791707956,81.2972780509433,80.9279760941824,57.1895113074697,164.070926178546,116.936839826738,1255.1155888179,430.525905585989,346.681276805044,458.799373595782,422.516416729604,398.369864019618,394.325008250759,273.442427585435,85.8604428635679,599.32333737856,3550.23469680346,3423.03306580078,224.645227859317,685.771209383475,334.146982081979,150.062724335752,80.6310635283661,827.952319082007,150.587994921219,248.538134454737,508.659197997876,93.8167120056098,59.0420642478322,1670.59958941899,722.725893463656,92.2473429651644,83.4658726667965,341.225414927928,150.408224169018,361.767228586435,412.956650690191,558.218623627537,166.421531074949,203.924108682693,15.1050300758432,387.578631999257,496.157726280183,87.7357556952672,151.194305329022,51.2445097305651,135.372004484644,2556.78750133812,89.5277786097021,366.592315526529,98.641380462989,165.302228626391,397.185341046864,649.267664859431,280.295132099904,629.262153015656,39.6209847772648,262.623019569644,446.195843291832,1158.57452143774,236.000880908317,129.887662096445,297.532285705391,674.263743520935,623.048514863223
FAS,22.4443302911951,27.0874891502947,22.1147595799898,26.3006869708111,28.7852476354509,13.0458535395429,10.8680396046678,6.92747142459348,18.699667935991,11.1111332815591,14.3670148610657,24.4648199719519,27.9060091438416,31.2632838105675,36.1706536106853,48.6837828782929,9.91152785192325,5.90677455504025,17.7233078969131,15.8680829579069,5.22129725985845,15.2435610318719,5.44737946991611,5.27650694017106,7.62329169705087,4.26092221859909,8.0572602246166,5.11597354954621,11.8129158686775,12.3756913993437,18.4657444662672,5.14449408494912,14.0616650639072,3.35840224929162,12.1489345691971,14.7199032594718,6.67859859733975,18.3280439365663,12.9010543497791,5.13797742764653,8.94339696991608,12.3543078198772,6.27592716510463,6.36091808270554,19.0516054786555,32.2031766476647,26.8395064621639,27.1316238613177,11.1089313437887,24.1358698314719,6.99981173881172,7.90361009637379,14.3226370280321,8.79834186349757,25.9946099909954,43.265359510032,21.0498339069129,27.4606928705615,29.2830951332806,2.77055772044965,0.437615993397683,2.0904142220489,11.5654400165981,11.0734978064977,19.3394180429483,15.3021282205877,4.52320460836093,15.3547144572638,12.0675595993652,17.9172373229112,13.9225405872998,3.38182145550545,2.99462565344044,9.53985398425055,6.77334232005906,3.4591018427907,7.60777893888365,24.5959505022531,9.88650994919827,9.54596351237213
ARG1,0.101286986791555,1.36031084164089,0.221227004482964,0.427888753115903,1.58476432351238,0.778560132180508,0.247302378956859,0.144562868326273,0.746306719629218,0.153646016031514,0.394092326752009,2.25969546125809,1.67629382369255,0.716538616820387,0.696398730409613,1.15710819629067,1.82696548554035,0.578261948449673,1.1190278310909,0.538723934187098,1.01245676286498,0.357756830621511,1.33111986907173,0.469804575636101,0.261206994484215,1.17073089821348,3.02170459471915,0.442465338244522,0.495149003462595,3.42848285194549,2.34927089238723,1.41686981587604,0.579826177166686,0.439041707997442,0.447568532053246,0.515876805926227,0.573659151860837,0.586810145576327,0.898413406477047,0.13189627871619,0.142239559499191,0.666471842348928,0.85210833465878,1.09287283262787,0.183979457789889,0.643814520998022,0.56284740573134,1.11476066920111,390.721098542461,1.73659294893018,0.427466962467983,0.718509438667692,0.629628691393672,0.683128201693397,0.785295529989607,2.25203453864503,4.88786744486712,0.872225651926009,2.04921509050572,0.599720130180613,0.437392458290932,0.595722743683724,0.894053785439736,0.220112713505283,0.583294014789622,0.95621929421906,0.105414198470672,0.513936537989443,0.442769459105941,0.386384576687302,0.642978403486549,0.889207739103592,0.406469826181353,1.32460287315884,0.498869976679633,0.649046814850774,0.359438995034433,0.876262491726272,0.695026231537001,0.660874179834732
ATM,63.5273392821953,40.2991964256138,41.641037461704,87.4439618260853,65.0327384307756,25.1004561453008,23.4685266257017,17.2269822369252,41.6489313340132,24.4618614607659,26.1237073203368,69.7989167483642,50.5541989779642,49.399683179331,60.5003501227071,67.4314932991321,50.5812738769274,26.6222333306457,76.5592502393987,29.0964783359056,15.4272854260724,29.9788705112673,17.376102867262,13.2020246692511,23.4178813782862,13.2092039139525,26.1783493641925,13.1899711016097,34.842787601124,29.2398325943911,25.9163499570799,14.7352567515398,26.0469057870931,14.6700754856196,27.4129805663935,25.3125502981701,9.96906854213801,23.0514054509205,19.391136138309,9.37275228652738,20.7302742460708,22.1125572633479,14.1713937553074,14.3710506842404,30.9737697333284,29.550546470657,59.6730630705772,67.1951664207273,59.3908614396124,52.7118037203414,13.1977857730399,19.7385677621023,29.6575715458301,18.5241254903351,63.5161678641093,109.812634281379,103.266536228103,79.2626253385817,101.074606583932,24.0483035736822,23.4010653589309,43.0776741858675,41.3660451240892,11.2548858411756,27.4602678672576,26.2346981746208,8.87451079934638,21.3699657387493,37.5189171138637,31.9532947823387,25.9286675572526,16.656697137966,15.0533660277291,30.6186018194843,31.713985245012,19.8641185806508,8.94533795269981,35.0106578901512,19.8830420722177,18.7995131812353
BLM,12.4466049808939,8.10870944456984,5.92580174088252,26.3664163095722,5.00965236848759,6.3316179879313,1.86093860287274,6.89024702343454,3.52313877286395,4.08526660913803,1.37633692539497,10.6080627197496,4.81013708869121,18.1819243013536,18.6025023558757,10.6616405572051,9.58564162098491,4.35502275888278,16.04063494235,0.393792197739031,1.77391805869488,3.16136875669818,2.58001054156492,5.91101460006231,1.59343970519664,2.8138336746042,1.84175710817148,4.6430150932659,0.111095514123746,0.492314434564478,2.04602457769608,4.51844005933884,1.59226587814329,8.9250695443187,2.94153313892536,7.07256213538292,5.11924530678963,0.729201195213789,2.45434271517669,7.16612744956735,4.75272857901428,1.73640467993463,4.33109164949898,1.26752392233066,2.29257627450694,1.9048519872222,17.9363356162521,10.6459821192527,15.6018835801774,7.43304865554973,3.01779190572858,4.64029973756654,1.71470648133548,0.212827394526401,16.7846129215019,0.977252828560875,7.05098686183477,6.95485519407996,9.20644173379209,14.5156935566314,5.35922003676902,5.53836461966573,1.66649748775501,2.79601954891958,1.60067037052353,0.528110426998084,1.52534345187062,1.72079242690029,3.88437902562773,5.10965746274539,3.05941432714751,25.5021531106071,4.47958096971997,10.2190489001073,1.20127128750904,2.23171574772458,1.42062003472799,2.12517647491403,6.09051663547332,7.5400128214481
BRCA2,16.1348458400361,5.59850868220248,3.58837825959828,11.5058446073615,4.90180012595401,7.8268512013196,1.62024795923748,5.75365536974375,2.98116882792494,5.7389480631327,1.45636990199919,6.08078549230571,6.92543799369775,13.289744678726,18.0452248055357,11.5320083466637,8.17462691684816,3.63984792112659,17.8677922724608,0.974330607147288,1.91439684291833,3.13964988358927,2.59021712770948,4.59924786631774,1.87123522885567,1.98399418905878,1.7398757230336,3.59561137611345,0.700507537738101,0.888118740980204,2.3712334202341,1.73168091981152,1.64548165127434,10.0934304885723,3.42398538427992,6.63759137912329,4.52821367086164,0.848435532223166,3.4450623959279,7.02091427590752,3.49175391654114,1.13646027491167,2.95576192370336,1.91819569497923,3.27372314597871,1.29886734131412,15.7428460189571,11.8971062144984,13.7996605364634,14.4957292719444,3.02813378477758,3.53786412950035,1.97633077015881,0.447378740634876,26.649493880856,5.40013183316384,11.9922221921813,13.0568011349898,15.9134932162529,4.14514774301522,2.4374400037294,3.25299192185602,1.76313043250773,0.995821752511722,1.40329809963916,0.993502034393668,1.418924141275,1.7341220095258,3.92075857689932,4.52637683553942,3.4724524453361,11.1377879470643,6.18604516269905,10.4554823330622,1.2053222796435,2.42032106337752,1.73220752386253,3.19591264736143,3.52789671504328,4.82929662011096
C2,109.332084088402,18.6980826723119,26.1243663903061,91.2635185751622,170.541477393415,66.4723305497472,90.4899302495707,54.9644974126569,199.92345172524,62.9740524574486,85.4156437322583,110.82364374614,33.820170337051,64.6198866828967,77.2432842316995,56.3885424240865,56.0701907395208,21.2319317731719,83.2458484453039,6.60591860087993,21.4847097213746,135.038239911852,34.9914394724507,80.5643184017953,69.7875488652006,60.4587730726973,64.6103773924939,90.0925318140227,4.95840267516759,35.5444347289302,117.741496669771,128.166670795085,123.368892475782,12.8256983718988,65.2594360638756,58.984379671905,38.3154686547264,12.6156187290967,112.389525593466,20.0908479805802,17.9797342956839,14.9404934693882,10.26024339529,2.84770837065859,106.37256091214,119.862077413007,79.5925463666097,94.8676278388004,200.190830145026,61.8183564101874,69.6339338118097,45.4114482696342,55.9715699759135,5.48673619152614,181.180330752141,8.85870101506083,270.844807494526,388.385095010581,26.1739364477027,43.5726201027069,11.2714366875189,18.911149601683,72.6567995091811,44.282303111664,60.7351400957555,28.8481163835869,36.8653888674325,68.846106681988,132.348306452992,75.7365419841842,104.473473236357,2.60576317153077,27.4311634179949,87.9252630453979,54.618341690928,156.992760761706,25.2830387548873,87.9518807512618,106.607082290965,112.077597518444
CD3G,5.28495917437764,0.529877779066039,1.15035300980404,2.59762331571632,8.12093268789193,2.32434930762894,2.31136939529414,1.1197872025059,4.93212431248535,2.17248775763986,5.88582448489818,5.65689589970397,2.78353642419107,4.83940296468064,1.97292262873145,2.38598004217781,8.28324611773959,11.4101596282729,3.00972727061066,0.272742981069313,0.67607867826128,2.93476971825919,0.499872530477881,1.34255608225749,5.31375710523021,2.51902990292179,5.49131737737191,1.93581601045002,0.316290231231346,0.811467086311024,2.19692097732415,2.42170219956714,3.46554513986037,0,3.57922828975151,1.64867368370217,0.243617137373106,0.596238858778689,0.828467891134755,0.0177373527232646,0.306053000141753,2.04193313431608,0.458364594888942,0.685855571356118,1.62056663941812,1.99546031223191,1.85696401587556,3.9976671334176,4.52499734599643,4.55395677913461,1.33966363485723,2.03223833449575,9.13291711653986,0.744356439997878,9.39895113742114,0.836450038459562,22.5450343378971,7.03779099444388,0.254379259590659,0.419380496982435,0.00871412484024479,0.083079659517726,6.41237089234844,1.3024290189084,6.25567923254614,2.07890309661235,0.544360488399925,4.26778680544305,2.78480085540741,1.54727791512835,0.851371804261972,0.068331577189745,0,2.27118304438901,12.2368168941441,1.06992709441734,0.688805038834689,5.96369777321196,2.89124022344359,1.45940569714785
CD40LG,3.00721720071298,0.183247354942873,0.403313234054706,0.286557401616189,3.06292590876871,0.395396723716186,0.144916256351475,0.31625859466022,0.555335710842064,0.703128447477757,1.23164491751654,2.17297181089248,0.227776989659416,1.61732756431585,0.181369503762187,1.11501828151919,2.75292018491885,0.924148997970265,0.397416373352772,0.173317708340145,0.272775924604458,0.395989033317969,0.196231554927544,0.252358242116624,0.630810019371412,0.338782419349432,0.99966487548039,0.32265884888976,0.024179286177456,0.428597381146015,0.734210579111084,0.178552447534716,0.604037781396829,0,0.932514997668893,0.450482817473312,0,0.764141721246351,0.877432639830107,0,0.155587958765368,0.611287172709416,0.187247010702303,0.0853880663505688,0.413270810927733,0.31139553004458,0.55703253152526,2.03229136399172,0.88287116587613,1.86564187149849,0.261381456109519,0.633820638913908,1.22136805660532,0.218970262579686,1.13509550162294,0.209470712319973,6.75445816412787,2.10124591335793,0.431062046264589,0.11714295739354,0.0126571251729257,0.0344776741904787,1.51350303796858,0.429944784614125,3.07623027319327,1.43196248789167,0.082361957444418,0.903482118552445,0.824942250669347,0.0670864509799047,0.154575469321322,0.13233401198014,0,0.194050387161937,1.16932752093212,0.098150638307922,0.228179229737876,2.23251917819968,0.687845794947688,0.108705801775703
