EOC1005_Pre_Extra,EOC136_Pre,EOC136_Post,EOC3_Pre,EOC3_Post,EOC372_Pre,EOC372_Post,EOC443_Pre,EOC443_Post,EOC443_Pre_Backup,EOC443_Post_Backup,EOC540_Pre_Extra,EOC87_Pre_Backup,EOC87_Post_Backup,EOC87_Pre,EOC87_Post,EOC1129_Pre_Backup,EOC1129_Post_Backup,EOC1129_Pre,EOC1129_Post,EOC1129_Pre_Extra,EOC1129_Pre_Extra,EOC1129_Post_Extra,EOC183_Pre,EOC183_Post,EOC183_Pre_Backup,EOC183_Post_Backup,EOC183_Pre_Extra,EOC183_Post_Extra,EOC183_Post_Extra,EOC218_Pre,EOC218_Post,EOC218_Post_Extra,EOC26_Pre,EOC26_Post,EOC26_Pre_Extra,EOC26_Pre_Backup,EOC26_Post_Backup,EOC26_Post_Extra,EOC26_Post_Extra,EOC376_Pre,EOC376_Post,EOC423_Pre,EOC423_Post,EOC568_Pre_Extra,EOC568_Post,EOC568_Pre,EOC587_Pre,EOC587_Post,EOC587_Pre_Extra,EOC649_Pre_Backup,EOC649_Pre,EOC649_Post,EOC649_Post_Backup,EOC677_Pre,EOC677_Post,EOC883_Pre,EOC883_Post,EOC883_Pre_Extra,EOC933_Pre_Extra,EOC933_Pre_Extra,EOC933_Pre,EOC933_Post,EOC868_Pre,EOC868_Post_Extra,EOC868_Post,EOC1133_Pre,EOC1133_Post,EOC167_Pre,EOC167_Pre_Extra,EOC167_Pre_Extra,EOC167_Pre_Extra,EOC167_Post,EOC740_Pre,EOC740_Post_Extra,EOC740_Post,EOC551_Pre,EOC551_Post,EOC60_Pre,EOC60_Post
A2M,19753.6057399478,4034.53664845337,8377.41778943698,4199.10737422967,20682.4367552504,17320.6173751686,22033.2337093354,10043.4529062396,66439.1603918493,16868.592652121,26408.1205776081,20317.7066467394,5950.04070502285,11850.4651513211,7272.86803912835,17495.4242434771,7594.13156746996,1647.14645941374,10213.1759985255,22712.1018569807,45985.5159655778,22436.4415909769,7889.52048801612,7515.12315834278,29937.4343501442,21095.3768208747,42047.1008154751,8861.36210309962,8862.06675791277,56057.3249757892,37975.2928756637,15424.4195085231,33151.5134237372,3520.7564659486,27730.5281106894,10637.3065521751,3047.4980610569,20678.8513226683,23012.8846445653,651.485918412848,6270.8933099632,8936.37944747639,5208.97051328087,7377.74276846804,29873.7794015236,26571.8295260797,5230.03362930895,30728.2064249159,54764.5804826705,22810.6897082241,8429.74527750007,15665.0046077582,39081.0175819837,10894.5951094525,8654.16143993636,9125.28387200069,10003.8270935193,22881.1770523808,9338.77452694842,5931.57277358755,1419.55179481445,2860.64993733719,53440.8828633735,6174.3824307781,46109.0440755088,74448.5817723063,10645.8975169347,27813.2178147631,31180.4073632546,9674.17647323816,10448.433852918,29.380087054216,25.6959358159399,7857.42847293301,30623.2560928348,11239.4691611043,4844.9086153914,25805.9477363441,14499.3320490003,12249.8872220002
APOE,4437.06805231667,204.473491260496,2566.71840525862,408.493224925061,2436.72608995164,24436.5140144815,42694.2195874373,11247.5980089498,240664.291618932,11554.9612751072,92706.5052815069,5126.28058976028,1233.54502421205,1280.15675274826,1796.79471806153,716.814153841537,1116.32622163102,1882.34471018216,732.052013818361,5189.77374013165,5982.59460093967,36291.1288100082,16294.5494170106,6235.73013504912,18017.5466928523,14004.1341560288,14968.5850989036,7936.69182461038,5693.21621549571,2131.51344967483,17889.7850586877,86112.0515432797,89630.8228804827,3903.05163546732,15522.7257249499,7416.10914099549,3544.94038179869,2411.24214170828,21476.9708444545,2591.85749163166,4635.83838098718,10486.5677189774,2274.76807986531,1525.78496526037,41440.1524017153,12651.8566692754,997.179655405297,1728.07374954475,5782.75946273136,2923.77603774682,11984.0981308428,10044.7731645192,20639.8460899727,5906.73607803754,2452.27609358343,218.852555620091,5348.28395720965,7296.95700235508,987.956215434926,3254.99462170262,1023.60326024951,2568.6620577906,47167.3656704499,2273.12984182816,10484.6803463967,2245.88581376264,5355.58408408259,11406.4414844542,13280.1596380789,4529.7118570404,13409.7826564992,714.599536738029,5074.50429027199,7985.52539577567,47396.7525573402,6834.57845553391,4323.39192474785,9830.91162327099,13270.3065568668,12176.494192022
FAS,1009.80318359921,1125.36716272101,908.551893913171,929.470091496154,1361.63172633431,1241.33024724919,878.316858480189,380.452660226456,1339.58761989027,912.178089548425,1147.86388627787,1104.5237470895,1314.16888200369,1130.27924560432,1332.198766372,2188.45533331924,431.408938239875,435.496115938961,719.123942934152,1591.01644621965,846.739954634662,1397.12929565708,653.527863391288,300.840879965056,948.961929998001,447.66144589445,959.654879135948,326.397556470702,779.618793554538,973.862933895042,1747.20621924768,395.533212210713,1167.12252431142,184.958043919533,871.686541789844,1035.56398351103,500.09770679557,1737.35259181791,1060.7824295318,280.315022192771,528.77531533135,807.343389605258,482.356598830193,521.056733925059,1498.00742247556,1786.9515394644,919.660388907359,1780.58427784583,596.759652318396,1487.19831890166,735.014498047228,609.388968885995,1678.64372340979,989.856633767262,990.871893488549,1987.0269477225,920.739377823759,1280.16789515001,1045.22903951811,189.066879330992,27.7083660091081,125.731435676644,676.304939367642,891.219480320119,1753.26939027121,1104.36791142915,464.52359577038,1397.75843562009,782.406384510214,917.824147425407,940.463688063102,193.339927711615,183.415817720674,541.194176411844,878.336741844906,317.537389434692,802.690280083042,2576.06439961447,616.776144763126,591.362230054552
ARG1,1.78410456466291,22.1258628602776,3.55829723464688,5.9201916655806,29.3488403861054,29.0030431600279,7.82464907332017,3.1082733678632,20.9310565607854,4.9383191236187,12.3270284691875,39.9410534413447,30.905812153461,10.1420869495901,10.0416992440101,20.3640384614073,31.1326037905064,16.691488764211,17.776097465788,21.147208432943,64.2813054565581,12.8373289034341,62.5216186998885,10.4868280597841,12.7299771097293,48.1548168890444,140.901708444564,11.0518359978793,12.7937443044847,105.6250470602,87.025597127279,42.6487985340247,18.8414398543547,9.46635657855879,12.5724020450458,14.2087067955509,16.8174450072847,21.7774001759905,28.9210399482867,2.81723640394745,3.29249885013294,17.0513296243535,25.6402178780169,35.0486592326273,5.6635441303424,13.986575597746,7.55057790564334,28.6421063460456,8217.32760183562,41.8929103915962,17.5731116996739,21.6889300062754,28.8906041417708,30.0891728113197,11.7193600649148,40.4925433305894,83.70357980216,15.9191862609328,28.6364120415921,16.0226168924569,10.8424040905206,14.0278874515264,20.4682453276461,6.93556015813323,20.7028119884423,27.0181752031596,4.23835397600712,18.3162448566105,11.2389867388208,7.74898435912633,17.0042113279838,19.9026396173722,9.74673427501168,29.4193889782203,25.3268956702683,23.3262063328803,14.847450267432,35.9305525719423,16.9754902228383,16.028362868811
ATM,9987.41735298299,5850.3833245727,5977.93935420676,10798.429598019,10749.3989603635,8345.62566929802,6627.47776510218,3305.9595540593,10425.6596012293,7017.35147466217,7293.25013782868,11011.4411949061,8319.03839313379,6240.76416964777,7786.3335938054,10592.01520506,7693.0887723755,6858.68447402127,10854.7315161544,10194.1984181157,8742.2575420919,9601.25224236009,7284.35840512852,2630.2275627446,10186.2962290761,4849.36841190043,10895.1294016188,2940.52516450242,8035.27103223544,8040.17858222241,8568.67417868593,3958.77154134374,7554.37063493768,2823.15880423634,6872.91311795839,6222.57777016921,2608.47423349831,7635.39847281532,5571.43176718067,1786.83218920367,4282.88250425293,5049.41765528137,3805.96984126813,4113.54430526935,8510.18299885575,5729.83380320993,7144.86018618011,15409.4532141725,11148.3152747269,11349.4876402566,4842.5383457623,5317.98570895803,12146.0084722921,7282.35133759095,8460.20603086202,17622.9333223773,15783.7466749327,12911.7866564716,12606.6297010793,5734.49458581033,5177.4487384845,9053.70247149253,8452.53247676254,3165.21626716805,8699.0628123936,6616.07565287371,3184.69917757175,6797.61637240959,8500.13212431428,5719.61145529735,6120.20806181816,3327.53179507589,3221.7387112675,6069.58768856908,14370.4806033102,6371.81662022032,3297.98989065333,12813.1474867422,4334.40850356472,4069.51697258653
BLM,793.926531274996,477.613453466681,345.154831760748,1321.04848309098,335.966988630417,854.139621062821,213.221687247975,536.487983293189,357.821395491522,475.489584188429,155.900654169136,678.997908502861,321.151700203356,931.945100812335,971.367040203907,679.480083328957,591.519472019622,455.222420842119,922.741059360451,55.9779046754373,407.853800138162,410.794524909891,438.830984082237,477.806103473913,281.216767060383,419.125258108349,310.99926638665,419.969767919413,10.3949172473938,54.9250244713039,274.465344786034,492.524834683252,187.367651884972,696.869480436982,299.223168672091,705.420502084999,543.469012340672,97.9983007919571,286.111716631265,554.291262476661,398.392360866086,160.875588194987,471.940260317248,147.204368777034,255.567428881701,149.856167118707,871.336690311242,990.539511134076,1188.23824576672,649.340111069741,449.260420843836,507.241104985472,284.921130501602,33.9467590691812,907.078469024408,63.6311395194977,437.257506429194,459.666503284435,465.89239590744,1404.38237062385,481.081485201616,472.272210868054,138.160655961611,319.035767274128,205.734194135145,54.0363504063192,222.089748342773,222.084468886403,357.053963317921,371.090250975939,292.99564134372,2067.03128597565,388.983304248194,821.90417957903,220.85053024474,290.448891757799,212.50413195262,315.563983457928,538.68888973807,662.224465895611
BRCA2,2347.88160709639,752.279337249437,476.811829442682,1315.1282914254,749.940105655482,2408.70273444031,423.509131093454,1022.00028335342,690.724866505919,1523.82418671663,376.336927971076,887.920341888356,1054.82880610726,1553.99310038719,2149.59308483442,1676.63916665587,1150.79446154193,867.957415738974,2344.82885662349,315.964173056913,1004.11832316624,930.706345498972,1005.06451193028,848.122219335039,753.383190766705,674.167436446622,670.235153682249,741.946589990963,149.526886558665,226.037600708827,725.659594507465,430.615288424184,441.727089918761,1797.8795686509,794.575809246896,1510.30195173885,1096.67444021188,260.118946546553,916.177229790369,1238.87970863589,667.718766806961,240.20133905611,734.752493566921,508.205558873095,832.540987160333,233.109593295766,1744.68686806399,2525.27904284302,2397.60072701373,2888.86527908715,1028.4090585983,882.249701223007,749.163252227988,162.790140081756,3285.52259419887,802.138001215486,1696.55912494527,1968.67270093536,1837.13597251444,914.89142455929,499.152158685817,632.813589479967,333.461830129569,259.216560910229,411.468388270291,231.90600382712,471.304962131991,510.565325378019,822.175106816811,749.929486311003,758.649428479275,2059.44932802618,1225.43031839465,1918.38932295478,505.524837578556,718.597646706472,591.114113772136,1082.603170972,711.838890011021,967.606958448747
C2,3473.65158739869,548.568806777226,757.917310979786,2277.58230791551,5696.76438652403,4466.46864664429,5164.26838839131,2131.65387568058,10113.6871867757,3650.82878067525,4819.14301213058,3533.24703519588,1124.70281619334,1649.77947713332,2009.00929541828,1789.9989807577,1723.41199554589,1105.43177861161,2385.22907813665,467.726492399209,2460.42238126826,8740.08142842138,2964.46844892113,3243.70700424197,6134.69169624317,4485.53201762765,5434.23616082142,4058.9709674878,231.087006499755,1975.18838002574,7867.11398030602,6958.63299951925,7230.92591743792,498.804173562521,3306.54173784705,2930.33682501186,2026.0595590355,844.479184602297,6525.82608547413,774.035701984562,750.689737830311,689.466806549945,556.873482038179,164.728698393348,5906.36858493083,4696.82529120498,1925.90073779943,4396.563324118,7594.16265516685,2689.87395472707,5163.43864636504,2472.53802071539,4632.45893997359,435.90724713835,4877.01169101431,287.304236012277,8365.9854051517,12785.7597652392,659.738877419755,2099.76394375648,503.97100494827,803.226444446657,3000.3036276108,2516.74139238259,3888.24687657932,1470.23903397194,2673.55368806529,4425.66266347852,6059.54292710728,2739.69647008222,4983.54193535524,105.199666548967,1186.4433812946,3522.35892620484,5001.55535696459,10176.998085555,1883.77025268043,6504.99221345947,4696.55229498527,4902.9918417647
CD3G,173.058142772303,16.0221765539941,34.3968732682532,66.8135916544096,279.586321572898,160.966889538155,135.953277648938,44.7591364972301,257.152980603935,129.80724553512,342.256319850382,185.879517938566,95.404898386771,127.339536144853,52.8862826851197,78.0621474353947,262.403374805697,612.274156032651,88.8804873289401,19.903254995711,79.7974826357273,195.76926577737,43.6471677716203,55.711274067603,481.424588877034,192.619267556178,476.019285285688,89.8882661160849,15.1925713615756,46.4750207064879,151.290653467423,135.513117922627,209.349331715053,0,186.909710403015,84.4164344912143,13.2769302689089,41.1350892213153,49.5789256256344,0.704309100986863,13.1699954005318,97.1184426430568,25.6402178780169,40.8901024380651,92.7405351343568,80.5893165393934,46.3102111546125,190.947375640304,176.915472147489,204.227938159031,102.382476858969,114.041793258803,779.050084098785,60.9498628742118,260.755761444355,27.9591370615975,717.726964124491,238.787793913992,6.60840277882894,20.829401960194,0.401570521871132,3.63685970965498,272.909937701949,76.2911617394655,412.762314019568,109.19845811277,40.6881981696683,282.757029973925,131.409691100058,57.6868835623849,41.85652019196,2.84323423105317,0,93.7743023680772,1154.90644256424,71.4835355362459,52.8940415777265,454.599599931966,131.27712438995,65.8006475666977
CD40LG,67.7959734571907,3.81480394142716,8.30269354750939,5.07444999906908,72.5997630603659,18.8519780540181,5.86848680499012,8.70316543001697,19.9343395817004,28.9244405811952,49.3081138767499,49.1582196201166,5.37492385277583,29.2993622988158,3.34723308133669,25.1156474357357,60.0414501674053,34.141681563159,8.08004430263092,8.70767406062357,22.1659673988131,18.1862159465316,11.7965318301676,7.20969429110156,39.3472019755269,17.8351173663127,59.6610837558063,10.315046931354,0.799609019030296,16.900007529632,34.8102388509116,6.87883847322978,25.1219198058063,0,33.5264054534555,15.8803193597334,0,36.2956669599841,36.1512999353584,0,4.60949839018612,20.0167782546758,7.21131127819225,3.50486592326273,16.2826893747344,8.65835632241417,9.56406534714823,66.8315814741063,23.7647649153344,57.6027517884448,13.7528700258317,24.4875016199883,71.7283964899137,12.3442760251568,21.6808161200924,4.82054087268922,148.042898605313,49.0841576378762,7.70980324196709,4.00565422311423,0.401570521871132,1.03910277418714,44.3478648765667,17.3389003953331,139.743980921986,51.7848358060559,4.23835397600712,41.2115509273737,26.8006606848803,1.7219965242503,5.232065023995,3.79097897473755,0,5.51613543341631,75.980687010805,4.51474961281553,12.0635533422885,117.16484534329,21.5022876155952,3.37439218290757
