PJ_1_Pre,PJ_1_Post,PJ_2_Pre,PJ_2_Post,PJ_5_Pre,PJ_5_Post,PJ_6_Pre,PJ_6_Post,PJ_12_Pre,PJ_12_Post,PJ_17_Pre,PJ_17_Post,PJ_19_Pre,PJ_19_Post,PJ_20_Pre,PJ_20_Post,PJ_21_Pre,PJ_21_Post,PJ_22_Pre,PJ_22_Post,PJ_25_Pre,PJ_25_Post,PJ_27_Pre,PJ_27_Post,PJ_29_Pre,PJ_29_Post,PJ_37_Pre,PJ_37_Post,PJ_42_Pre,PJ_42_Post,PJ_43_Pre,PJ_43_Post,PJ_44_Pre,PJ_44_Post,PJ_45_Pre,PJ_45_Post,PJ_47_Pre,PJ_47_Post,PJ_49_Pre,PJ_49_Post
A2M,30.1154,86.2266,25.258,68.7988,62.1897,87.5393,21.7785,25.8717,10.9029,36.885,4.88119,132.012,36.3489,79.6744,109.221,155.949,22.901,97.3991,50.001,16.6724,91.5855,119.439,32.3436,39.3215,46.12,129.395,33.1855,87.9901,20.2315,74.0832,22.6458,63.5309,109.064,46.1092,49.9351,46.7991,16.3807,28.8561,41.1993,101.03
APOE,45.2306,60.7965,17.1136,55.8698,118.838,89.0494,35.0986,34.7592,29.2401,194.426,10.2657,80.668,32.3972,91.4998,85.23,226.564,24.9238,228.276,12.5818,18.9856,26.98,37.2338,14.3462,27.0458,44.6326,187.076,42.1909,114.744,25.0135,177.132,31.2506,96.4211,68.7194,23.6917,36.7304,46.4002,9.79623,54.8413,68.6821,37.1434
FAS,8.24595,12.9719,2.77753,5.44497,4.9295,4.00411,3.51006,5.34399,2.82565,5.95119,0.279979,4.64067,5.51279,5.73752,4.85606,5.12537,3.87298,6.88314,5.77448,3.33181,7.69325,12.4099,4.00936,5.91927,2.59284,8.38973,1.53928,2.74,2.52172,6.11836,1.96803,6.13719,10.915,4.79292,5.29559,7.26855,5.45184,5.15353,7.17992,8.26039
ARG1,2.05905,1.39847,0.65571,1.02914,1.28319,0.531896,0.590713,2.0112,0.525712,1.93428,1.5524,1.96267,1.01429,0.950945,0.692282,0.837822,0.457284,0.255293,0.99311,0.685513,0.631737,1.09931,1.08212,1.99772,0.482788,1.34479,2.05265,1.99868,1.11512,0.76006,1.65169,2.83481,0.863256,1.53679,0.612264,0.883281,0.579035,2.03209,0.984913,2.70943
ATM,13.2741,13.0763,16.459,12.8314,16.3102,11.4336,11.4274,16.4849,14.8481,14.0279,10.3463,17.9418,19.1291,14.9022,24.9125,11.8471,9.43537,10.7973,18.7087,12.8609,17.099,22.3334,14.901,17.0058,12.0254,34.6532,14.5179,16.0471,12.1682,13.4667,18.1834,22.4606,20.1943,13.9933,14.5792,16.8748,18.3743,18.0777,12.8091,19.8465
BLM,1.83875,0.968187,2.46461,2.12104,7.75155,3.01083,3.37499,1.73057,8.01407,2.04765,3.62696,2.23267,11.1493,1.98659,4.10102,1.54789,2.93578,2.04032,1.99632,3.15901,5.05853,3.15757,6.40536,2.10038,3.88057,4.91782,8.59784,7.57118,3.9744,1.70061,8.05522,5.28623,5.32838,1.17794,3.56382,1.64369,5.33035,0.73879,5.03212,2.67362
BRCA2,1.33016,2.31159,3.81271,3.62656,10.3543,2.02719,7.76371,6.89373,9.48449,5.35275,3.08489,5.7656,9.45268,2.34574,8.28617,3.10257,12.1701,6.1691,3.21403,2.46608,11.0233,7.66363,6.22587,3.23186,7.19309,11.2048,8.17274,11.1539,2.14247,1.82217,20.1188,17.6293,11.9906,2.99778,4.68487,3.23359,9.06851,3.58491,8.50116,5.53725
C2,7.91023,6.46824,7.64434,9.762,15.3686,20.9832,3.03836,1.58554,2.66681,8.13273,2.40746,5.60759,14.1736,11.4125,7.60578,7.14897,3.98921,12.4344,11.3547,3.32287,10.9457,7.91919,7.29199,1.66097,12.5982,15.7328,4.51446,7.17019,11.7166,10.9686,6.25485,7.40005,8.59017,5.65441,7.41117,5.3482,2.1686,1.6486,9.3799,7.71133
CD3G,0.293861,0.252243,0.0327696,0.517232,0.216332,0.325773,0.0978981,0.0251279,0.077525,0.181752,0.0418538,0.764966,0.539815,1.56045,1.12622,0.793745,0.0725829,0.73327,0.302947,0.0329208,0.776661,1.05851,0.325905,0.0941721,0.494618,2.86659,0.0416426,0.63321,0.0690996,0.269808,0.0497695,0.340057,0.585071,0.260001,0.0842598,0.137264,0.0449412,0.0963838,0.254535,0.942252
CD40LG,0.144019,0.138458,0.0345912,0.241493,0.105396,0.200077,0.112734,0.0928362,0.137826,0.222799,0.0803278,0.8767,0.270665,1.31601,1.77706,0.496874,0.0139304,0.502873,0.337888,0.0347508,0.861875,0.884936,0.17054,0.172305,0.0591071,1.91173,0.0293049,0.269099,0.0972541,0.173046,0.017512,0.291048,0.703769,0.0152474,0.0889435,0.107329,0.0379514,0.12209,0.0767666,0.851258
CDKN1C,0.852945,3.3503,1.86426,1.10095,0.315567,3.8969,4.46379,4.67754,2.52022,3.28552,1.5962,2.87588,0.741636,1.91715,1.74342,2.74322,9.92342,1.90874,3.30933,4.15342,0.847767,1.33054,0.728734,6.71562,1.43023,0.490194,1.79424,0.541033,1.56173,3.44708,4.11545,5.37798,1.843,1.0174,1.76089,1.936,1.82273,1.81283,2.88483,2.91725
