BB24_06_S10-016752C1,BB24_04_S10-016783A2,BB24_07_S10-017623A2,BB24_01_S10-018931A6,BB24_25_S11-011709,BB24_09_S11-012085C1,BB24_08_S11-003355A1,BB24_26_S12-011538,BB24_10_S12-003590C5,BB24_11_S12-008138A2,BB24_12_S13-003620D2,BB24_14_S13-008160A2,BB24_20_S13-019142C2,BB24_21_S13-021353A4,BB24_18_S13-009885J1,BB24_22_S14-012409D2,BB24_02_S14-002474B2,BB24_15_S16-023867D1,BB24_16_S16-007066C1,BB24_19_S17-018143A2,BB24_03_S21-024801A2,BB24_24_S21-028943A10,BB24_17_S21-032280A2,BB24_23_S22-009274B7
A2M,89.601311231687,218.232869715821,447.003510381957,178.117551397922,101.154152761717,61.4381906758287,165.583697021229,417.369098601306,311.147737676529,112.577329120796,236.194312116454,139.406575775326,290.998365381801,154.995061172626,79.1280295793844,230.626857338729,139.129061902771,79.1604793587056,190.580821161217,90.7580234657887,172.441732614798,285.004244297368,365.786786325349,265.747524352913
ABCF1,29.4479218695895,30.6111874456696,25.5748697991343,27.3995821020033,36.5644890595496,25.3023193082944,36.8724169641094,25.2870108758325,29.7726570862187,32.6286928618229,41.9725961440096,34.4198214745276,27.731013989343,25.1452127427672,38.5520186899569,29.3667160127859,25.8779379755656,55.1908793512094,24.488798894937,45.012114295355,32.7504158689499,24.5830284539192,25.5142893951745,24.702131813035
ACVR1C,0.76873517546536,0.352591201620128,0.296677365159212,0.0893724186056699,0.336358510295313,0.430572681485636,0.338146626611021,0.0649967350464695,0.142167936339583,0.145392123165716,6.16164126726043,0.218577133944768,1.91081455631237,0.182971185451094,0.115349210155725,0.0610411951071441,0.38136839138523,0.0276317425461102,0.0636603270379979,0.264798306277615,9.51261941682186,0.0795276982790222,0.517762446140222,0.105670089789927
ADAM12,2.8485220023602,4.13782406761674,8.67235518692525,1.18433293846545,2.38537973445199,1.43472082335161,8.0521908198527,0.566971834008817,7.33033265688089,6.81626254526468,3.2595655337153,0.678723241867173,18.1228264293451,5.26659667160366,6.62107236257741,2.94437144874782,4.76255108645598,2.88625333486226,1.3179314693217,7.08403036874814,4.26022918090329,3.53438278956405,34.6797648243341,3.33797990137778
ADGRE1,0.749050755288991,0.24452478750655,0.224702977296361,0.371218799153168,0.164164046054994,2.34073030031984,0.673066580060313,0.219744280827319,0.816195767801034,0.421327812237671,2.12239569631052,0.170533092882931,0.469262428001704,0.126793445903251,0.38491384402448,0.521358794312665,0.304482006617465,0.280256418547463,0.813386890357645,0.283189313263765,0.422828516428402,0.387593697008998,0.388995048187618,0.357254835481263
ADM,4.9398594603004,1.62722887664589,3.8208215050505,2.61616790088399,3.15131426376931,0.851621972563079,1.96590822624756,3.27817480604179,4.74311544139144,6.81537271075743,49.4500486172677,1.59625767524276,2.80569866972654,3.9651150484636,3.48442890692684,7.9302047170155,3.74072063089688,2.00027517726589,6.59324250861199,1.08488961379414,5.38471825362316,6.56355002852913,5.18863674577946,4.80706836750114
ADORA2A,3.36084852808024,0.843950997946689,0.885125065295247,0.886426675403448,0.582530015638747,0.420630632480051,0.478268183677402,1.23243858569974,1.51179637866191,0.827057832296318,0.96252896266132,1.35372623526172,0.861631874523018,0.584811353529823,0.856525624280818,0.427360775234122,0.613017352192142,0.280509714751313,1.20540997442072,0.375194504632805,0.411108766443204,0.822528062406483,0.724990262661824,0.826127842743969
AKT1,23.2262266149248,24.572897537601,31.7436467997261,31.1562028703622,33.8304463117215,45.6437360383967,30.2890888937883,30.6413723137564,30.6912832348836,41.1468050729978,22.9512175381504,29.693016250927,31.6264193894048,29.5354609606959,28.8537459145813,34.4653284926662,25.1615217955009,48.2782166300251,29.3457010997226,38.0009868736406,38.6840357890948,29.8291854077012,32.6019235602142,29.002815965768
ALDOA,126.635564230941,201.05018567584,195.608530532461,180.025421234142,284.510593983983,200.19604429307,221.768539497368,187.50798508474,164.226126220261,241.974627135089,174.253098721442,540.964560476286,199.002819656662,170.166933906106,327.42693072454,175.823175211872,163.017479266849,136.774838101155,143.134239759312,235.750258900117,262.020862654581,178.604191388323,202.977952936549,161.022951107371
ALDOC,9.27789404292458,6.78599190133034,6.18088117424419,4.52684639404674,6.84211471567942,2.55432398539153,3.44132250129334,6.87362199326047,4.00220656918571,4.94290496264557,8.69763111619483,11.802553543277,3.8336230630873,5.91279815995571,4.42621943741492,4.52807709061888,6.77033442851411,0.699794500683634,6.05388547607446,3.54054814259837,14.2050769069949,7.48321110461705,4.24421382933276,5.52688084368602
ANGPT1,0.456996468993426,7.5866193302467,9.29214219009002,3.51900251053246,3.18863997959757,0.489342591724781,1.36634838641678,7.79336916482756,1.97754634236263,4.87213235443042,5.75354342319064,1.18848407908755,3.88668521009417,6.41466250447368,0.797967860065817,2.90677482502823,2.4858600506093,2.83571493287792,3.53323851303193,2.33720816727614,3.59257974995809,4.26247989485918,3.40581341592068,4.13120803367025
ANGPT2,8.69406921115275,5.31968324220106,6.73823495922772,4.10792836269545,3.70479609081362,1.54725997593544,4.92788400289703,4.94432820830386,4.55485329323814,5.24410645335633,13.619393873639,4.18652341739316,4.32445224985179,5.05061324898209,4.96670649380718,5.91394701405673,3.71901845663629,7.04030222018598,4.74344042238818,2.79555014881784,3.49666862791774,5.56145789986023,6.09376024670657,4.53757309091343
ANGPTL4,2.18073339986123,2.01840746456452,3.8369114263918,2.68538699133415,2.58534443619208,0.974891645073929,5.95137829687105,7.92370002388783,2.5935738098563,5.39976048896324,30.5506782341842,6.60431183212638,8.52981892236795,2.56393158992695,3.13323003475948,11.292664954132,3.91940559649584,2.08723393140541,5.24590327583675,3.38132654373428,9.05032415484376,3.09468355535503,4.50012205795009,2.00438368325474
ANLN,1.99758794097978,3.18055001486802,1.96831159732568,1.17068234060705,5.76415411391969,4.41584368330766,17.046310562245,0.663879275813761,1.13441443762593,2.55064296604725,0.795180870692302,1.18772486053025,3.72110921400446,1.540751970322,19.5769448871937,1.23242586476796,1.37631530575238,2.46123307499683,0.60104457211315,4.38290691152696,16.075924020089,2.15786331357655,2.63390653200613,0.909593659392734
APC,18.3475030548038,17.470417918233,16.8941984160881,17.1410190282516,15.9653454030471,9.50540807607608,13.4691680056443,20.1393859373751,13.6505877146899,14.2203884489288,10.174373504357,13.550372227338,13.1399773130531,15.2685185255021,12.4959374827147,13.3634184115136,16.3813862438247,9.15642421781918,18.3672600859014,15.8381953385117,15.9831443620072,17.1083449380948,12.3039806017949,16.7279700594379
APH1B,2.27239885372779,1.72103731978848,1.10019171752425,2.10859029501897,1.74095919731717,2.767257167205,0.873640519528876,1.52273873306798,1.67385232518271,1.33845037289213,0.793682661623794,1.37172803088576,1.44966442670823,2.08740510770508,1.71874110211272,1.29635943045014,1.57885176476924,1.28556974686203,2.66064636008722,0.729844148653711,2.32272496938843,2.13616817669649,1.13319980698499,2.66397323025493
API5,23.3140487616092,20.74348482897,17.2542089781486,21.5959382793496,21.6370173328514,23.5696525338385,19.2257167224654,18.9952173188584,20.8474983233336,17.7044468336787,16.8851125445271,19.7149711284989,14.4129181533128,18.1551503017456,21.7429236613933,17.9613496732376,15.9682958557847,15.421936274045,19.9865958181125,28.829123698579,15.8205859366331,24.2467884938221,19.2094530375383,22.0776694431309
APLNR,2.69580661081333,0.400919959219244,1.19874954334921,1.02324582069282,0.43677560101773,0.395605408375534,1.8919720912781,0.504406185601234,0.687766524816573,0.281345675712806,1.58412758470309,0.193180979242579,2.15431200724006,0.173183596379031,0.828583230964116,0.722706156548315,0.216498969793323,0.594850264800643,0.111989046252836,1.9367742941414,2.41028597196358,0.218597464252417,3.50669470489133,1.08204150932239
APOE,119.716426673997,83.6305406278433,42.6450523654589,15.0416616516334,44.7325906626009,72.0232556517653,84.3877343404067,12.7897659847734,316.822223856521,86.6015649982748,31.8276418758669,170.329746481745,247.178631299561,34.6703856124379,70.7808240780581,68.5437184163928,44.6747698903225,37.2180661177964,22.212081276132,32.7426577094134,45.9348178067796,34.3081783517944,349.466965117135,142.357122756922
APOL6,5.05500648161272,8.09261907766183,2.95943610207175,2.28494329230253,2.82775219767629,2.63932662062787,4.15197368820379,2.11290808325051,7.77187970067167,4.75729960750744,6.12104260348842,10.5815112457849,4.77153403256477,3.28524034343252,6.50875955454929,2.69584232002773,3.5495562320265,3.06478522538758,2.97280013689346,2.25425554922972,5.12733561308617,3.80598057760207,4.62499128466187,3.43279024288964
AQP9,0.0677738470111468,0.567862581400617,0.76005699449549,1.9647529240534,0.655256172519725,8.60310348905369,1.01139814532282,2.35109198980948,6.7424231914797,1.50437329309662,29.1946797842028,1.1032288294259,2.3539102317732,1.03058830887154,2.52876668468442,5.52407979445263,1.80703815152466,0.288230266802818,2.9794577214302,0.190931699419753,10.8612063830289,3.11390467663921,1.4711984083434,2.74971968502688
AREG,4.31091646083909,2.89711484896841,1.33026981045102,9.14747707671653,1.01604773237035,8.04583909972376,2.40143726051407,1.82634768248383,15.3569151837961,9.544150459832,35.3460929460027,4.64405558049506,50.9077861935421,11.3004401786382,1.52969844329911,16.0879294889497,7.7334573164635,7.83034097410713,13.5976165205593,0.294004903442004,15.3954993470832,10.5033070100926,18.3801286093633,12.8371861397729
