BB24_06_S10-016752C1,BB24_04_S10-016783A2,BB24_07_S10-017623A2,BB24_01_S10-018931A6,BB24_25_S11-011709,BB24_09_S11-012085C1,BB24_08_S11-003355A1,BB24_26_S12-011538,BB24_10_S12-003590C5,BB24_11_S12-008138A2,BB24_12_S13-003620D2,BB24_14_S13-008160A2,BB24_20_S13-019142C2,BB24_21_S13-021353A4,BB24_18_S13-009885J1,BB24_22_S14-012409D2,BB24_02_S14-002474B2,BB24_15_S16-023867D1,BB24_16_S16-007066C1,BB24_19_S17-018143A2,BB24_03_S21-024801A2,BB24_24_S21-028943A10,BB24_17_S21-032280A2,BB24_23_S22-009274B7
A2M,717.226671516469,1682.08393974992,3914.34064512093,1501.28366322818,601.162666816394,440.393322102701,1148.4140557554,4315.35414893932,2788.03042778595,1021.3061797648,2157.4312991389,1143.46511243106,2692.45436761743,1335.2386434603,506.492482616775,2553.98317578362,1323.68546692799,667.021284795419,1835.32878108974,510.342059484096,978.428899660841,2100.62367712522,3271.30577867024,2152.16581004528
ABCF1,264.29311594237,284.876123198918,215.540012698527,270.679203758156,265.712133203722,180.318525585358,317.509040719627,325.052650179845,349.202207889022,389.470951669459,469.046634887099,360.621432764453,304.6246505641,255.990847036042,234.002605950607,353.666093819581,207.560147181016,424.769773402058,318.463349628491,383.141999340779,201.346112409545,223.426176394034,265.663367376086,258.915379178036
ACVR1C,26.5275618232119,14.9012125980972,13.4014515667478,5.37773252499648,15.0069975563564,14.7375718026494,18.2971311601141,0.934059339597256,8.38085298933652,7.2347545201757,328.882308446228,3.85005088360626,88.7152491116502,2.40366992522106,4.61847248586725,2.44751622020471,15.6649167683786,3.31851385470358,3.91954891850451,13.1054607420387,304.849334853006,1.04404755324315,27.3476995828324,2.18493990867541
ADAM12,110.040256451842,162.160254743999,299.299084990701,9.85917629582688,61.7935193497028,32.9428075588634,230.328592250848,12.1427714147643,273.774530984993,215.836843185242,151.157606946038,19.2502544180313,606.042725859104,187.486254167242,160.876791591042,105.243197468803,150.122119030295,69.6887909487751,28.4167296591577,201.978277318479,87.3308439366701,89.788089578911,1356.96680787197,93.9524160730426
ADGRE1,17.6850412154746,3.50616767014052,6.70072578337391,8.9628875416608,1.76552912427722,27.7413116285166,18.2971311601141,5.60435603758354,26.0737648557136,14.4695090403514,62.2952561959428,3.85005088360626,17.1017347685109,2.40366992522106,4.61847248586725,13.4613392111259,6.52704865349108,1.65925692735179,14.6983084443919,6.93818509872638,2.42585677601862,9.39642797918837,9.11589986094414,5.46234977168852
ADM,140.497827434048,57.8517665573186,148.532754864788,81.5622766291132,73.2694586575047,27.7413116285166,67.807015475717,119.559595468449,155.511383246578,248.393238526032,1930.23683536546,52.6173620759522,86.5775322655863,121.385331223663,84.6719955742329,326.743415397329,139.678841184709,61.3925063120162,217.534964977,25.4400120286634,123.718695576949,177.488084051336,175.806640175351,139.836154155226
ADORA2A,234.818047249912,59.6048503923889,65.8904702031768,62.7402127916256,34.4278179234058,24.273647674952,39.8231678190719,99.0102899973092,133.16244194168,67.5243755216399,87.0301373325672,97.5346223846919,70.5446559201074,38.4587188035369,46.9544702729837,39.1602595232754,46.9947503051358,19.9110831282215,91.1295123552299,23.1272836624213,25.8758056108652,53.2464252154007,57.2999419830774,54.6234977168852
AKT1,167.02538925726,180.567635012237,214.423225067965,218.694456016523,230.401550718177,250.53872064504,219.565573921369,229.778597540925,242.113530803055,356.914556328668,200.627369219286,171.968939467746,231.942277797929,195.899098905516,160.876791591042,309.610801855896,224.530473680093,322.725472369923,215.575190517748,228.189198802557,211.858158438959,183.752369370795,210.967968210421,194.459651872111
ALDOA,2040.65725580782,3111.72380724971,3588.23865699673,3116.39599823546,3945.95759275959,2885.09640936573,3437.70805443556,3977.22466800512,3184.72413594788,4297.44418498437,3444.56122495213,9382.57400334846,3767.72594118755,2969.73419261061,3971.11659243152,3846.27174005171,3168.22941640457,2331.25598292926,2699.58931761998,3210.06697234407,3344.44787520433,2756.28554056192,3731.00758594356,2593.52367159771
ALDOC,170.955398416254,159.530628991394,156.350268278725,94.1103191874384,116.524922202297,44.2127154079483,78.5700338051959,153.18573169395,109.882294749079,101.28656328246,229.94278389973,257.953409201619,86.5775322655863,103.357806784505,78.5140322597432,137.060908331464,172.314084452165,10.7851700277866,150.902633362424,72.46548880892,216.709871990996,153.474990326743,80.7408273397909,122.356634885823
