BB24_06_S10-016752C1,BB24_04_S10-016783A2,BB24_07_S10-017623A2,BB24_01_S10-018931A6,BB24_25_S11-011709,BB24_09_S11-012085C1,BB24_08_S11-003355A1,BB24_26_S12-011538,BB24_10_S12-003590C5,BB24_11_S12-008138A2,BB24_12_S13-003620D2,BB24_14_S13-008160A2,BB24_20_S13-019142C2,BB24_21_S13-021353A4,BB24_18_S13-009885J1,BB24_22_S14-012409D2,BB24_02_S14-002474B2,BB24_15_S16-023867D1,BB24_16_S16-007066C1,BB24_19_S17-018143A2,BB24_03_S21-024801A2,BB24_24_S21-028943A10,BB24_17_S21-032280A2,BB24_23_S22-009274B7
A2M,13655.7993252156,33053.5191683322,77106.3683769141,27905.0540722067,13132.8883909361,8309.38974872911,27170.1634709365,74959.1960620194,56246.6980291005,19447.0201502323,45076.1144980172,22163.4595866267,50009.7478968179,24386.4332263302,9073.75894390052,45745.3019137362,24302.8129564087,12376.397421117,33606.2124272577,11557.4745555673,20403.0727241672,42863.3722983976,64676.0072419899,42919.8670960654
ABCF1,3203.93996687014,3309.82228061265,3149.34111818574,3064.41125049383,3388.93315405013,2442.96925528624,4319.19925561988,3242.11996774208,3842.15549266694,4023.72930563772,5718.33807610404,3906.51829656582,3402.17636051063,2824.31216213474,3155.95619867595,4158.33005812781,3226.97285428599,6159.99134279352,3082.7252244038,4091.98738933774,2766.28534358656,2639.35221459869,3220.51719373069,2848.0691709584
ACVR1C,224.993024352426,102.55540435161,98.277311489484,26.8886626249824,83.862633403168,111.832162502458,106.553881461841,22.4174241503342,49.3539120483151,48.2316968011714,2258.20303710293,66.7342153158419,630.626469588839,55.2844082800843,25.4015986722699,23.2514040919448,127.930153608425,8.29628463675894,21.5575190517748,64.7563942547796,2161.43838743259,22.9690461713493,175.806640175351,32.7740986301311
ADAM12,748.666744788423,1080.77618432082,2579.77942659896,319.97508523729,534.07256009386,334.629571518981,2278.53098035068,175.603155844284,2285.17924842576,2030.55443532931,1072.76095596249,186.085792707636,5371.01357573545,1428.98177054392,1309.33694974336,1007.15292461424,1434.64529403734,778.191498927989,400.773876917086,1555.69528102554,869.265344740004,916.673751747487,10574.4438386952,929.691931141387
ADGRE1,75.6526763106412,24.5431736909837,25.6861155029333,38.5404164291414,14.1242329942178,209.793669190657,73.1885246404565,26.1536615087232,97.7766182089261,48.2316968011714,268.419265667812,17.9669041234959,53.4429211515965,13.2201845887158,29.2503257438259,68.530454165732,35.2460627288518,29.0369962286563,95.0490612737344,23.8981931178353,33.1533759389211,38.6297594699966,45.5794993047207,38.2364484018197
ADM,243.66056785765,79.7653144956969,213.306437437403,132.65073561658,132.414684320792,37.2773875008192,104.401277795945,190.54810527784,277.499354535809,381.030404729254,3054.29976701873,82.1344188502669,156.053329762662,201.908273718569,129.317229604283,509.08337380258,211.476376373111,101.214672568459,376.276696176433,44.7127484140145,206.197825961582,319.478551292404,296.917881185038,251.268089497672
ADORA2A,280.995654868096,70.1233534028105,83.7590722921739,76.1845441041168,41.4899344205147,31.2089755820812,43.0520733179156,121.427714147643,149.924147920353,78.3765073019035,100.771737964025,118.068227097259,81.2332401504267,50.4770684296422,53.8821790017846,46.5028081838895,58.7434378814197,24.0592254466009,116.606580325509,26.2109214840774,26.6844245362048,67.8630909608049,70.3226560701405,73.1954869406262
AKT1,2295.1253488527,2413.11989897422,3550.26787755761,3164.79559096043,2847.79847745916,4002.55111840191,3222.44768784598,3568.10667726152,3597.24834420078,4608.53862935192,2839.93079716798,3060.79045246698,3524.02622073627,3013.00025126459,2145.28046968534,4432.45187479073,2849.70944211421,4893.9783072241,3355.13387423986,3137.60148353515,2967.63145599611,2908.71648333542,3737.5189429871,3037.06647305882
ALDOA,6493.35763294841,10245.0219321506,11352.146264666,9489.00904035628,12427.5595057874,9109.55320601414,12242.9333497822,11330.1397893147,9988.11435151373,14063.1569948015,11188.4112341331,28935.6990908901,11506.2609239387,9007.75304476591,12632.2919942612,11733.3927596614,9580.40201359421,7194.53803699736,8491.70273194002,10100.4556848348,10430.3755179547,9037.27562087272,12074.6605015249,8749.59186429068
ALDOC,493.216149453791,358.505644271869,371.890280977252,247.375696149838,309.850361310652,120.501322386369,196.963235429464,430.601355554335,252.3567955678,297.830727747233,578.979439938763,654.508650213064,229.804560951865,324.495439904843,177.041445291578,313.282076186203,412.509474900636,38.1629093290911,372.357147257929,157.265528904465,586.248720871165,392.561880019425,261.756553149967,311.353936986246
ANGPT1,63.8626488336582,1053.60338487723,1469.69252182001,505.506857349669,379.588761719603,60.68411918738,205.573650093047,1283.39753260663,327.784472471828,771.707148818742,1006.80127293149,173.252289762282,612.455876397296,925.412921210107,83.9022501599217,528.663503564218,398.149967862956,406.517947201188,571.274254872032,272.901947216571,389.754322013657,587.798772475894,552.163077291473,611.783174429115
ANGPT2,1515.01853079232,921.245555329422,1328.97728036916,735.853067170351,549.962322212355,239.268812795956,924.543274502237,1015.32250214222,941.449152468803,1035.77568880515,2971.85016322998,761.026724659504,849.742446310384,908.587231733559,651.204620507282,1341.23888867218,742.778136767285,1258.54637939633,956.369936115101,407.040192458615,473.04207132363,956.347558770727,1231.94875263616,837.92445497702
ANGPTL4,126.742795377568,116.580075032172,252.394004507084,160.435686995728,128.000861510099,50.2811273266863,372.40043419997,542.688476306006,178.791530439179,355.708763908639,2223.3909821699,400.405291895051,559.012955245699,153.834875214148,137.014683747395,854.183160851445,261.081946139643,124.444269551384,352.759402665406,164.203714003191,408.352557296467,177.488084051336,303.429238228569,123.449104840161
ANLN,312.435728140051,494.369641489814,348.437740735443,188.220638374877,768.005169060591,612.909603792538,2870.49698847202,122.361773487241,210.452530621117,452.172157510981,155.738140489857,193.785894474848,656.279071741605,248.779837260379,2303.84802503345,250.870412570983,246.722439101963,394.903148709726,108.7674824885,572.785725372634,1952.00608576965,333.051169484565,477.933606995214,150.760853698603
APC,6558.20278407182,6205.91677614873,6834.74029904139,6298.22107552504,4861.38444369733,3015.1338076244,5183.46962747703,8483.12692222228,5787.44459208072,5761.27618289992,4553.96644926517,5052.55010958595,5296.19348612321,5634.20230471816,3360.70847888273,6216.69119931997,6711.11142551953,3357.50639249634,7596.08580406174,4730.30041842057,4435.27480548737,6034.59485774542,5102.2993793113,6336.32573515869
APH1B,301.628202952816,227.024356641599,165.284569323223,287.708690087312,196.85649735691,325.96041163507,124.851012621955,238.1851315973,263.531266220248,201.36733414489,131.919366061997,189.935843591242,216.978259875482,286.036721101306,171.653227391399,223.947734148731,240.195390448472,175.051605835614,408.612974754095,80.9454928184745,239.351201900503,279.804744269165,174.504368766645,374.717194337833
API5,2871.85419293512,2539.34193509927,2405.56055623123,2734.57698896071,2270.47045382051,2576.47431749848,2549.75904225355,2757.3431704911,3045.97445867997,2471.87446106003,2604.49137301567,2533.33348141292,2001.9718263388,2308.72496317482,2015.19349466674,2879.50283307084,2254.44260491582,1948.79726117468,2848.53217652315,2967.23049388865,1512.92600931028,2947.34624280542,2745.18812955289,2881.93573954287
APLNR,326.190760196531,48.2098054644322,164.167781692661,127.273003091583,45.0209926690692,42.478883431166,246.473119745067,71.9225691489887,98.7078240966301,38.5853574409371,240.019957696133,24.383655596173,293.936066333781,21.6330293269895,75.4350506024984,113.809504239519,30.024423806059,73.8369332671546,15.678195674018,195.811001675167,226.413299095071,26.1011888310788,492.258592490983,138.743684200889
APOE,4614.81325494911,3203.7607085909,1860.56819251682,596.032021520443,1468.92023139865,2463.77523900763,3502.28616441243,580.984909229493,14485.8387891243,3783.77661405189,1536.310950597,6849.24052193554,10744.164868317,1379.70653707689,2052.91101996799,3438.76028938762,1973.7795128157,1471.76089456104,990.665989152015,1054.60413500641,1374.65217307722,1305.05944155394,15628.5591758844,5815.2175669396
APOL6,1682.04392004958,2676.08247423475,1114.55405530119,781.563793632821,801.550222421859,779.357473563638,1487.44913313398,828.510634222766,3067.39219409717,1794.21912100357,2550.4410771986,3672.94854296037,1790.33785857848,1128.52302989129,1629.55104209683,1167.46523703765,1353.70989073405,1046.1614926953,1144.50828420332,626.749387251617,1324.51779970616,1249.72492123205,1785.41410133634,1210.45670940618
AQP9,5.89501373849152,49.0863473819673,74.8247712476753,175.672595816552,48.5520509176236,664.057647107616,94.7145612994143,240.987309616092,695.610798114931,148.312467663602,3179.80638611938,100.101322973763,230.873419374897,92.5412921210107,165.49526407691,625.340394262304,180.146542836354,25.7184823739527,299.845492265595,13.8763701974528,733.417365282961,267.276173630247,148.458940592519,253.453029406348
AREG,175.867909864997,117.456616949708,61.4233196809275,383.611586783082,35.3105824855444,291.283772099424,105.477579628893,87.8015779221421,743.102298387838,441.320025730718,1805.64632297358,197.635945358455,2341.86880486296,475.926645193769,46.9544702729837,854.183160851445,361.598495403406,327.703243151978,641.826135405114,10.0218229203826,487.597211979742,422.839259063476,869.917301015812,554.974736803554
ARG1,202.395471688209,222.641647053923,106.09482490342,150.576510699901,66.2073421603958,71.0871110480738,127.003616287851,175.603155844284,199.278059968668,151.92984492369,272.083692502868,89.8345206174794,149.64017922447,181.47707935419,207.831261864026,198.248813836582,234.973751525679,141.866467288578,216.555077747374,60.9018469777094,77.6274168325957,167.047608518904,48.1840421221333,216.309050958866
ARG2,751.614251657669,1344.61530149889,900.130830233229,803.074723732807,759.177523439205,1077.57657357019,759.86909406121,849.993999033503,992.665476292526,934.489125522695,1156.12666646,882.945002640369,988.694041304535,2033.50475673701,482.630374773127,953.307567769735,1753.1652683277,1835.96779011475,925.013544767065,892.713149369461,815.087876742255,717.260669078045,811.315087624028,801.872946483875
ARID1A,13418.0337710965,8348.18522260459,9739.50492613398,8573.00193359855,7633.26516881257,7439.87301237279,10210.8754891766,9647.89891870006,8541.02040202162,10328.8178699708,7006.38410862604,10514.4889631287,7181.65974435154,8350.34932021795,7535.03786069242,9983.41866221502,9572.56955521002,7686.50771595716,9843.94710882408,11102.637976873,7124.74135116667,7586.04952186474,6771.81132527279,7753.25926593469
ARNT2,467.671089920328,816.060525225207,819.722120832742,703.586672020372,2375.519436715,2325.06868086505,1060.15730545367,451.150661025475,405.074561151265,1541.00271279742,249.181024783771,483.823061039853,514.120901478358,894.165212182233,101.606394689079,845.616854080728,1182.70121601258,1616.94587570432,931.872755374447,532.698433691103,663.067518778421,644.177340351025,619.881190544201,785.48589716881
ATF3,136.567818275054,2020.42911991848,1790.2105717914,3221.26178247289,957.799549920393,6597.2306716566,561.829556798798,5902.32096691506,3289.95040125844,1490.35943115619,8060.82293041325,1661.93863142337,1571.22188185694,3089.91768887167,327.141801082263,3260.09160531268,3020.71811683567,1641.00510115092,9251.11533490027,420.916562656067,9424.45357483232,3182.25694228513,2565.47467515142,3396.48908803592
ATM,61838.6941167761,18029.5907017801,12566.0944190872,12168.9124153129,10684.0994955636,11796.1258540383,14019.9076759792,13834.352878775,18412.7340175723,19951.0413818045,8134.11146711436,14213.1045119798,15990.1220085577,16043.2949158879,13466.6960233746,13149.2808930498,17136.1135348755,11239.806425881,16618.8874144591,10065.7647593412,10245.201784052,14428.7371858204,15155.834654524,18349.1253530561
AXIN1,1627.02379182366,1049.22067528955,1425.02101659752,1120.3609427076,1660.48014138273,2814.00929831765,1865.23107649869,1408.56148411266,1516.93439106991,1578.38227781833,1967.79721042478,2653.96840909925,1282.63010763832,1282.35790510543,1241.59935328398,2311.67906998335,1216.64186901074,1918.10100801867,1303.25001540275,1624.30622255739,996.218516018311,1010.63803153937,1239.7623810884,1221.38140894955
AXL,734.911712731943,3017.05728015592,5438.75576083849,4170.43157313477,2290.7740387497,1544.84429131302,5392.27218306893,5784.62949012581,6562.2078906505,3201.37887517775,8055.32629016066,1179.39892067805,5835.96698975434,5318.11970955159,1243.90858952691,7144.29984677756,4358.76309080135,1382.99064894772,5327.64686747726,1715.27353829624,1771.68406541893,4224.21640042179,6952.82705108296,3765.74393260207
B2M,39476.9420020982,21917.0541060484,20679.5565551224,9889.65011346852,14901.0658088998,17834.1957131826,18824.5190582586,13983.8023731105,49731.0504328352,29919.3273181866,29375.8777232221,43585.1427030119,28280.9250150018,11793.6064880971,25810.3334872691,14809.9206484587,13873.8946178606,20243.7641421555,14537.6069387332,9471.39356921693,18248.1032881374,17332.2334313896,46036.5965691766,23149.438332416
BAD,150.322850331534,182.320718847307,320.518049971385,243.790541133174,197.739261919049,276.546200296775,153.911162111548,308.239582067095,212.314942396525,254.422200626179,137.41600631458,278.487013914186,158.191046608726,231.954147783832,197.82457147798,274.121816662928,236.279161256377,199.940459745891,308.66447733223,187.330997665612,180.322020350717,256.835698097815,257.849738923848,285.134658082141
BAMBI,101.197735844104,879.171543287736,299.299084990701,97.6954742041027,1037.24836051287,51.1480433150775,79.6463356381438,259.668496408037,52.1475297114272,748.797092838185,355.44940300038,184.802442413101,96.1972580728737,817.247774575159,26.9410895008923,68.530454165732,545.661267431855,46.4591939658501,168.540603495694,71.694579353506,37.1964705656188,152.4309427735,105.483984105211,181.350012420059
BATF3,103.162740423602,38.5678443715458,55.8393815281159,16.1331975749894,14.1242329942178,31.2089755820812,89.3330521346748,61.6479164134189,164.823442123618,66.3185831016106,197.879049092995,37.2171585415272,129.331869186864,21.6330293269895,43.8754886157389,130.942117780952,46.9947503051358,59.7332493846644,28.4167296591577,27.7527403949055,21.024092058828,35.4976168102672,98.9726270616792,24.0343389954295
BAX,898.007092830209,390.061153303133,470.167592466736,488.477371020513,437.851222820751,474.203045649955,468.191297332332,389.502744612056,690.954768676411,690.91905667678,392.093671350934,411.95544454587,715.066285008361,413.431227138022,459.538012343791,583.732618518824,486.917829550435,339.318041643441,517.380457242595,470.254767802566,330.725140463871,453.116638107528,592.533490961369,458.837380821836
BBC3,48.1426121976808,30.6789671137296,70.3576207254261,46.6070152166361,34.4278179234058,18.205235756214,27.9838476566451,76.592865846975,69.8404415778044,44.6143195410835,36.6442683505546,48.767311192346,27.7903189988302,60.0917481305264,28.4805803295147,48.9503244040942,66.575896265609,22.3999685192491,69.5719933034551,34.6909254936319,33.1533759389211,33.4095217037809,36.4635994437765,28.4042188127803
BBS1,666.136552449542,1307.80054096242,1330.09406799972,1692.19316786556,1380.64377518479,992.618806707859,840.591731532302,1785.92145730995,1059.71230020722,1143.09121418776,540.50295817068,1234.58298334307,719.341718700489,1597.23866530939,690.461636637154,1516.23629841682,1817.13034513192,1163.1391060736,1863.74551074889,1088.52415104463,739.886316685678,1485.679668265,851.685501293924,1433.32058009107
