BB24_06_S10-016752C1,BB24_04_S10-016783A2,BB24_07_S10-017623A2,BB24_01_S10-018931A6,BB24_25_S11-011709,BB24_09_S11-012085C1,BB24_08_S11-003355A1,BB24_26_S12-011538,BB24_10_S12-003590C5,BB24_11_S12-008138A2,BB24_12_S13-003620D2,BB24_14_S13-008160A2,BB24_20_S13-019142C2,BB24_21_S13-021353A4,BB24_18_S13-009885J1,BB24_22_S14-012409D2,BB24_02_S14-002474B2,BB24_15_S16-023867D1,BB24_16_S16-007066C1,BB24_19_S17-018143A2,BB24_03_S21-024801A2,BB24_24_S21-028943A10,BB24_17_S21-032280A2,BB24_23_S22-009274B7
A2M,13655.7993252156,33053.5191683322,77106.3683769141,27905.0540722067,13132.8883909361,8309.38974872911,27170.1634709365,74959.1960620194,56246.6980291005,19447.0201502323,45076.1144980172,22163.4595866267,50009.7478968179,24386.4332263302,9073.75894390052,45745.3019137362,24302.8129564087,12376.397421117,33606.2124272577,11557.4745555673,20403.0727241672,42863.3722983976,64676.0072419899,42919.8670960654
ABCF1,3333.63026911696,3476.36524494433,3325.79356381458,3180.03249978125,3501.92701800387,2526.19319017179,4520.46769838114,3387.83322471925,4020.94702310612,4239.56614882296,6034.39489062758,4060.52033191007,3548.60996446601,2957.71584298451,3317.60273568131,4349.23632330377,3414.95185550653,6452.85019047111,3225.78875992921,4250.79473715303,2893.23851486487,2740.62482726327,3328.60572065332,2963.87098611819
ACVR1C,224.010522062678,102.55540435161,98.277311489484,26.8886626249824,83.862633403168,111.832162502458,105.477579628893,21.4833648107369,49.3539120483151,48.2316968011714,2242.62922305394,65.4508650213064,626.351035896711,54.0825733174738,24.6318532579587,23.2514040919448,129.235563339123,8.29628463675894,21.5575190517748,64.7563942547796,2150.11772247783,22.9690461713493,174.504368766645,32.7740986301311
ADAM12,593.431383008147,799.406228792039,1915.29078641438,110.243516762428,375.17493890891,196.78992936479,1642.43659707848,107.416824053684,1672.44577431649,1473.47833727578,848.314812315339,123.2016282754,4052.04228171405,1007.13769866762,977.576676175234,695.094606538138,1014.30336075251,465.421568122177,159.721618429059,1157.13509257648,642.043426719593,629.56067460562,7920.41470775175,644.557273059246
ADGRE1,67.7926579926525,24.5431736909837,22.3357526112464,36.7478389208093,13.2414684320792,197.656845353181,66.7307136427691,25.2196021691259,89.3957652195896,45.8201119611128,241.85217111366,16.6835538289605,48.0986290364368,10.8165146634948,24.6318532579587,63.6354217253225,26.1081946139643,21.5703400555733,81.3306400589686,23.8981931178353,30.7275191629025,34.453569257024,42.9749564873081,33.8665685844689
ADM,243.66056785765,79.7653144956969,213.306437437403,132.65073561658,132.414684320792,37.2773875008192,104.401277795945,190.54810527784,277.499354535809,381.030404729254,3054.29976701873,82.1344188502669,156.053329762662,201.908273718569,129.317229604283,509.08337380258,211.476376373111,101.214672568459,376.276696176433,44.7127484140145,206.197825961582,319.478551292404,296.917881185038,251.268089497672
ADORA2A,234.818047249912,59.6048503923889,65.8904702031768,62.7402127916256,34.4278179234058,24.273647674952,39.8231678190719,99.0102899973092,133.16244194168,67.5243755216399,87.0301373325672,97.5346223846919,70.5446559201074,38.4587188035369,46.9544702729837,39.1602595232754,46.9947503051358,19.9110831282215,91.1295123552299,23.1272836624213,25.8758056108652,53.2464252154007,58.6022133917837,54.6234977168852
AKT1,2294.14284656295,2412.24335705668,3550.26787755761,3161.21043594376,2847.79847745916,4003.4180343903,3221.37138601303,3568.10667726152,3596.31713831307,4608.53862935192,2839.93079716798,3059.50710217244,3522.95736231324,3013.00025126459,2145.28046968534,4432.45187479073,2849.70944211421,4893.14867876042,3353.17409978061,3136.83057407974,2968.44007492145,2907.67243578218,3736.21667157839,3037.06647305882
ALDOA,6488.44512149967,10274.8243573468,11381.1827430606,9506.93481543961,12473.4632630186,9141.62909758461,12263.3830846082,11352.5572134651,10041.1930871129,14105.3597295026,11249.7903836203,28999.8666056169,11535.1201013606,9017.36772446679,12652.3053750333,11749.3016150927,9590.8452914398,7203.66395009779,8497.58205531778,10130.5211535959,10465.1461317443,9066.50895236353,12086.3809442032,8751.77680419935
ALDOC,493.216149453791,358.505644271869,371.890280977252,247.375696149838,309.850361310652,120.501322386369,196.963235429464,430.601355554335,252.3567955678,297.830727747233,578.979439938763,654.508650213064,229.804560951865,324.495439904843,177.041445291578,313.282076186203,412.509474900636,38.1629093290911,372.357147257929,157.265528904465,586.248720871165,392.561880019425,261.756553149967,311.353936986246
ANGPT1,46.1776076181836,880.924627122806,1210.59779152955,430.218601999718,320.443536056316,56.3495392454243,171.131991438714,1054.5529944053,273.774530984993,620.983096315081,830.908784848825,151.43533475518,502.363458825007,802.825755023833,67.7375964593863,428.315338535825,323.741613213158,332.681013934034,461.526885153906,229.731017713385,327.490664762513,478.173779385363,449.283636003675,516.738288401734
ANGPT2,1514.03602850257,921.245555329422,1328.97728036916,735.853067170351,549.962322212355,239.268812795956,923.466972669289,1015.32250214222,941.449152468803,1035.77568880515,2971.85016322998,761.026724659504,849.742446310384,908.587231733559,651.204620507282,1340.01513056208,738.861907575191,1256.88712246898,956.369936115101,407.040192458615,473.04207132363,956.347558770727,1231.94875263616,835.739515068344
ANGPTL4,144.427836593042,132.357829547805,280.313695271142,182.84290584988,144.773388190732,62.4179511641623,421.910318515573,602.46827404023,199.278059968668,405.146253129839,2498.22299479906,462.006106032751,614.59359324336,182.6789143168,157.028064519486,955.75508398994,300.24423806059,141.036838824902,406.653200294843,212.771009694276,457.678311742179,200.457130222685,320.358766541751,138.743684200889
ANLN,312.435728140051,488.233848067068,345.087377843756,184.635483358212,755.646465190651,594.704368036324,2816.68189682463,121.427714147643,208.590118845709,442.525818150747,155.738140489857,191.219193885778,649.865921203413,245.174332372548,2259.2027910034,250.870412570983,238.889980717774,388.266121000319,106.807708029248,567.389359184735,1924.5130423081,326.786884165106,475.329064177801,149.668383744266
APC,6336.15726658864,6029.73185072417,6580.11271927318,6105.51899337933,4737.79740499792,2911.97080500585,5008.03242870653,8177.68951817398,5597.47859098909,5573.17256537535,4412.88601611554,4913.94827777612,5170.06819220544,5464.74357499007,3265.26004750814,6008.65232060257,6455.25111830268,3270.39540381038,7359.93298172184,4596.93308263394,4292.95787462761,5858.15082124732,4952.53816731008,6147.32843305827
APH1B,367.455856365972,258.579865672864,203.255348762342,301.153021399803,223.339434221069,350.234059310022,151.758558445652,264.338793106024,284.017795749738,226.688974965505,140.164326440871,215.602849481951,256.526021527663,324.495439904843,181.659917777445,259.4367193417,270.219814254531,212.384886701029,472.305644679794,94.0509535605132,262.80115073535,299.641647780785,225.292953706191,435.895511780744
API5,2869.88918835562,2535.83576742913,2405.56055623123,2734.57698896071,2269.58768925837,2575.60740151009,2549.75904225355,2757.3431704911,3043.18084101686,2470.66866864,2601.74305288938,2533.33348141292,2001.9718263388,2308.72496317482,2013.65400383812,2878.27907496074,2254.44260491582,1947.13800424732,2848.53217652315,2967.23049388865,1512.92600931028,2946.30219525217,2745.18812955289,2880.84326958853
