# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "32" "-O" "-s" "1" "-t" "exon" "-a" "/scratch/Shares/clauset/Clauset_ABNexus/Counting/gtf_counts/data/PanCancer_IO_360_Probe_Exon_hg38.gtf" "-F" "GTF" "-o" "/scratch/Shares/clauset/Clauset_ABNexus/Counting/gtf_counts/out/RNAMatch4.18_str_gtf_matchedexons.txt" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_01_S10-018931A6_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_02_S14-002474B2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_03_S21-024801A2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_04_S10-016783A2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_05_S22-010607B2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_06_S10-016752C1_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_07_S10-017623A2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_08_S11-003355A1_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_09_S11-012085C1_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_10_S12-003590C5_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_11_S12-008138A2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_12_S13-003620D2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_14_S13-008160A2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_15_S16-023867D1_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_16_S16-007066C1_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_17_S21-032280A2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_18_S13-009885J1_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_19_S17-018143A2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_20_S13-019142C2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_21_S13-021353A4_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_22_S14-012409D2_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_23_S22-009274B7_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_24_S21-028943A10_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_25_S11-011709_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_26_S12-011538_T_RSQ1.sorted.bam" "/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_27_S22-003884_T_RSQ1.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_01_S10-018931A6_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_02_S14-002474B2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_03_S21-024801A2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_04_S10-016783A2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_05_S22-010607B2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_06_S10-016752C1_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_07_S10-017623A2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_08_S11-003355A1_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_09_S11-012085C1_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_10_S12-003590C5_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_11_S12-008138A2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_12_S13-003620D2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_14_S13-008160A2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_15_S16-023867D1_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_16_S16-007066C1_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_17_S21-032280A2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_18_S13-009885J1_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_19_S17-018143A2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_20_S13-019142C2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_21_S13-021353A4_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_22_S14-012409D2_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_23_S22-009274B7_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_24_S21-028943A10_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_25_S11-011709_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_26_S12-011538_T_RSQ1.sorted.bam	/scratch/Shares/clauset/Clauset_ABNexus/RNAseq_flow_out/RNA_Matched_4.18/mapped/bams/BB24_27_S22-003884_T_RSQ1.sorted.bam
A2M:NM_000014.4	chr12	9099380	9099523	-	144	1675	1014	1210	1919	2115	730	3505	1067	508	2994	847	2355	891	804	1873	2512	658	662	2519	1111	2087	1970	2012	681	4620	3224
ADORA2A:NM_000675.5	chr22	24440582	24442357	+	1776	70	36	32	68	111	239	59	37	28	143	56	95	76	24	93	44	61	30	66	32	32	50	51	39	106	74
ALDOC:NM_005165.2	chr17	28575122	28575334	-	213	105	132	268	182	167	174	140	73	51	118	84	251	201	13	154	62	102	94	81	86	112	112	147	132	164	205
ANGPT1:NM_001199859.1	chr8	107249481	107252015	-	2535	94	51	89	156	131	14	187	29	4	58	116	179	19	79	106	62	21	42	90	92	75	74	92	61	219	152
ANGPT2:NM_001147.2	chr8	6499631	6503261	-	3631	139	88	101	139	162	272	184	129	50	191	136	359	93	250	195	141	126	81	144	137	167	123	153	112	178	191
ANLN:NM_018685.2	chr7	36396265	36396419	+	155	6	7	101	13	13	15	12	115	35	8	18	0	9	26	1	11	110	41	32	6	12	3	11	46	2	9
APC:NM_001127510.2	chr5	112767188	112767390	+	203	234	161	183	223	181	241	197	128	99	222	144	216	148	113	280	123	156	228	157	152	175	173	228	192	319	271
ADM:NM_001124.2	chr11	10306331	10307397	+	1067	91	107	153	66	214	143	133	63	32	167	206	2107	41	74	222	135	110	33	81	101	267	128	170	83	128	236
AKT1:NM_005163.2	chr14	104769348	104770420	-	1073	244	172	262	206	159	170	192	204	289	260	296	219	134	389	220	162	209	296	217	163	253	178	176	261	246	258
APLNR:NM_005161.4	chr11	57233590	57237250	-	3661	142	23	280	55	331	332	147	229	49	106	32	262	19	89	16	378	98	254	275	18	93	127	25	51	77	21
ACVR1C:NM_145259.2	chr2	157526766	157534043	-	7278	6	12	377	17	161	27	12	17	17	9	6	359	3	4	4	21	6	17	83	2	2	2	1	17	1	11
API5:NM_001142930.1	chr11	43335857	43335994	+	138	416	287	293	440	312	384	351	452	440	452	362	413	290	346	390	316	344	548	286	293	360	372	363	317	469	410
ANGPTL4:NM_001039667.2	chr19;chr19	8371240;8373704	8371522;8374370	+;+	950	46	59	147	51	90	37	61	81	19	44	98	611	78	47	120	77	55	48	161	46	201	26	38	40	178	67
APOE:NM_000041.2	chr19;chr19	44906586;44907759	44906667;44907952	+;+	276	348	607	939	1899	2778	2417	837	1660	1579	8023	1594	994	2705	866	550	6727	1311	737	5081	573	1440	3024	721	907	271	213
APH1B:NM_001145646.1	chr15;chr15	63302344;63305613	63302472;63309126	+;+	3643	164	84	132	118	107	135	68	45	169	102	75	62	71	106	196	68	97	48	77	111	78	161	133	103	123	168
AQP9:NM_001320635.1	chr15	58174917	58175036	+	120	43	40	168	11	12	1	10	17	113	107	18	554	14	9	53	22	27	3	36	11	85	37	54	8	50	59
ARG2:NM_001172.3	chr14	67645642	67645802	+	161	54	155	43	171	35	32	32	33	45	75	60	41	26	217	54	22	30	44	36	208	71	49	51	60	64	255
ARG1:NM_000045.3	chr6	131583354	131583491	+	138	7	4	2	8	8	8	2	6	2	11	3	44	1	5	11	2	14	1	4	2	8	6	6	2	6	60
ARNT2:NM_014862.3	chr15	80552639	80552774	+	136	75	103	72	92	30	61	78	99	287	39	139	44	28	187	81	54	9	70	61	76	83	93	75	297	51	75
ATF3:NM_001674.3	chr1	212619045	212620777	+	1733	1597	994	5064	1069	620	53	765	199	3693	1495	539	3424	576	877	4453	786	184	249	660	1073	1125	1328	1400	503	2717	5279
ADGRE1:NM_001256252.1	chr19;chr19	6913652;6916248	6913830;6916368	+;+	300	10	5	3	4	15	18	6	17	32	28	12	68	3	2	15	7	6	9	16	2	11	5	9	2	6	1
AXL:NM_001699.4	chr19;chr19	41242882;41243615	41243015;41243707	+;+	227	592	420	324	390	523	103	686	740	254	1039	298	1179	93	241	678	780	231	329	757	547	733	497	561	300	797	2574
ALDOA:NM_000034.3	chr16;chr16	30069829;30070116	30070029;30070420	+;+	506	3477	2427	4136	3550	2216	2077	3213	3194	3328	3420	3564	3760	7311	2810	2755	2865	5159	4164	3525	2471	3143	2374	2640	4470	4258	3338
AXIN1:NM_181050.1	chr16	287439	288248	-	810	147	141	161	196	130	203	205	303	484	199	208	327	296	387	186	140	273	310	167	152	278	154	128	176	220	141
B2M:NM_004048.2	chr15	44717606	44718145	+	540	42	19	114	65	81	150	27	104	17	197	50	21	74	28	38	63	36	76	61	16	40	100	31	42	62	81
BATF3:NM_018664.2	chr1	212686416	212686979	-	564	9	11	5	22	40	58	27	30	17	88	27	108	11	32	10	43	30	17	51	4	45	8	18	9	28	48
BAX:NM_004324.3	chr19	48956197	48956333	+	137	239	136	198	187	229	357	171	165	221	295	256	171	169	165	198	206	241	317	320	135	197	195	198	209	168	199
BBC3:NM_014417.4	chr19	47220823	47221918	-	1096	20	15	13	8	7	23	19	7	8	28	14	17	12	12	21	17	16	24	7	24	11	13	15	22	23	11
ADAM12:NM_003474.5	chr10;chr10	126155217;126278914	126155305;126278988	-;-	164	11	115	108	185	146	112	268	214	38	294	179	165	15	84	29	1042	209	262	567	156	86	86	86	70	13	13
BAMBI:NM_012342.2	chr10	28681982	28682932	+	951	55	203	28	472	38	47	136	40	40	25	309	209	74	36	80	37	23	50	45	324	31	86	60	587	136	80
BCAT1:NM_005504.6	chr12	24849785	24849949	-	165	132	232	158	589	153	79	157	930	127	321	343	159	183	147	257	842	79	1140	608	101	187	163	267	1790	87	171
BCL2:NM_000633.2	chr18	63123345	63128759	-	5415	1405	1007	406	1157	800	2069	673	423	838	1297	251	775	293	908	1769	319	382	242	767	1172	820	1015	1821	535	772	2165
BCL6B:NM_181844.3	chr17	7024400	7024763	+	364	175	94	123	80	143	25	131	57	37	172	34	424	14	33	137	86	33	33	88	71	135	164	80	33	171	133
BCL2L1:NM_001191.3	chr20	31664451	31666086	-	1636	312	147	258	320	248	131	198	295	594	379	255	579	407	291	321	193	600	567	337	152	296	249	208	513	215	319
APOL6:NM_030641.3	chr22;chr22	35656378;35658614	35656475;35668404	+;+	9889	858	1031	1625	3020	2493	1695	985	1377	887	3248	1477	2753	2839	1260	1149	1350	2107	808	1659	920	944	1087	1174	897	876	827
BID:NM_001196.3	chr22	17734137	17735591	-	1455	72	57	82	67	57	120	58	183	81	154	125	201	139	50	74	90	276	113	71	40	125	51	55	81	44	57
BIRC5:NM_001168.2	chr17	78223464	78225635	+	2172	3	11	61	10	18	26	8	53	41	14	15	1	4	8	6	6	134	26	24	6	9	6	11	34	1	5
BLM:NM_000057.3	chr15	90760593	90761255	+	663	18	20	106	92	105	251	33	122	86	73	66	12	72	40	36	38	169	38	63	24	18	32	33	66	11	17
BMP2:NM_001200.3	chr20	6778244	6780246	+	2003	140	152	189	126	392	180	193	109	106	308	120	1342	52	44	245	218	21	127	279	156	339	267	221	104	207	785
BNIP3:NM_004052.3	chr10	131981760	131981923	-	164	79	74	235	78	65	38	41	40	65	33	87	85	46	41	52	27	67	121	30	69	41	57	53	101	71	71
AREG:NM_001657.3	chr4;chr4	74449046;74450379	74449248;74450532	+;+	357	211	125	322	65	218	98	29	51	182	385	207	1133	82	208	302	364	33	12	1140	190	348	254	201	20	47	1330
ATM:NM_000051.3	chr11;chr11	108227594;108227775	108227696;108227888	+;+	217	424	422	396	705	893	2220	369	395	432	687	538	336	349	418	558	443	551	429	481	477	396	587	462	431	511	478
BAD:NM_004322.3	chr11	64269827	64270337	-	511	140	63	73	104	76	58	113	68	155	103	78	63	92	107	152	75	130	97	73	93	96	91	96	97	127	98
BIRC3:NM_001165.4	chr11	102336908	102339403	+	2496	49	55	78	84	246	726	31	52	46	194	155	218	75	82	113	83	326	19	176	80	209	103	76	23	51	54
BRCA2:NM_000059.3	chr13	32332271	32333387	+	1117	75	100	240	233	281	383	85	509	331	341	235	76	136	199	74	126	496	165	276	71	107	89	89	255	54	120
BRD3:NM_007371.3	chr9	134030304	134033705	-	3402	51	18	19	29	18	30	36	17	82	29	17	15	23	21	35	23	17	16	29	29	30	37	31	51	38	39
BTLA:NM_001085357.1	chr3	112479454	112479769	-	316	103	18	23	28	341	1525	10	21	15	63	23	8	36	32	79	52	168	390	52	55	38	60	36	106	8	2
BRD4:NM_001330384.1	chr19	15255296	15255592	-	297	813	561	917	835	791	1032	847	1093	1050	1112	674	1030	517	857	958	715	793	730	797	731	917	950	771	908	810	1278
BBS1:NM_024649.4	chr11;chr11;chr11	66511012;66511204;66514405	66511089;66511239;66514678	+;+;+	388	510	443	254	486	211	164	309	228	302	331	260	191	236	392	563	203	280	381	183	360	396	324	389	380	512	337
C2:NM_000063.5	chr6	31933609	31933783	+	175	37	45	191	98	137	97	107	119	151	263	147	103	189	100	55	295	468	277	158	35	113	87	78	98	46	80
ARID1A:NM_006015.4	chr1;chr1	26729650;26731151	26729863;26731604	+;+	668	1588	1309	1557	1864	1451	2227	1740	1668	1651	1616	1232	1458	1287	1653	1836	867	1611	2316	1087	1223	1442	1184	1166	1339	1976	1533
